IDTRANS;DIST;pk;ALTI_MOY
1;47,5;61900;194,4581
2;52,5;61895;194,4579
3;57,5;61890;194,4560
4;62,5;61885;194,4603
5;67,5;61880;194,4666
6;72,5;61875;194,4648
7;77,5;61870;194,4622
8;82,5;61865;194,4654
9;87,5;61860;194,4660
10;92,5;61855;194,4660
11;97,5;61850;194,4618
12;102,5;61845;194,4760
13;107,5;61840;194,4746
14;112,5;61835;194,4828
15;117,5;61830;194,4729
16;122,5;61825;194,4825
17;127,5;61820;194,4741
18;132,5;61815;194,4784
19;137,5;61810;194,4769
20;142,5;61805;194,4794
21;147,5;61800;194,4675
22;152,5;61795;194,4523
23;157,5;61790;194,4691
24;162,5;61785;194,4867
26;172,5;61775;194,4798
27;177,5;61770;194,4704
28;182,5;61765;194,4631
29;187,5;61760;194,4840
30;192,5;61755;194,4794
32;202,5;61745;194,4769
33;207,5;61740;194,4831
34;212,5;61735;194,5020
35;217,5;61730;194,5225
36;222,5;61725;194,5227
37;227,5;61720;194,5304
38;232,5;61715;194,5391
39;237,5;61710;194,5152
40;242,5;61705;194,5377
41;247,5;61700;194,5153
42;252,5;61695;194,5171
43;257,5;61690;194,5186
44;262,5;61685;194,5110
45;267,5;61680;194,5187
46;272,5;61675;194,5031
47;277,5;61670;194,5051
48;282,5;61665;194,5102
49;287,5;61660;194,5162
50;292,5;61655;194,5138
51;297,5;61650;194,5116
52;302,5;61645;194,5173
53;307,5;61640;194,5129
54;312,5;61635;194,5184
55;317,5;61630;194,5186
56;322,5;61625;194,4916
58;332,5;61615;194,4845
59;337,5;61610;194,4718
60;342,5;61605;194,4928
61;347,5;61600;194,5020
63;357,5;61590;194,4943
64;362,5;61585;194,5016
65;367,5;61580;194,5080
66;372,5;61575;194,4912
68;382,5;61565;194,4992
69;387,5;61560;194,4843
70;392,5;61555;194,5125
71;397,5;61550;194,5089
73;407,5;61540;194,5159
74;412,5;61535;194,5157
75;417,5;61530;194,5232
76;422,5;61525;194,4998
78;432,5;61515;194,5328
