"X";"Y";"Z";"Label"
34429.9911173412;184;16.7534161151199;NA
34429.9911173412;184;6.75341611511986;NA
34500;184;6.75341611511986;"rg"
34500;184;3.20181611511985;NA
34555.4957980321;184;3.20181611511985;NA
34555.4957980321;184;6.75341611511986;"rd"
34658.2871850389;184;6.75341611511986;NA
34658.2871850389;184;16.7534161151199;NA
999.999;999.999;999.999;NA
34429.9911173412;19312;33.68680708374;NA
34429.9911173412;19312;23.68680708374;NA
34500;19312;23.68680708374;"rg"
34500;19312;20.13520708374;NA
34555.4957980321;19312;20.13520708374;NA
34555.4957980321;19312;23.68680708374;"rd"
34658.2871850389;19312;23.68680708374;NA
34658.2871850389;19312;33.68680708374;NA
999.999;999.999;999.999;NA
