date ref = 2015-09-28 1:10:00,
time(sec),discharge
0,"243,934"
300,"243,934"
1200,"246,019"
2100,"245,723"
3000,"242,065"
3900,"242,937"
4800,"237,535"
5700,"235,683"
6600,"238,202"
7500,"231,978"
8400,"232,625"
9300,"228,073"
10200,"222,054"
11100,"208,556"
12000,"210,87"
12900,"211,79"
13800,"222,602"
14700,"206,498"
15600,"205,969"
16500,"205,28"
17400,"211,773"
18300,"211,639"
19200,"214,325"
20100,"214,346"
21000,"208,459"
21900,"223,657"
22800,"223,556"
23700,"233,028"
24600,"207,119"
25500,"204,575"
26400,"209,79"
27300,"219,472"
28200,"216,66"
29100,"215,081"
30000,"194,615"
30900,"183,052"
31800,"177,634"
32700,"189,148"
33600,"189,1"
34500,"189,305"
35400,"189,387"
36300,"190,485"
37200,"208,943"
38100,"198,685"
39000,"191,848"
39900,"195,608"
40800,"199,221"
41700,"217,294"
42600,"238,177"
43500,"241,465"
44400,"234,788"
45300,"238,902"
46200,"239,055"
47100,"209,61"
48000,"210,375"
48900,"212,062"
49800,"225,502"
50700,"242,256"
51600,"250,887"
52500,"247,607"
53400,"251,011"
54300,"249,667"
55200,"250,483"
56100,"261,375"
57000,"271,449"
57900,"262,804"
58800,"261,188"
59700,"269,588"
60600,"270,639"
61500,"267,904"
62400,"278,931"
63300,"280,061"
64200,"293,927"
65100,"277,657"
66000,"275,134"
66900,"283,907"
67800,"281,067"
68700,"279,281"
69600,"273,447"
70500,"284,04"
71400,"271,835"
72300,"260,55"
73200,"250,149"
74100,"248,735"
75000,"245,151"
75900,"245,072"
76800,"240,416"
77700,"242,233"
78600,"235,99"
79500,"243,888"
80400,"237,578"
81300,"236,364"
82200,"231,76"
83100,"238,84"
84000,"238,302"
84900,"242,232"
85800,"242,736"
86700,"244,32"
87600,"240,827"
88500,"242,876"
89400,"242,649"
90300,"240,438"
91200,"244,037"
92100,"233,828"
93000,"229,91"
93900,"220,507"
94800,"220,805"
95700,"225,265"
96600,"218,565"
97500,"223,134"
98400,"221,045"
99300,"224,18"
100200,"224,019"
101100,"231,561"
102000,"225,848"
102900,"228,07"
103800,"226,268"
104700,"223,025"
105600,"223,112"
106500,"226,996"
107400,"235,886"
108300,"233,056"
109200,"206,705"
110100,"196,372"
111000,"198,434"
111900,"202,55"
112800,"213,332"
113700,"216,445"
114600,"220,461"
115500,"206,895"
116400,"216,391"
117300,"213,127"
118200,"213,615"
119100,"219,443"
120000,"232,932"
120900,"228,925"
121800,"226,871"
122700,"229,097"
123600,"228,623"
124500,"226,21"
125400,"233,848"
126300,"232,418"
127200,"233,913"
128100,"232,774"
129000,"229,406"
129900,"219,795"
130800,"216,637"
131700,"215,966"
132600,"219,583"
133500,"221,216"
134400,"228,099"
135300,"201,391"
136200,"205,813"
137100,"212,339"
138000,"217,682"
138900,"225,908"
139800,"227,552"
140700,"229,547"
141600,"233,076"
142500,"254,237"
143400,"265,914"
144300,"271,161"
145200,"284,567"
146100,"292,614"
147000,"286,487"
147900,"294,476"
148800,"299,561"
149700,"313,707"
150600,"301,309"
151500,"292,483"
152400,"291,731"
153300,"284,676"
154200,"279,996"
155100,"278,037"
156000,"250,348"
156900,227
157800,"221,829"
158700,"214,246"
159600,"205,909"
160500,"195,815"
161400,"194,507"
162300,"204,872"
163200,"197,895"
164100,"187,666"
165000,"190,311"
165900,"183,381"
166800,"178,981"
167700,"183,768"
168600,"187,201"
169500,"182,033"
170400,"183,869"
171300,"181,547"
172200,"179,823"
173100,"184,53"
174000,"178,821"
174900,"179,638"
175800,"175,619"
176700,"187,107"
177600,"191,364"
178500,"185,466"
179400,"186,725"
180300,"194,914"
181200,"194,847"
182100,"189,855"
183000,"200,069"
183900,"206,3"
184800,"201,763"
185700,"210,12"
186600,"192,424"
187500,"199,588"
188400,"199,231"
189300,"181,929"
190200,"189,909"
191100,"201,58"
192000,"191,862"
192900,"194,425"
193800,"193,03"
194700,"192,909"
195600,"188,79"
196500,"192,798"
197400,"199,743"
198300,"207,839"
199200,"206,273"
200100,"222,013"
201000,"230,902"
201900,"214,208"
202800,"197,244"
203700,"190,113"
204600,"191,033"
205500,"187,459"
206400,"175,576"
207300,"187,466"
208200,"184,775"
209100,"154,083"
210000,"176,627"
210900,"165,374"
211800,"153,866"
212700,"169,008"
213600,"166,481"
214500,"152,127"
215400,"157,527"
216300,"165,218"
217200,"175,57"
218100,"169,104"
219000,"191,845"
219900,"215,213"
220800,"232,391"
221700,"263,686"
222600,"257,13"
223500,"255,025"
224400,"249,807"
225300,"258,466"
226200,"260,356"
227100,"258,413"
228000,"256,891"
228900,"245,842"
229800,"241,027"
230700,"251,826"
231600,"244,391"
232500,"244,6"
233400,"251,976"
234300,"256,668"
235200,"255,621"
236100,"253,83"
237000,"261,408"
237900,"254,035"
238800,"268,398"
239700,"258,06"
240600,"258,41"
241500,"243,398"
242400,"260,813"
243300,"248,175"
244200,"265,92"
245100,"251,298"
246000,"256,052"
246900,"249,774"
247800,"235,542"
248700,"234,572"
249600,"229,661"
250500,"223,178"
251400,"221,639"
252300,"221,554"
253200,"212,967"
254100,"206,792"
