               Kmin_a0        Kmin_a1        Kmin_a2        Kmin_a3        Kmin_a4        Kmin_a5        Kmin_a6        Kmin_a7        Kmin_a8        Kmin_a9        Kmin_a10       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.298908E+02  -0.775527E+00  -0.768560E+01   0.106642E+01   0.338383E+01   0.525188E+00  -0.238513E+01  -0.123136E+02  -0.109364E+02  -0.184573E+02  -0.140304E+01   0.224319E-05   0.949110E-04   0.856882E-05   0.510540E-04   0.444043E-05
Maximum           0.327655E+02   0.336884E+01  -0.140824E+01   0.946675E+01   0.124518E+02   0.100829E+02   0.807151E+01  -0.126411E+01   0.258482E+01  -0.448520E+01   0.120903E+02   0.209709E-01   0.888278E-01   0.681993E-01   0.727278E-01   0.572261E-01
Range             0.287470E+01   0.414437E+01   0.627736E+01   0.840033E+01   0.906797E+01   0.955771E+01   0.104566E+02   0.110495E+02   0.135212E+02   0.139721E+02   0.134933E+02   0.209687E-01   0.887329E-01   0.681907E-01   0.726767E-01   0.572217E-01
Mean              0.309786E+02   0.139837E+01  -0.468118E+01   0.515268E+01   0.797995E+01   0.548880E+01   0.260231E+01  -0.749159E+01  -0.402927E+01  -0.115578E+02   0.535704E+01   0.541899E-02   0.103800E-01   0.114786E-01   0.939238E-02   0.957604E-02
Median            0.309654E+02   0.138280E+01  -0.473170E+01   0.512892E+01   0.785475E+01   0.548198E+01   0.257939E+01  -0.755391E+01  -0.395192E+01  -0.116019E+02   0.536965E+01   0.492509E-02   0.700357E-02   0.795729E-02   0.694764E-02   0.705050E-02
Q10%              0.304093E+02   0.413270E+00  -0.613119E+01   0.335881E+01   0.626258E+01   0.333647E+01   0.219445E+00  -0.973227E+01  -0.680354E+01  -0.144387E+02   0.245393E+01   0.759910E-03   0.120231E-02   0.118858E-02   0.121743E-02   0.113840E-02
Q25%              0.306359E+02   0.825577E+00  -0.547280E+01   0.416526E+01   0.699766E+01   0.434290E+01   0.135671E+01  -0.874175E+01  -0.548303E+01  -0.129826E+02   0.365578E+01   0.221365E-02   0.327122E-02   0.388412E-02   0.278706E-02   0.259861E-02
Q75%              0.313058E+02   0.193200E+01  -0.384443E+01   0.614722E+01   0.890823E+01   0.671650E+01   0.397180E+01  -0.627975E+01  -0.258017E+01  -0.100135E+02   0.696036E+01   0.762033E-02   0.139776E-01   0.159599E-01   0.132329E-01   0.133689E-01
Q90%              0.315960E+02   0.244365E+01  -0.328911E+01   0.712380E+01   0.986539E+01   0.789421E+01   0.498821E+01  -0.510313E+01  -0.142298E+01  -0.869353E+01   0.846491E+01   0.103541E-01   0.230834E-01   0.251987E-01   0.195591E-01   0.215177E-01
St.Dev.           0.466077E+00   0.772395E+00   0.112166E+01   0.139201E+01   0.140585E+01   0.174162E+01   0.185211E+01   0.189401E+01   0.211637E+01   0.215569E+01   0.238929E+01   0.402520E-02   0.110923E-01   0.112015E-01   0.911318E-02   0.933354E-02
Variance          0.217228E+00   0.596593E+00   0.125811E+01   0.193770E+01   0.197640E+01   0.303324E+01   0.343030E+01   0.358726E+01   0.447901E+01   0.464701E+01   0.570873E+01   0.162022E-04   0.123039E-03   0.125474E-03   0.830501E-04   0.871149E-04
CV                0.150451E-01   0.552354E+00   0.239610E+00   0.270153E+00   0.176172E+00   0.317304E+00   0.711716E+00   0.252818E+00   0.525248E+00   0.186514E+00   0.446010E+00   0.742794E+00   0.106862E+01   0.975862E+00   0.970274E+00   0.974676E+00
Skewness          0.227160E+00  -0.105045E+00   0.102089E+00   0.633838E-01   0.256301E+00  -0.788015E-01  -0.302104E-01   0.210208E+00  -0.389737E-01  -0.127569E-01   0.154962E+00   0.101900E+01   0.281021E+01   0.186138E+01   0.222429E+01   0.181342E+01
Kurtosis         -0.399129E-01  -0.358788E+00  -0.209107E+00  -0.280554E+00  -0.271851E-01  -0.187622E+00  -0.171423E+00   0.129649E+00   0.112713E+00  -0.120660E+00  -0.767668E-01   0.115112E+01   0.122621E+02   0.421157E+01   0.812622E+01   0.432068E+01
MaxPost           0.303294E+02   0.134220E+01  -0.539392E+01   0.473475E+01   0.663552E+01   0.447763E+01   0.284516E+01  -0.730537E+01  -0.469012E+01  -0.106988E+02   0.691864E+01   0.236221E-02   0.484870E-02   0.412864E-03   0.293268E-02   0.926895E-03
