Kmin_a0       Kmin_a1       Kmin_a2       Kmin_a3       Kmin_a4       Kmin_a5       Kmin_a6       Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.300000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.500000E-03  0.100000E-01  0.100000E-01  0.100000E-01  0.100000E-01 -0.913404E+03
  0.300000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.258839E+00  0.000000E+00 -0.540071E+01  0.554962E-03  0.999943E-02  0.106566E-01  0.929137E-02  0.113438E-01 -0.911173E+03
  0.279342E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.407010E+01  0.823885E+01 -0.540071E+01  0.554962E-03  0.830970E-02  0.111702E-01  0.106146E-01  0.103161E-01 -0.886091E+03
  0.288538E+02  0.000000E+00 -0.265302E+01  0.716929E+01  0.407010E+01  0.823885E+01 -0.556575E+01  0.126005E-02  0.855525E-02  0.105663E-01  0.984959E-02  0.101503E-01 -0.868624E+03
  0.288538E+02  0.000000E+00 -0.265302E+01  0.716929E+01  0.407010E+01  0.647483E+01 -0.532287E+01  0.126005E-02  0.989135E-02  0.126235E-01  0.981783E-02  0.103744E-01 -0.864238E+03
  0.288538E+02  0.000000E+00 -0.265302E+01  0.716929E+01  0.407010E+01  0.647483E+01 -0.532287E+01  0.147970E-02  0.107041E-01  0.137752E-01  0.981783E-02  0.114870E-01 -0.864545E+03
  0.296501E+02 -0.414088E+00 -0.265302E+01  0.716929E+01  0.625408E+01  0.647483E+01  0.325415E+01  0.110979E-02  0.917661E-02  0.131226E-01  0.836847E-02  0.103639E-01 -0.852242E+03
  0.296501E+02 -0.414088E+00 -0.265302E+01  0.801527E+01  0.625408E+01  0.647483E+01  0.325415E+01  0.110979E-02  0.861077E-02  0.127793E-01  0.892545E-02  0.920122E-02 -0.851962E+03
  0.296501E+02  0.431811E+00 -0.265302E+01  0.801527E+01  0.501564E+01  0.647483E+01  0.325415E+01  0.261731E-02  0.965955E-02  0.124466E-01  0.915248E-02  0.667141E-02 -0.853690E+03
  0.296501E+02  0.431811E+00 -0.265302E+01  0.801527E+01  0.501564E+01  0.647483E+01  0.359737E+01  0.400686E-02  0.970426E-02  0.134160E-01  0.871026E-02  0.761043E-02 -0.854206E+03
  0.296501E+02  0.431811E+00 -0.265302E+01  0.801527E+01  0.751874E+01  0.647483E+01  0.195367E+01  0.300803E-02  0.841951E-02  0.150818E-01  0.799034E-02  0.725998E-02 -0.849979E+03
  0.296501E+02  0.431811E+00 -0.265302E+01  0.801527E+01  0.751874E+01  0.647483E+01  0.220146E+01  0.272201E-02  0.744657E-02  0.150152E-01  0.810198E-02  0.725998E-02 -0.849999E+03
  0.296501E+02  0.431811E+00 -0.412355E+01  0.801527E+01  0.751874E+01  0.427788E+01  0.220146E+01  0.340247E-02  0.724589E-02  0.155403E-01  0.702751E-02  0.793000E-02 -0.848432E+03
  0.296501E+02  0.431811E+00 -0.412355E+01  0.635955E+01  0.751874E+01  0.558118E+01 -0.199927E+01  0.180923E-02  0.692072E-02  0.157265E-01  0.708734E-02  0.733943E-02 -0.847803E+03
  0.301724E+02 -0.649982E+00 -0.412355E+01  0.635955E+01  0.751874E+01  0.558118E+01 -0.199927E+01  0.232527E-02  0.539423E-02  0.158043E-01  0.743718E-02  0.740910E-02 -0.848442E+03
  0.300964E+02 -0.649982E+00 -0.412355E+01  0.749898E+01  0.751874E+01  0.558118E+01 -0.199927E+01  0.266669E-02  0.421128E-02  0.160343E-01  0.828718E-02  0.608285E-02 -0.848449E+03
  0.300964E+02 -0.649982E+00 -0.412355E+01  0.749898E+01  0.779117E+01  0.306261E+01 -0.113936E+01  0.306490E-02  0.489936E-02  0.160343E-01  0.905812E-02  0.572143E-02 -0.848057E+03
  0.300964E+02  0.925147E-01 -0.606121E+01  0.749898E+01  0.779117E+01  0.806122E+01  0.217106E+01  0.240585E-02  0.680450E-02  0.151878E-01  0.100219E-01  0.599628E-02 -0.850327E+03
  0.300964E+02  0.503980E+00 -0.606121E+01  0.749898E+01  0.779117E+01  0.806122E+01  0.920020E+00  0.265100E-02  0.516368E-02  0.149974E-01  0.114570E-01  0.619020E-02 -0.849810E+03
  0.300964E+02  0.503980E+00 -0.464899E+01  0.749898E+01  0.779117E+01  0.760991E+01  0.154020E+01  0.287378E-02  0.529067E-02  0.162979E-01  0.114113E-01  0.485548E-02 -0.848546E+03
  0.300964E+02  0.461176E+00 -0.464899E+01  0.757176E+01  0.916685E+01  0.859993E+01  0.111828E+01  0.482149E-02  0.392336E-02  0.174537E-01  0.107272E-01  0.515816E-02 -0.849088E+03
  0.300964E+02  0.461176E+00 -0.464899E+01  0.757176E+01  0.680443E+01  0.859993E+01  0.111828E+01  0.470542E-02  0.246105E-02  0.167463E-01  0.989152E-02  0.521022E-02 -0.850049E+03
  0.300964E+02  0.461176E+00 -0.464899E+01  0.830237E+01  0.680443E+01  0.819225E+01  0.123649E+01  0.537953E-02  0.256759E-02  0.160271E-01  0.791052E-02  0.510720E-02 -0.849615E+03
  0.300964E+02  0.461176E+00 -0.464899E+01  0.830237E+01  0.680443E+01  0.598667E+01 -0.300378E+01  0.460449E-02  0.260522E-02  0.161063E-01  0.952379E-02  0.596743E-02 -0.849441E+03
  0.300964E+02  0.461176E+00 -0.464899E+01  0.830237E+01  0.680443E+01  0.180315E+01 -0.300378E+01  0.343505E-02  0.271790E-02  0.161195E-01  0.877362E-02  0.680091E-02 -0.850252E+03
  0.300964E+02  0.461176E+00 -0.464899E+01  0.830237E+01  0.680443E+01  0.180315E+01 -0.300378E+01  0.321566E-02  0.143719E-02  0.169374E-01  0.959031E-02  0.723634E-02 -0.850334E+03
  0.300964E+02  0.461176E+00 -0.464899E+01  0.830237E+01  0.680443E+01  0.700832E+01 -0.300378E+01  0.337786E-02  0.125885E-02  0.167939E-01  0.933348E-02  0.713995E-02 -0.850452E+03
  0.298162E+02  0.461176E+00 -0.519056E+01  0.830237E+01  0.680443E+01  0.700832E+01  0.436452E+01  0.283114E-02  0.125885E-02  0.182177E-01  0.932235E-02  0.695369E-02 -0.852375E+03
  0.298162E+02  0.236274E+00 -0.519056E+01  0.830237E+01  0.680443E+01  0.700832E+01  0.436452E+01  0.359725E-02  0.783478E-03  0.191448E-01  0.100199E-01  0.681436E-02 -0.852161E+03
  0.298162E+02  0.236274E+00 -0.395137E+01  0.830237E+01  0.633177E+01  0.700832E+01  0.345714E+01  0.223679E-02  0.780184E-03  0.195601E-01  0.887744E-02  0.519919E-02 -0.850661E+03
  0.298162E+02  0.236274E+00 -0.449445E+01  0.830237E+01  0.934413E+01  0.700832E+01  0.982502E+00  0.254860E-02  0.780184E-03  0.180496E-01  0.955251E-02  0.372281E-02 -0.848909E+03
  0.298162E+02  0.236274E+00 -0.449445E+01  0.830237E+01  0.934413E+01  0.700832E+01  0.309621E+01  0.361804E-02  0.284357E-02  0.170561E-01  0.807624E-02  0.508806E-02 -0.849736E+03
  0.298162E+02  0.236274E+00 -0.449445E+01  0.830237E+01  0.701630E+01  0.569523E+01 -0.253602E+01  0.294648E-02  0.154220E-02  0.178168E-01  0.101421E-01  0.440747E-02 -0.849097E+03
  0.307451E+02  0.236274E+00 -0.449445E+01  0.661566E+01  0.697050E+01  0.569523E+01  0.148931E+01  0.254623E-02  0.173867E-02  0.181568E-01  0.112537E-01  0.479589E-02 -0.852927E+03
  0.307451E+02  0.236274E+00 -0.449445E+01  0.908904E+01  0.732826E+01  0.569523E+01 -0.180519E+00  0.297042E-02  0.122139E-02  0.170457E-01  0.109641E-01  0.622549E-02 -0.848897E+03
  0.307451E+02  0.236274E+00 -0.449445E+01  0.908904E+01  0.104904E+02  0.457176E+01 -0.180519E+00  0.338773E-02  0.122139E-02  0.176321E-01  0.116648E-01  0.595593E-02 -0.848450E+03
  0.306790E+02  0.236274E+00 -0.449445E+01  0.908904E+01  0.104904E+02  0.457176E+01 -0.416304E-02  0.361661E-02  0.109509E-02  0.172186E-01  0.115324E-01  0.748589E-02 -0.848492E+03
  0.306790E+02  0.236274E+00 -0.449445E+01  0.908904E+01  0.104904E+02  0.457176E+01 -0.180295E+01  0.353648E-02  0.136951E-02  0.187538E-01  0.101923E-01  0.736785E-02 -0.849431E+03
  0.306790E+02  0.236274E+00 -0.632288E+01  0.908904E+01  0.104904E+02  0.676830E+01 -0.180295E+01  0.426894E-02  0.242463E-02  0.187656E-01  0.988890E-02  0.636948E-02 -0.851021E+03
  0.306790E+02  0.236274E+00 -0.632288E+01  0.908904E+01  0.104904E+02  0.676830E+01 -0.180295E+01  0.417162E-02  0.286837E-02  0.185033E-01  0.931315E-02  0.581123E-02 -0.850922E+03
  0.310228E+02  0.236274E+00 -0.632288E+01  0.558121E+01  0.104904E+02  0.676830E+01 -0.180295E+01  0.449174E-02  0.194862E-02  0.181619E-01  0.109489E-01  0.647414E-02 -0.850197E+03
  0.310228E+02  0.236274E+00 -0.632288E+01  0.597198E+01  0.104904E+02  0.477805E+01 -0.180295E+01  0.649874E-02  0.832198E-03  0.155182E-01  0.112229E-01  0.509499E-02 -0.849422E+03
  0.310228E+02  0.236274E+00 -0.632288E+01  0.597198E+01  0.104904E+02  0.425294E+01 -0.128564E+01  0.678099E-02  0.130845E-02  0.148975E-01  0.108289E-01  0.472729E-02 -0.849762E+03
  0.310228E+02  0.236274E+00 -0.566205E+01  0.815493E+01  0.104904E+02  0.425294E+01 -0.839838E+00  0.718337E-02  0.191505E-02  0.156483E-01  0.101863E-01  0.354472E-02 -0.847762E+03
  0.310756E+02  0.236274E+00 -0.566205E+01  0.815493E+01  0.104904E+02  0.425294E+01 -0.839838E+00  0.632427E-02  0.213538E-02  0.150634E-01  0.917877E-02  0.292608E-02 -0.847773E+03
  0.310756E+02  0.236274E+00 -0.441116E+01  0.815493E+01  0.104904E+02  0.387838E+01  0.450716E+00  0.659121E-02  0.103931E-02  0.159193E-01  0.894031E-02  0.353086E-02 -0.848650E+03
  0.310756E+02  0.236274E+00 -0.441116E+01  0.885352E+01  0.104904E+02  0.387838E+01  0.450716E+00  0.684774E-02  0.264392E-02  0.176437E-01  0.964874E-02  0.217116E-02 -0.848926E+03
  0.310756E+02  0.236274E+00 -0.441116E+01  0.885352E+01  0.104904E+02  0.387838E+01  0.450716E+00  0.651822E-02  0.284190E-02  0.164089E-01  0.101697E-01  0.197959E-02 -0.848863E+03
  0.310756E+02  0.236274E+00 -0.441116E+01  0.801737E+01  0.104904E+02  0.387838E+01  0.450716E+00  0.724837E-02  0.284190E-02  0.144167E-01  0.760652E-02  0.244309E-02 -0.848452E+03
