Km_a0         Km_a1         Km_a2         Km_a3         Km_a4         Km_a5         Km_a6         Km_a7         Km_a8         Km_a9         Km_a10        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.300000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.100000E-01  0.100000E-01  0.100000E-01  0.100000E-01  0.100000E-01  0.146658E+03
  0.300000E+02  0.000000E+00 -0.103452E+02  0.000000E+00  0.258839E+00  0.000000E+00 -0.540071E+01  0.000000E+00 -0.282798E-02  0.000000E+00  0.000000E+00  0.113438E-01  0.931138E-02  0.100000E-01  0.107370E-01  0.989938E-02  0.155815E+03
  0.300000E+02  0.000000E+00 -0.103452E+02  0.000000E+00  0.321210E+00  0.000000E+00 -0.540071E+01  0.000000E+00 -0.264259E+01 -0.238611E+00  0.000000E+00  0.116728E-01  0.987618E-02  0.852299E-02  0.938917E-02  0.970724E-02  0.155544E+03
  0.300000E+02  0.000000E+00 -0.103452E+02  0.000000E+00  0.557281E+01  0.489815E+01 -0.540071E+01 -0.113925E+00 -0.440661E+01  0.425918E-02  0.000000E+00  0.116728E-01  0.103659E-01  0.915378E-02  0.946055E-02  0.106547E-01  0.214415E+03
  0.299360E+02  0.000000E+00 -0.111438E+02  0.000000E+00  0.908868E+01  0.489815E+01 -0.540071E+01 -0.113925E+00 -0.440661E+01  0.425918E-02  0.184735E+01  0.130303E-01  0.895501E-02  0.100975E-01  0.103281E-01  0.956831E-02  0.231957E+03
  0.299360E+02  0.000000E+00 -0.134373E+02  0.000000E+00  0.908868E+01  0.489815E+01 -0.376941E+01 -0.113925E+00 -0.440661E+01  0.425918E-02  0.473720E+01  0.136940E-01  0.102042E-01  0.104944E-01  0.976223E-02  0.922505E-02  0.234147E+03
  0.299360E+02  0.000000E+00 -0.122302E+02  0.845899E+00  0.908868E+01  0.898935E+01 -0.500785E+01 -0.113925E+00 -0.440661E+01  0.425918E-02  0.473720E+01  0.133613E-01  0.104312E-01  0.796456E-02  0.922953E-02  0.922505E-02  0.244759E+03
  0.299360E+02  0.000000E+00 -0.122302E+02  0.845899E+00  0.943190E+01  0.898935E+01 -0.478429E+01 -0.113925E+00 -0.440661E+01  0.425918E-02  0.473720E+01  0.122250E-01  0.836818E-02  0.697735E-02  0.973016E-02  0.114554E-01  0.245442E+03
  0.299360E+02  0.000000E+00 -0.122302E+02  0.845899E+00  0.943190E+01  0.898935E+01 -0.478429E+01 -0.113925E+00 -0.189735E+01 -0.181017E+01  0.473720E+01  0.121553E-01  0.734061E-02  0.568972E-02  0.994213E-02  0.118392E-01  0.248903E+03
  0.299360E+02  0.000000E+00 -0.122302E+02  0.845899E+00  0.116304E+02  0.898935E+01 -0.229169E+01 -0.113925E+00 -0.189735E+01 -0.308094E+01  0.473720E+01  0.129150E-01  0.638679E-02  0.643356E-02  0.100922E-01  0.125344E-01  0.253436E+03
  0.299360E+02  0.000000E+00 -0.122302E+02  0.534068E+01  0.116304E+02  0.334540E+01 -0.229169E+01 -0.113925E+00 -0.189735E+01 -0.308094E+01  0.473720E+01  0.132036E-01  0.604793E-02  0.645771E-02  0.108489E-01  0.125894E-01  0.253311E+03
  0.299360E+02  0.000000E+00 -0.122302E+02  0.534068E+01  0.890988E+01  0.334540E+01 -0.127098E+01 -0.253532E+01 -0.322434E+01 -0.308094E+01  0.473720E+01  0.132526E-01  0.523426E-02  0.537781E-02  0.126343E-01  0.145025E-01  0.255358E+03
  0.299360E+02  0.000000E+00 -0.122302E+02  0.534068E+01  0.890988E+01  0.361782E+01 -0.127098E+01 -0.253532E+01 -0.123327E+01 -0.308094E+01  0.473720E+01  0.140235E-01  0.487284E-02  0.197028E-02  0.127828E-01  0.141150E-01  0.255212E+03
  0.299360E+02  0.000000E+00 -0.122302E+02  0.534068E+01  0.890988E+01  0.361782E+01 -0.127098E+01 -0.253532E+01  0.140974E+00 -0.308094E+01  0.457574E+01  0.142686E-01  0.507836E-02  0.552773E-03  0.124236E-01  0.152482E-01  0.254158E+03
  0.299360E+02  0.000000E+00 -0.122302E+02  0.534068E+01  0.113208E+02  0.422046E+01 -0.173317E+01 -0.142517E+01  0.140974E+00 -0.308094E+01  0.457574E+01  0.142785E-01  0.707273E-02  0.730468E-03  0.108012E-01  0.162927E-01  0.255888E+03
  0.299360E+02  0.000000E+00 -0.122302E+02  0.534068E+01  0.113208E+02  0.427395E+01 -0.173317E+01 -0.142517E+01  0.140974E+00 -0.308094E+01 -0.875782E+00  0.141710E-01  0.644001E-02  0.730468E-03  0.117602E-01  0.166212E-01  0.254492E+03
  0.299360E+02  0.000000E+00 -0.122302E+02  0.534068E+01  0.113208E+02  0.427395E+01 -0.526990E+01 -0.560349E+01  0.401256E+00 -0.146526E+02 -0.875782E+00  0.147383E-01  0.658613E-02  0.374853E-06  0.116787E-01  0.166449E-01  0.260481E+03
