X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.100000E+01   0.356140E-04   0.432000E+05   0.100000E+01   0.100000E+01   0.356140E-04   0.432000E+05   0.237876E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237876E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237838E+03   0.114000E+02   0.680143E+00   0.436909E+02   0.300000E+02   0.379568E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.756110E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.119855E+02   0.432000E+05   0.100000E+01   0.100000E+01   0.119855E+02   0.432000E+05   0.237838E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237838E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237832E+03   0.114000E+02   0.632398E+00   0.310012E+02   0.300000E+02   0.627393E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.124978E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.144059E+02   0.432000E+05   0.100000E+01   0.100000E+01   0.144059E+02   0.432000E+05   0.237829E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237829E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237830E+03   0.114000E+02   0.624359E+00   0.310012E+02   0.300000E+02  -0.879761E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.175251E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.198431E+02   0.432000E+05   0.100000E+01   0.100000E+01   0.198431E+02   0.432000E+05   0.237816E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237816E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237824E+03   0.114000E+02   0.608695E+00   0.310012E+02   0.300000E+02  -0.841711E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.167671E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.249191E+02   0.432000E+05   0.100000E+01   0.100000E+01   0.249191E+02   0.432000E+05   0.237810E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237810E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237817E+03   0.114000E+02   0.597932E+00   0.226520E+02   0.300000E+02  -0.684875E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.136429E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.319369E+02   0.432000E+05   0.100000E+01   0.100000E+01   0.319369E+02   0.432000E+05   0.237795E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237795E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237802E+03   0.114000E+02   0.589263E+00   0.226520E+02   0.300000E+02  -0.701721E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.139785E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.379737E+02   0.432000E+05   0.100000E+01   0.100000E+01   0.379737E+02   0.432000E+05   0.237788E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237788E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237784E+03   0.114000E+02   0.588777E+00   0.178177E+02   0.300000E+02   0.388135E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.773176E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.445311E+02   0.432000E+05   0.100000E+01   0.100000E+01   0.445311E+02   0.432000E+05   0.237780E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237780E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237759E+03   0.114000E+02   0.595586E+00   0.157193E+02   0.300000E+02   0.206616E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.411586E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.506607E+02   0.432000E+05   0.100000E+01   0.100000E+01   0.506607E+02   0.432000E+05   0.237750E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237750E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237731E+03   0.114000E+02   0.609873E+00   0.157193E+02   0.300000E+02   0.192871E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.384205E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.559866E+02   0.432000E+05   0.100000E+01   0.100000E+01   0.559866E+02   0.432000E+05   0.237697E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237697E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237703E+03   0.114000E+02   0.627002E+00   0.156445E+02   0.300000E+02  -0.600293E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.119580E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
