Km_a0         Km_a1         Km_a2         Km_a3         Km_a4         Km_a5         Km_a6         Km_a7         Km_a8         Km_a9         Km_a10        Km_a11        Km_a12        Km_a13        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.300000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.100000E-01  0.100000E-01  0.100000E-01  0.100000E-01  0.100000E-01  0.118079E+03
  0.300000E+02  0.000000E+00 -0.103452E+02  0.000000E+00  0.258839E+00  0.000000E+00 -0.540071E+01  0.000000E+00 -0.282798E-02  0.000000E+00  0.000000E+00  0.671923E+01  0.000000E+00  0.000000E+00  0.107370E-01  0.989938E-02  0.107623E-01  0.116478E-01  0.953869E-02  0.141800E+03
  0.280362E+02  0.623712E-01 -0.103452E+02  0.000000E+00  0.258839E+00  0.000000E+00 -0.386790E+01 -0.177460E+01 -0.282798E-02  0.000000E+00  0.345204E+01  0.967450E+01 -0.165035E+00  0.000000E+00  0.109825E-01  0.929549E-02  0.999725E-02  0.114819E-01  0.873570E-02  0.180156E+03
  0.280362E+02  0.623712E-01 -0.494575E+01  0.000000E+00  0.342096E+01 -0.971732E+00  0.281260E+01 -0.177460E+01 -0.161640E+00  0.000000E+00  0.345204E+01  0.153157E+02 -0.165035E+00  0.000000E+00  0.105807E-01  0.941672E-02  0.815064E-02  0.117016E-01  0.954846E-02  0.197313E+03
  0.280362E+02  0.623712E-01 -0.494575E+01  0.132707E+01  0.300687E+01  0.556149E+01  0.281260E+01 -0.177460E+01  0.207018E+01  0.000000E+00  0.160250E+01  0.153157E+02 -0.165035E+00  0.000000E+00  0.945757E-02  0.892647E-02  0.100748E-01  0.123027E-01  0.971766E-02  0.209062E+03
  0.280362E+02  0.623712E-01 -0.494575E+01  0.132707E+01  0.442742E+01  0.556149E+01  0.841455E+01 -0.177460E+01  0.207018E+01  0.000000E+00  0.168142E+01  0.153157E+02 -0.165035E+00  0.000000E+00  0.874034E-02  0.882126E-02  0.107487E-01  0.126729E-01  0.107256E-01  0.208245E+03
  0.280362E+02  0.623712E-01 -0.494575E+01  0.132707E+01  0.442742E+01  0.556149E+01  0.841455E+01 -0.303103E+01 -0.592532E+00  0.000000E+00  0.168142E+01  0.150389E+02  0.100164E+01 -0.413700E+00  0.960906E-02  0.848337E-02  0.959353E-02  0.125089E-01  0.935951E-02  0.210844E+03
  0.289440E+02  0.623712E-01 -0.494575E+01  0.132707E+01  0.442742E+01  0.556149E+01  0.666228E+01 -0.303103E+01 -0.592532E+00  0.000000E+00 -0.133016E+00  0.150389E+02  0.652822E+00 -0.413700E+00  0.832143E-02  0.869535E-02  0.997726E-02  0.120301E-01  0.116824E-01  0.211974E+03
  0.289440E+02  0.623712E-01 -0.641629E+01  0.132707E+01  0.442742E+01  0.556149E+01  0.666228E+01 -0.303103E+01 -0.159589E+01  0.000000E+00 -0.133016E+00  0.150389E+02  0.746850E+01 -0.413700E+00  0.782998E-02  0.836420E-02  0.866742E-02  0.122908E-01  0.108423E-01  0.216019E+03
  0.289440E+02  0.623712E-01 -0.641629E+01  0.162623E+01  0.442742E+01  0.643198E+01  0.558048E+01 -0.303103E+01 -0.329020E+01  0.120706E+00 -0.133016E+00  0.153142E+02  0.746850E+01 -0.413700E+00  0.746112E-02  0.751752E-02  0.812332E-02  0.115664E-01  0.110464E-01  0.215575E+03
