a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.100000E+03   0.611025E+02   0.547913E-03   0.713107E+01   0.109764E+02   0.265142E-03   0.169973E+02   0.634564E+02
   0.100000E+03   0.611025E+02   0.547913E-03   0.713107E+01   0.123594E+02   0.265142E-03   0.150084E+02   0.632051E+02
   0.100000E+03   0.611025E+02   0.665468E-03   0.759685E+01   0.108785E+02   0.265142E-03   0.162884E+02   0.631977E+02
   0.100000E+03   0.589778E+02   0.665468E-03   0.112439E+02   0.820431E+01   0.265142E-03   0.140512E+02   0.642176E+02
   0.100000E+03   0.589778E+02   0.665468E-03   0.112439E+02   0.820431E+01   0.265142E-03   0.118173E+02   0.637331E+02
   0.100000E+03   0.592687E+02   0.665468E-03   0.112439E+02   0.117298E+02   0.265142E-03   0.171871E+02   0.636681E+02
   0.100000E+03   0.575148E+02   0.665468E-03   0.132284E+02   0.131993E+02   0.265142E-03   0.121578E+02   0.613717E+02
   0.100000E+03   0.575148E+02   0.665468E-03   0.148267E+02   0.131993E+02   0.264587E-03   0.147533E+02   0.606533E+02
   0.100000E+03   0.580209E+02   0.723678E-03   0.132560E+02   0.103356E+02   0.264587E-03   0.138179E+02   0.626715E+02
   0.100000E+03   0.580209E+02   0.987798E-03   0.116070E+02   0.831144E+01   0.264587E-03   0.155542E+02   0.610874E+02
   0.100000E+03   0.541220E+02   0.138423E-02   0.156979E+02   0.830998E+01   0.264587E-03   0.155542E+02   0.546708E+02
   0.100000E+03   0.577184E+02   0.138423E-02   0.156979E+02   0.830998E+01   0.264587E-03   0.155542E+02   0.557959E+02
   0.100000E+03   0.628055E+02   0.138423E-02   0.156979E+02   0.830998E+01   0.264587E-03   0.118116E+02   0.549762E+02
   0.100000E+03   0.619954E+02   0.143362E-02   0.154172E+02   0.113148E+02   0.264587E-03   0.118116E+02   0.550480E+02
   0.100000E+03   0.608064E+02   0.143362E-02   0.147758E+02   0.979367E+01   0.508652E-03   0.157402E+02   0.557944E+02
   0.100000E+03   0.570200E+02   0.143362E-02   0.145951E+02   0.867266E+01   0.508652E-03   0.157402E+02   0.556802E+02
   0.100000E+03   0.570200E+02   0.186855E-02   0.145951E+02   0.867266E+01   0.508652E-03   0.183997E+02   0.528457E+02
   0.100000E+03   0.570200E+02   0.173228E-02   0.111248E+02   0.867266E+01   0.389630E-03   0.183546E+02   0.557294E+02
   0.100000E+03   0.570200E+02   0.595601E-03   0.915315E+01   0.104125E+02   0.389630E-03   0.178014E+02   0.633315E+02
   0.100000E+03   0.570200E+02   0.595601E-03   0.705538E+01   0.104539E+02   0.389630E-03   0.192907E+02   0.616558E+02
   0.100000E+03   0.570200E+02   0.496733E-03   0.705538E+01   0.104539E+02   0.384955E-03   0.197434E+02   0.619007E+02
   0.100000E+03   0.586425E+02   0.496733E-03   0.705538E+01   0.104539E+02   0.394322E-04   0.169805E+02   0.641974E+02
   0.100000E+03   0.586425E+02   0.496733E-03   0.695733E+01   0.110274E+02   0.394322E-04   0.155767E+02   0.641993E+02
   0.100000E+03   0.586425E+02   0.496733E-03   0.115116E+02   0.110274E+02   0.394322E-04   0.133773E+02   0.650994E+02
   0.100000E+03   0.604909E+02   0.496733E-03   0.128943E+02   0.104634E+02   0.940841E-03   0.133773E+02   0.631098E+02
