a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.120126E+03   0.327015E+02   0.317271E-03   0.959839E+01   0.620946E+01   0.124589E+02   0.179092E+02   0.467663E+02  -0.104162E+02   0.000000E+00   0.571825E+02  -0.114365E+03
   0.120126E+03   0.320355E+02   0.317271E-03   0.959839E+01   0.897682E+01   0.179114E+02   0.191455E+02   0.484678E+02  -0.883602E+01   0.000000E+00   0.573038E+02  -0.114608E+03
   0.120126E+03   0.320355E+02   0.317271E-03   0.710338E+01   0.885195E+01   0.170430E+02   0.193590E+02   0.474604E+02  -0.984347E+01   0.000000E+00   0.573039E+02  -0.114608E+03
   0.120126E+03   0.320355E+02   0.317271E-03   0.710338E+01   0.871294E+01   0.157687E+02   0.193590E+02   0.476751E+02  -0.962873E+01   0.000000E+00   0.573038E+02  -0.114608E+03
   0.118665E+03   0.320355E+02   0.561337E-03   0.972244E+01   0.114590E+02   0.117105E+02   0.217401E+02   0.443492E+02  -0.102202E+02   0.000000E+00   0.545694E+02  -0.109139E+03
   0.118665E+03   0.320355E+02   0.518330E-04   0.972244E+01   0.680855E+01   0.120086E+02   0.126259E+02   0.460860E+02  -0.929851E+01   0.000000E+00   0.553845E+02  -0.110769E+03
   0.118665E+03   0.351269E+02   0.518330E-04   0.115712E+02   0.680855E+01   0.114195E+02   0.126259E+02   0.462882E+02  -0.998993E+01   0.000000E+00   0.562781E+02  -0.112556E+03
   0.118665E+03   0.347342E+02   0.402409E-04   0.102179E+02   0.680855E+01   0.114195E+02   0.126259E+02   0.475955E+02  -0.960515E+01   0.000000E+00   0.572006E+02  -0.114401E+03
   0.118665E+03   0.347342E+02   0.402409E-04   0.102179E+02   0.609615E+01   0.125739E+02   0.126259E+02   0.469356E+02  -0.102651E+02   0.000000E+00   0.572007E+02  -0.114401E+03
   0.118665E+03   0.347342E+02   0.402409E-04   0.112107E+02   0.609615E+01   0.125739E+02   0.121985E+02   0.465567E+02  -0.106440E+02   0.000000E+00   0.572007E+02  -0.114401E+03
   0.118665E+03   0.347342E+02   0.355654E-04   0.115125E+02   0.609615E+01   0.143129E+02   0.153010E+02   0.469815E+02  -0.102205E+02   0.000000E+00   0.572020E+02  -0.114404E+03
   0.118665E+03   0.347342E+02   0.355654E-04   0.127947E+02   0.666657E+01   0.153303E+02   0.130113E+02   0.471491E+02  -0.100530E+02   0.000000E+00   0.572021E+02  -0.114404E+03
   0.118442E+03   0.347342E+02   0.355654E-04   0.118588E+02   0.704644E+01   0.214481E+02   0.139206E+02   0.466920E+02  -0.109258E+02   0.000000E+00   0.576178E+02  -0.115236E+03
   0.118442E+03   0.347342E+02   0.355654E-04   0.103926E+02   0.704644E+01   0.214481E+02   0.139206E+02   0.471688E+02  -0.104490E+02   0.000000E+00   0.576178E+02  -0.115236E+03
   0.118442E+03   0.347342E+02   0.355654E-04   0.103926E+02   0.845368E+01   0.214140E+02   0.139206E+02   0.481816E+02  -0.943625E+01   0.000000E+00   0.576178E+02  -0.115236E+03
   0.118442E+03   0.346064E+02   0.355654E-04   0.787064E+01   0.845368E+01   0.214140E+02   0.139206E+02   0.479276E+02  -0.985643E+01   0.000000E+00   0.577840E+02  -0.115568E+03
   0.118442E+03   0.344091E+02   0.355654E-04   0.110011E+02   0.106242E+02   0.189853E+02   0.139206E+02   0.495022E+02  -0.849943E+01   0.000000E+00   0.580016E+02  -0.116003E+03
   0.118442E+03   0.344091E+02   0.355654E-04   0.901581E+01   0.924559E+01   0.145516E+02   0.139206E+02   0.507371E+02  -0.726451E+01   0.000000E+00   0.580016E+02  -0.116003E+03
   0.118442E+03   0.344091E+02   0.355654E-04   0.954769E+01   0.951832E+01   0.145516E+02   0.167058E+02   0.505469E+02  -0.745474E+01   0.000000E+00   0.580016E+02  -0.116003E+03
   0.118442E+03   0.344091E+02   0.355654E-04   0.829206E+01   0.847035E+01   0.104383E+02   0.167058E+02   0.487793E+02  -0.922227E+01   0.000000E+00   0.580016E+02  -0.116003E+03
   0.118442E+03   0.344091E+02   0.355654E-04   0.731419E+01   0.103185E+02   0.104383E+02   0.129121E+02   0.483771E+02  -0.962451E+01   0.000000E+00   0.580016E+02  -0.116003E+03
   0.118442E+03   0.350366E+02   0.355654E-04   0.935686E+01   0.832247E+01   0.124697E+02   0.179923E+02   0.487429E+02  -0.832325E+01   0.000000E+00   0.570662E+02  -0.114132E+03
   0.119093E+03   0.323626E+02   0.355654E-04   0.979693E+01   0.832963E+01   0.130361E+02   0.145879E+02   0.497866E+02  -0.756646E+01   0.000000E+00   0.573531E+02  -0.114706E+03
   0.119093E+03   0.323626E+02   0.355654E-04   0.979693E+01   0.951520E+01   0.128876E+02   0.145879E+02   0.500099E+02  -0.734323E+01   0.000000E+00   0.573531E+02  -0.114706E+03
   0.119093E+03   0.323626E+02   0.355654E-04   0.107648E+02   0.951520E+01   0.128876E+02   0.159555E+02   0.497254E+02  -0.762765E+01   0.000000E+00   0.573531E+02  -0.114706E+03
   0.120087E+03   0.323626E+02   0.355654E-04   0.927557E+01   0.951520E+01   0.128876E+02   0.159555E+02   0.507256E+02  -0.748156E+01   0.000000E+00   0.582072E+02  -0.116414E+03
   0.120087E+03   0.325128E+02   0.355654E-04   0.112884E+02   0.860361E+01   0.133019E+02   0.159555E+02   0.502922E+02  -0.786612E+01   0.000000E+00   0.581583E+02  -0.116317E+03
   0.120087E+03   0.325128E+02   0.355654E-04   0.118251E+02   0.824158E+01   0.135406E+02   0.188165E+02   0.492084E+02  -0.894993E+01   0.000000E+00   0.581583E+02  -0.116317E+03
   0.120087E+03   0.325128E+02   0.355654E-04   0.800109E+01   0.933709E+01   0.147480E+02   0.187650E+02   0.496727E+02  -0.848561E+01   0.000000E+00   0.581583E+02  -0.116317E+03
   0.120087E+03   0.319471E+02   0.355654E-04   0.784285E+01   0.933709E+01   0.190127E+02   0.139557E+02   0.494218E+02  -0.867695E+01   0.000000E+00   0.580988E+02  -0.116198E+03
   0.119943E+03   0.319471E+02   0.355654E-04   0.103883E+02   0.103071E+02   0.216553E+02   0.180819E+02   0.479400E+02  -0.100332E+02   0.000000E+00   0.579732E+02  -0.115946E+03
   0.119943E+03   0.340076E+02   0.355654E-04   0.824918E+01   0.103071E+02   0.171798E+02   0.180819E+02   0.471319E+02  -0.856069E+01   0.000000E+00   0.556926E+02  -0.111385E+03
   0.119943E+03   0.330314E+02   0.355654E-04   0.113266E+02   0.103071E+02   0.171798E+02   0.180819E+02   0.492308E+02  -0.860863E+01   0.000000E+00   0.578394E+02  -0.115679E+03
   0.119943E+03   0.334271E+02   0.355654E-04   0.128820E+02   0.103071E+02   0.225179E+02   0.188720E+02   0.454735E+02  -0.117140E+02   0.000000E+00   0.571875E+02  -0.114375E+03
   0.119943E+03   0.334271E+02   0.355654E-04   0.128820E+02   0.105782E+02   0.225179E+02   0.188720E+02   0.454194E+02  -0.117680E+02   0.000000E+00   0.571874E+02  -0.114375E+03
   0.119943E+03   0.334271E+02   0.355654E-04   0.128820E+02   0.892640E+01   0.225179E+02   0.176086E+02   0.458746E+02  -0.113129E+02   0.000000E+00   0.571875E+02  -0.114375E+03
   0.119943E+03   0.334271E+02   0.355654E-04   0.128820E+02   0.950601E+01   0.225179E+02   0.178724E+02   0.458635E+02  -0.113239E+02   0.000000E+00   0.571874E+02  -0.114375E+03
   0.119943E+03   0.334271E+02   0.355654E-04   0.133788E+02   0.105526E+02   0.161041E+02   0.176698E+02   0.478547E+02  -0.933274E+01   0.000000E+00   0.571874E+02  -0.114375E+03
   0.119943E+03   0.315597E+02   0.355654E-04   0.133788E+02   0.868035E+01   0.131608E+02   0.182826E+02   0.479212E+02  -0.948886E+01   0.000000E+00   0.574101E+02  -0.114820E+03
