a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101237E+03   0.568593E+02   0.481833E-03   0.693229E+01   0.946281E+01   0.108164E-02   0.128778E+02   0.383338E+02  -0.767358E+00   0.000000E+00   0.391012E+02  -0.782023E+02
   0.101237E+03   0.568593E+02   0.332514E-03   0.665135E+01   0.703137E+01   0.108164E-02   0.109079E+02   0.365950E+02  -0.315346E+01   0.000000E+00   0.397485E+02  -0.794969E+02
   0.101340E+03   0.568593E+02   0.653573E-03   0.667403E+01   0.703137E+01   0.108164E-02   0.162704E+02   0.350164E+02  -0.233625E+01   0.000000E+00   0.373527E+02  -0.747053E+02
   0.101340E+03   0.568593E+02   0.653573E-03   0.814350E+01   0.788459E+01   0.108164E-02   0.166224E+02   0.369934E+02  -0.359270E+00   0.000000E+00   0.373527E+02  -0.747053E+02
   0.101340E+03   0.594165E+02   0.653573E-03   0.974177E+01   0.788459E+01   0.108056E-02   0.166224E+02   0.361064E+02  -0.187666E-01   0.000000E+00   0.361252E+02  -0.722503E+02
   0.101340E+03   0.594165E+02   0.705961E-03   0.817109E+01   0.788459E+01   0.108056E-02   0.156870E+02   0.356155E+02  -0.179659E+00   0.000000E+00   0.357952E+02  -0.715903E+02
   0.101340E+03   0.569364E+02   0.943669E-03   0.817109E+01   0.788459E+01   0.108056E-02   0.174232E+02   0.341937E+02  -0.539884E+00   0.000000E+00   0.347336E+02  -0.694672E+02
   0.101340E+03   0.530375E+02   0.130046E-02   0.122621E+02   0.788313E+01   0.108056E-02   0.939973E+01   0.285230E+02  -0.278956E+01   0.000000E+00   0.313126E+02  -0.626251E+02
   0.101340E+03   0.566339E+02   0.130046E-02   0.122621E+02   0.788313E+01   0.165404E-03   0.939973E+01   0.296137E+02  -0.252857E+01   0.000000E+00   0.321423E+02  -0.642845E+02
   0.101340E+03   0.574474E+02   0.124610E-02   0.125011E+02   0.864467E+01   0.130404E-02   0.939973E+01   0.297036E+02  -0.278230E+01   0.000000E+00   0.324859E+02  -0.649718E+02
   0.101340E+03   0.572019E+02   0.420453E-03   0.125011E+02   0.864467E+01   0.227634E-02   0.939973E+01   0.357762E+02  -0.364248E+01   0.000000E+00   0.394187E+02  -0.788374E+02
   0.101340E+03   0.572019E+02   0.420453E-03   0.673273E+01   0.864467E+01   0.122380E-02   0.103513E+02   0.369143E+02  -0.250444E+01   0.000000E+00   0.394187E+02  -0.788375E+02
   0.101340E+03   0.572019E+02   0.420453E-03   0.655203E+01   0.864467E+01   0.230920E-03   0.149106E+02   0.386316E+02  -0.787104E+00   0.000000E+00   0.394187E+02  -0.788374E+02
   0.101340E+03   0.574801E+02   0.420453E-03   0.994148E+01   0.864467E+01   0.230920E-03   0.175700E+02   0.398583E+02   0.553842E+00   0.000000E+00   0.393045E+02  -0.786089E+02
   0.101340E+03   0.574801E+02   0.297808E-03   0.994148E+01   0.864467E+01   0.230920E-03   0.151424E+02   0.401074E+02   0.101403E+01   0.000000E+00   0.390934E+02  -0.781867E+02
   0.101340E+03   0.574801E+02   0.297808E-03   0.106363E+02   0.925458E+01   0.230920E-03   0.151424E+02   0.401147E+02   0.102130E+01   0.000000E+00   0.390934E+02  -0.781868E+02
   0.101340E+03   0.564831E+02   0.297808E-03   0.795715E+01   0.925458E+01   0.230920E-03   0.180534E+02   0.393019E+02   0.102487E+00   0.000000E+00   0.391994E+02  -0.783988E+02
   0.101340E+03   0.564831E+02   0.297808E-03   0.127840E+02   0.761935E+01   0.230920E-03   0.180534E+02   0.380718E+02  -0.112759E+01   0.000000E+00   0.391994E+02  -0.783988E+02
   0.101315E+03   0.569055E+02   0.297808E-03   0.139433E+02   0.968762E+01   0.230920E-03   0.162889E+02   0.387014E+02  -0.723217E+00   0.000000E+00   0.394246E+02  -0.788492E+02
   0.101315E+03   0.569055E+02   0.475943E-03   0.146216E+02   0.816119E+01   0.157255E-03   0.171491E+02   0.371024E+02  -0.196907E+01   0.000000E+00   0.390715E+02  -0.781429E+02
   0.100220E+03   0.569055E+02   0.475943E-03   0.107587E+02   0.826900E+01   0.157255E-03   0.171491E+02   0.385757E+02   0.126448E+00   0.000000E+00   0.384493E+02  -0.768985E+02
   0.100220E+03   0.608722E+02   0.475943E-03   0.120517E+02   0.965172E+01   0.157255E-03   0.171491E+02   0.384447E+02  -0.742749E-01   0.000000E+00   0.385190E+02  -0.770379E+02
   0.100220E+03   0.608722E+02   0.475943E-03   0.120517E+02   0.965172E+01   0.157255E-03   0.169985E+02   0.384821E+02  -0.369010E-01   0.000000E+00   0.385190E+02  -0.770380E+02
   0.100220E+03   0.573427E+02   0.475943E-03   0.114597E+02   0.877417E+01   0.176248E-02   0.169985E+02   0.382718E+02  -0.752139E+00   0.000000E+00   0.390239E+02  -0.780479E+02
   0.100220E+03   0.591847E+02   0.475943E-03   0.129702E+02   0.101835E+02   0.138055E-02   0.161155E+02   0.389896E+02  -0.891270E+00   0.000000E+00   0.398809E+02  -0.797617E+02
   0.100220E+03   0.591847E+02   0.475943E-03   0.129702E+02   0.101835E+02   0.138055E-02   0.155768E+02   0.390702E+02  -0.810751E+00   0.000000E+00   0.398810E+02  -0.797619E+02
   0.100220E+03   0.591847E+02   0.475943E-03   0.132429E+02   0.101835E+02   0.138055E-02   0.133176E+02   0.389062E+02  -0.974664E+00   0.000000E+00   0.398809E+02  -0.797617E+02
   0.100220E+03   0.591847E+02   0.475943E-03   0.121950E+02   0.744127E+01   0.138055E-02   0.185308E+02   0.379967E+02  -0.188427E+01   0.000000E+00   0.398810E+02  -0.797619E+02
   0.100220E+03   0.591847E+02   0.475943E-03   0.112171E+02   0.928947E+01   0.535340E-03   0.147371E+02   0.407975E+02   0.916553E+00   0.000000E+00   0.398809E+02  -0.797619E+02
   0.100220E+03   0.598750E+02   0.475943E-03   0.132598E+02   0.928947E+01   0.535340E-03   0.198173E+02   0.382208E+02  -0.134281E+01   0.000000E+00   0.395636E+02  -0.791272E+02
   0.100806E+03   0.569336E+02   0.475943E-03   0.136998E+02   0.929663E+01   0.535340E-03   0.164129E+02   0.387331E+02  -0.561641E+00   0.000000E+00   0.392947E+02  -0.785895E+02
   0.100806E+03   0.569336E+02   0.475943E-03   0.136998E+02   0.929663E+01   0.535340E-03   0.164129E+02   0.387331E+02  -0.561641E+00   0.000000E+00   0.392947E+02  -0.785895E+02
   0.100806E+03   0.569336E+02   0.475943E-03   0.113164E+02   0.929663E+01   0.535340E-03   0.170675E+02   0.398256E+02   0.530785E+00   0.000000E+00   0.392948E+02  -0.785896E+02
   0.100806E+03   0.569336E+02   0.475943E-03   0.113164E+02   0.929663E+01   0.535340E-03   0.139311E+02   0.401687E+02   0.873942E+00   0.000000E+00   0.392948E+02  -0.785895E+02
   0.101047E+03   0.569336E+02   0.475943E-03   0.113164E+02   0.741821E+01   0.535340E-03   0.139311E+02   0.393460E+02   0.512692E-01   0.000000E+00   0.392947E+02  -0.785895E+02
   0.101047E+03   0.576848E+02   0.362887E-03   0.114755E+02   0.932552E+01   0.535340E-03   0.145372E+02   0.408270E+02   0.830264E+00   0.000000E+00   0.399967E+02  -0.799935E+02
   0.100066E+03   0.576848E+02   0.362887E-03   0.118266E+02   0.932552E+01   0.535340E-03   0.138703E+02   0.398768E+02   0.667683E+00   0.000000E+00   0.392091E+02  -0.784182E+02
   0.100066E+03   0.584731E+02   0.362887E-03   0.118266E+02   0.932552E+01   0.488017E-03   0.138703E+02   0.409921E+02   0.698120E+00   0.000000E+00   0.402940E+02  -0.805880E+02
   0.100066E+03   0.584731E+02   0.362887E-03   0.135883E+02   0.120763E+02   0.488017E-03   0.162361E+02   0.392282E+02  -0.106582E+01   0.000000E+00   0.402940E+02  -0.805880E+02
   0.100066E+03   0.584731E+02   0.362887E-03   0.106046E+02   0.120763E+02   0.165941E-02   0.150851E+02   0.396650E+02  -0.629021E+00   0.000000E+00   0.402940E+02  -0.805880E+02
   0.100066E+03   0.584731E+02   0.362887E-03   0.875308E+01   0.979130E+01   0.160119E-02   0.148628E+02   0.403947E+02   0.100680E+00   0.000000E+00   0.402940E+02  -0.805880E+02
   0.100066E+03   0.584731E+02   0.341959E-03   0.875308E+01   0.979130E+01   0.244931E-02   0.148628E+02   0.396375E+02  -0.614813E+00   0.000000E+00   0.402523E+02  -0.805046E+02
   0.100066E+03   0.593612E+02   0.341959E-03   0.875308E+01   0.979130E+01   0.572213E-03   0.148628E+02   0.416340E+02   0.108465E+01   0.000000E+00   0.405493E+02  -0.810987E+02
   0.100066E+03   0.593612E+02   0.341959E-03   0.875308E+01   0.979130E+01   0.572213E-03   0.148628E+02   0.416340E+02   0.108465E+01   0.000000E+00   0.405493E+02  -0.810987E+02
   0.100066E+03   0.601724E+02   0.341959E-03   0.892900E+01   0.979130E+01   0.572213E-03   0.141506E+02   0.409979E+02   0.113374E+01   0.000000E+00   0.398642E+02  -0.797283E+02
   0.100066E+03   0.596649E+02   0.341959E-03   0.953188E+01   0.121454E+02   0.572213E-03   0.141506E+02   0.409178E+02   0.517959E+00   0.000000E+00   0.403998E+02  -0.807997E+02
   0.100066E+03   0.596649E+02   0.341959E-03   0.953188E+01   0.997453E+01   0.572213E-03   0.149598E+02   0.415736E+02   0.117379E+01   0.000000E+00   0.403998E+02  -0.807996E+02
   0.100066E+03   0.596649E+02   0.341959E-03   0.118832E+02   0.100336E+02   0.572213E-03   0.149598E+02   0.410038E+02   0.603950E+00   0.000000E+00   0.403998E+02  -0.807997E+02
   0.993126E+02   0.596649E+02   0.341959E-03   0.930903E+01   0.138235E+02   0.905605E-03   0.139823E+02   0.390594E+02  -0.776839E+00   0.000000E+00   0.398362E+02  -0.796725E+02
   0.993126E+02   0.596649E+02   0.530364E-03   0.796585E+01   0.857216E+01   0.905605E-03   0.139823E+02   0.392867E+02   0.288165E+00   0.000000E+00   0.389985E+02  -0.779971E+02
   0.993126E+02   0.596649E+02   0.530364E-03   0.993201E+01   0.986079E+01   0.162382E-02   0.142596E+02   0.391797E+02   0.181199E+00   0.000000E+00   0.389985E+02  -0.779970E+02
   0.993126E+02   0.596649E+02   0.530364E-03   0.951449E+01   0.986079E+01   0.162382E-02   0.142596E+02   0.391923E+02   0.193766E+00   0.000000E+00   0.389985E+02  -0.779971E+02
   0.993126E+02   0.596649E+02   0.530364E-03   0.988503E+01   0.986079E+01   0.179620E-02   0.142596E+02   0.390285E+02   0.299592E-01   0.000000E+00   0.389985E+02  -0.779971E+02
   0.993126E+02   0.596649E+02   0.530364E-03   0.160607E+02   0.986079E+01   0.140255E-02   0.128207E+02   0.359308E+02  -0.306769E+01   0.000000E+00   0.389985E+02  -0.779970E+02
   0.988445E+02   0.588083E+02   0.499526E-03   0.161846E+02   0.109185E+02   0.140255E-02   0.128207E+02   0.335723E+02  -0.336310E+01   0.000000E+00   0.369354E+02  -0.738708E+02
   0.101229E+03   0.588083E+02   0.499526E-03   0.161846E+02   0.109185E+02   0.164850E-02   0.128207E+02   0.344056E+02  -0.359238E+01   0.000000E+00   0.379980E+02  -0.759960E+02
   0.101229E+03   0.571329E+02   0.499526E-03   0.133101E+02   0.875840E+01   0.164850E-02   0.147458E+02   0.377166E+02  -0.125933E+01   0.000000E+00   0.389759E+02  -0.779519E+02
   0.101229E+03   0.566289E+02   0.382085E-03   0.110190E+02   0.875840E+01   0.164850E-02   0.147458E+02   0.394807E+02  -0.166119E+00   0.000000E+00   0.396468E+02  -0.792936E+02
   0.101229E+03   0.576714E+02   0.407733E-03   0.110190E+02   0.875840E+01   0.149755E-03   0.147458E+02   0.400668E+02   0.554800E+00   0.000000E+00   0.395120E+02  -0.790240E+02
   0.101229E+03   0.575858E+02   0.407733E-03   0.115831E+02   0.112847E+02   0.149755E-03   0.147458E+02   0.396911E+02   0.136259E+00   0.000000E+00   0.395548E+02  -0.791097E+02
   0.101229E+03   0.575858E+02   0.353542E-03   0.115831E+02   0.130652E+02   0.149755E-03   0.114280E+02   0.382940E+02  -0.138736E+01   0.000000E+00   0.396814E+02  -0.793627E+02
   0.101833E+03   0.565285E+02   0.332485E-03   0.115622E+02   0.145605E+02   0.145113E-02   0.114280E+02   0.358229E+02  -0.289617E+01   0.000000E+00   0.387191E+02  -0.774381E+02
   0.101833E+03   0.552424E+02   0.332485E-03   0.912783E+01   0.146910E+02   0.227542E-02   0.141195E+02   0.356379E+02  -0.264523E+01   0.000000E+00   0.382831E+02  -0.765663E+02
   0.101833E+03   0.549129E+02   0.332485E-03   0.927868E+01   0.129661E+02   0.305140E-02   0.143940E+02   0.356558E+02  -0.206915E+01   0.000000E+00   0.377250E+02  -0.754499E+02
   0.101833E+03   0.549129E+02   0.332485E-03   0.927868E+01   0.112054E+02   0.360792E-02   0.185978E+02   0.353020E+02  -0.242294E+01   0.000000E+00   0.377249E+02  -0.754499E+02
