a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.976642E+02  -0.602858E+00  -0.938976E+01   0.673136E-03   0.139960E+02   0.892306E+01   0.170967E+02   0.143143E+02   0.172616E+03
   0.976642E+02   0.688374E+00  -0.396081E+01   0.552133E-03   0.111575E+02   0.929750E+01   0.129624E+02   0.136460E+02   0.175706E+03
   0.996260E+02   0.298488E+01   0.108742E+02   0.794679E-03   0.989460E+01   0.957800E+01   0.196685E+02   0.110533E+02   0.171309E+03
   0.996260E+02  -0.274747E+01   0.108742E+02   0.750954E-03   0.148304E+02   0.962508E+01   0.117398E+02   0.151448E+02   0.170476E+03
   0.970414E+02   0.280666E+01  -0.106491E+01   0.775777E-03   0.895202E+01   0.845021E+01   0.195222E+02   0.141683E+02   0.173626E+03
   0.970414E+02   0.213271E+01   0.368455E+01   0.591477E-03   0.938238E+01   0.105412E+02   0.136002E+02   0.170601E+02   0.174790E+03
   0.966770E+02   0.705264E+00  -0.109840E+01   0.591477E-03   0.922504E+01   0.845220E+01   0.123279E+02   0.177936E+02   0.174474E+03
   0.977039E+02   0.611862E+01  -0.109840E+01   0.618405E-03   0.991345E+01   0.785494E+01   0.220646E+02   0.175857E+02   0.170741E+03
   0.990346E+02  -0.245909E+01  -0.305818E+01   0.608913E-03   0.113054E+02   0.793849E+01   0.121616E+02   0.104681E+02   0.171211E+03
   0.990346E+02  -0.474481E+00   0.100668E+02   0.492211E-03   0.749486E+01   0.975315E+01   0.162235E+02   0.143824E+02   0.173098E+03
   0.990682E+02  -0.168785E+01  -0.135398E+01   0.548130E-03   0.115318E+02   0.112365E+02   0.140159E+02   0.124587E+02   0.172767E+03
   0.971306E+02  -0.319731E+01   0.484041E+01   0.592214E-03   0.799720E+01   0.112681E+02   0.274690E+02   0.135100E+02   0.167387E+03
   0.971306E+02   0.991161E+00  -0.649328E+01   0.640232E-03   0.124954E+02   0.109379E+02   0.167844E+02   0.203835E+02   0.172885E+03
   0.965950E+02   0.209316E+01   0.152798E+01   0.640232E-03   0.861219E+01   0.882517E+01   0.120742E+02   0.123975E+02   0.173961E+03
   0.992966E+02  -0.100854E+01   0.349389E+01   0.747513E-03   0.101273E+02   0.135497E+02   0.176372E+02   0.118015E+02   0.171851E+03
