a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.100154E+03   0.434508E-03   0.977415E+01   0.687618E+01   0.120716E+02   0.770796E+01   0.332047E+02
   0.961717E+02   0.280320E-03   0.103327E+02   0.836631E+01   0.203494E+02   0.146742E+02   0.349979E+02
   0.986497E+02   0.184665E-03   0.909172E+01   0.150225E+02   0.224040E+02   0.153877E+02   0.354863E+02
   0.997156E+02   0.428645E-03   0.846574E+01   0.878783E+01   0.151611E+02   0.139129E+02   0.397318E+02
   0.997156E+02   0.533146E-03   0.684783E+01   0.124249E+02   0.214659E+02   0.134325E+02   0.354482E+02
   0.997156E+02   0.626755E-03   0.883600E+01   0.985389E+01   0.130931E+02   0.147310E+02   0.392134E+02
   0.989974E+02   0.940691E-03   0.929593E+01   0.106421E+02   0.171034E+02   0.121691E+02   0.373621E+02
   0.990716E+02   0.569430E-03   0.118954E+02   0.733091E+01   0.155725E+02   0.124395E+02   0.378299E+02
   0.100486E+03   0.670475E-04   0.136734E+02   0.729097E+01   0.144208E+02   0.117820E+02   0.372528E+02
   0.991164E+02   0.509579E-03   0.124604E+02   0.965971E+01   0.143272E+02   0.103043E+02   0.376156E+02
   0.997564E+02   0.522563E-03   0.866213E+01   0.798669E+01   0.156804E+02   0.155225E+02   0.390602E+02
   0.100655E+03   0.570172E-03   0.130193E+02   0.112262E+02   0.161261E+02   0.130703E+02   0.374425E+02
   0.100428E+03   0.175088E-03   0.956272E+01   0.990479E+01   0.126955E+02   0.101259E+02   0.384608E+02
   0.100550E+03   0.107527E-03   0.951341E+01   0.893859E+01   0.142364E+02   0.154785E+02   0.400584E+02
   0.100550E+03   0.344879E-03   0.929848E+01   0.108718E+02   0.128657E+02   0.153966E+02   0.394276E+02
   0.998801E+02   0.397368E-05   0.148183E+02   0.126671E+02   0.198453E+02   0.134302E+02   0.360456E+02
   0.100318E+03   0.397368E-05   0.993347E+01   0.785065E+01   0.133854E+02   0.149547E+02   0.398154E+02
   0.100661E+03   0.650528E-04   0.987268E+01   0.873231E+01   0.148282E+02   0.198066E+02   0.387106E+02
   0.974794E+02   0.296934E-03   0.905901E+01   0.866705E+01   0.184351E+02   0.153839E+02   0.382583E+02
   0.978980E+02   0.562309E-05   0.808278E+01   0.139413E+02   0.195410E+02   0.213616E+02   0.348111E+02
   0.968608E+02   0.122868E-02   0.943861E+01   0.914103E+01   0.160173E+02   0.162554E+02   0.358612E+02
   0.991591E+02   0.533436E-03   0.158025E+02   0.727878E+01   0.172226E+02   0.147296E+02   0.353323E+02
   0.974947E+02   0.109431E-02   0.103153E+02   0.107800E+02   0.121979E+02   0.185342E+02   0.357088E+02
   0.983628E+02   0.625427E-03   0.914155E+01   0.123864E+02   0.135651E+02   0.953435E+01   0.362138E+02
   0.101394E+03   0.172260E-02   0.114150E+02   0.962532E+01   0.127598E+02   0.156842E+02   0.342411E+02
   0.100391E+03   0.419452E-03   0.981168E+01   0.120287E+02   0.187956E+02   0.201795E+02   0.368568E+02
   0.100820E+03   0.503266E-03   0.122990E+02   0.840956E+01   0.154590E+02   0.119810E+02   0.377649E+02
   0.998918E+02   0.864721E-03   0.970056E+01   0.119721E+02   0.155241E+02   0.120340E+02   0.374060E+02
   0.984755E+02   0.534749E-03   0.727545E+01   0.116609E+02   0.107467E+02   0.121115E+02   0.366999E+02
   0.984755E+02   0.224025E-03   0.847596E+01   0.105189E+02   0.112018E+02   0.108657E+02   0.382637E+02
   0.996422E+02   0.235446E-03   0.989532E+01   0.127939E+02   0.120780E+02   0.212854E+02   0.372289E+02
   0.100079E+03   0.231340E-03   0.862852E+01   0.127140E+02   0.183394E+02   0.167769E+02   0.382501E+02
   0.100522E+03   0.104659E-02   0.108955E+02   0.104073E+02   0.209394E+02   0.972234E+01   0.336216E+02
   0.100522E+03   0.444901E-03   0.137838E+02   0.880041E+01   0.180958E+02   0.164911E+02   0.370339E+02
   0.978390E+02   0.355139E-03   0.922298E+01   0.110775E+02   0.173477E+02   0.196204E+02   0.376820E+02
   0.985216E+02   0.398997E-03   0.877399E+01   0.115162E+02   0.163354E+02   0.152372E+02   0.392566E+02
   0.101484E+03   0.220959E-03   0.855647E+01   0.124146E+02   0.130825E+02   0.159103E+02   0.377197E+02
   0.986572E+02   0.501531E-03   0.970298E+01   0.901872E+01   0.131236E+02   0.145714E+02   0.396127E+02
   0.101116E+03   0.182693E-03   0.979903E+01   0.980722E+01   0.162021E+02   0.133095E+02   0.392304E+02
   0.100205E+03   0.259972E-03   0.849992E+01   0.112862E+02   0.152740E+02   0.121233E+02   0.393358E+02
   0.984072E+02   0.101895E-03   0.109258E+02   0.931918E+01   0.159185E+02   0.142223E+02   0.401052E+02
   0.984072E+02   0.126578E-03   0.103732E+02   0.875938E+01   0.134914E+02   0.133430E+02   0.401198E+02
   0.985492E+02   0.143300E-04   0.139729E+02   0.979778E+01   0.104308E+02   0.178663E+02   0.369373E+02
   0.991177E+02   0.434535E-03   0.114028E+02   0.974563E+01   0.124394E+02   0.175240E+02   0.389835E+02
   0.994197E+02   0.306242E-03   0.957603E+01   0.961579E+01   0.206928E+02   0.171101E+02   0.384425E+02
   0.100079E+03   0.683612E-04   0.127146E+02   0.115205E+02   0.126704E+02   0.175385E+02   0.384870E+02
   0.983176E+02   0.834197E-04   0.996598E+01   0.980019E+01   0.153555E+02   0.140394E+02   0.403133E+02
   0.980430E+02   0.217920E-03   0.791235E+01   0.882439E+01   0.195479E+02   0.150897E+02   0.382615E+02
   0.973434E+02   0.217920E-03   0.929080E+01   0.109409E+02   0.121511E+02   0.141088E+02   0.385423E+02
   0.100001E+03   0.965415E-03   0.109025E+02   0.106037E+02   0.146276E+02   0.129830E+02   0.376038E+02
   0.100001E+03   0.327049E-03   0.791200E+01   0.993674E+01   0.145168E+02   0.194231E+02   0.386423E+02
   0.982996E+02   0.172030E-03   0.109440E+02   0.104046E+02   0.182823E+02   0.143164E+02   0.392996E+02
   0.995580E+02   0.511802E-04   0.107640E+02   0.125135E+02   0.164506E+02   0.155258E+02   0.394562E+02
   0.103879E+03   0.660812E-03   0.108436E+02   0.101646E+02   0.202088E+02   0.178513E+02   0.321204E+02
   0.100194E+03   0.821695E-03   0.988153E+01   0.104492E+02   0.171462E+02   0.127221E+02   0.378938E+02
   0.101098E+03   0.645611E-03   0.109919E+02   0.185951E+02   0.220854E+02   0.171524E+02   0.302624E+02
   0.990045E+02   0.125561E-03   0.691350E+01   0.928096E+01   0.180371E+02   0.145713E+02   0.387106E+02
   0.982366E+02   0.333034E-03   0.829632E+01   0.121958E+02   0.128623E+02   0.134625E+02   0.387812E+02
   0.982447E+02   0.230844E-03   0.133543E+02   0.111045E+02   0.170956E+02   0.156441E+02   0.381044E+02
   0.982300E+02   0.532133E-03   0.854782E+01   0.998288E+01   0.156735E+02   0.166168E+02   0.389238E+02
   0.995507E+02   0.694622E-03   0.886451E+01   0.876169E+01   0.255553E+02   0.131512E+02   0.348141E+02
   0.942489E+02   0.124006E-02   0.886451E+01   0.802930E+01   0.210832E+02   0.130174E+02   0.307840E+02
   0.969468E+02   0.144794E-03   0.740542E+01   0.101091E+02   0.193883E+02   0.160456E+02   0.363926E+02
   0.997736E+02   0.834679E-04   0.755593E+01   0.911614E+01   0.119365E+02   0.122917E+02   0.391883E+02
   0.983186E+02   0.834679E-04   0.110762E+02   0.737901E+01   0.109202E+02   0.167332E+02   0.380292E+02
   0.100053E+03   0.225938E-04   0.120463E+02   0.107973E+02   0.181375E+02   0.869487E+01   0.359398E+02
   0.993812E+02   0.225938E-04   0.103460E+02   0.114679E+02   0.127453E+02   0.164995E+02   0.399307E+02
   0.986226E+02   0.354481E-03   0.975225E+01   0.885610E+01   0.164715E+02   0.183781E+02   0.391202E+02
   0.982462E+02   0.996388E-04   0.104758E+02   0.112048E+02   0.119403E+02   0.142457E+02   0.394931E+02
   0.101048E+03   0.996388E-04   0.960793E+01   0.140779E+02   0.161870E+02   0.170721E+02   0.372911E+02
   0.975997E+02   0.115181E-02   0.100034E+02   0.927447E+01   0.127748E+02   0.199929E+02   0.353832E+02
   0.995471E+02   0.435916E-03   0.116584E+02   0.106704E+02   0.189508E+02   0.171705E+02   0.381665E+02
   0.100733E+03   0.322841E-04   0.100704E+02   0.596525E+01   0.147267E+02   0.101876E+02   0.356679E+02
   0.989931E+02   0.416343E-04   0.764193E+01   0.989857E+01   0.129033E+02   0.122720E+02   0.396212E+02
   0.989931E+02   0.258978E-03   0.912658E+01   0.822263E+01   0.153789E+02   0.110313E+02   0.392294E+02
   0.987707E+02   0.146417E-03   0.141970E+02   0.112272E+02   0.163881E+02   0.159167E+02   0.380733E+02
   0.989544E+02   0.274065E-03   0.915960E+01   0.932513E+01   0.145742E+02   0.149208E+02   0.404151E+02
   0.989544E+02   0.211696E-03   0.146353E+02   0.969416E+01   0.182462E+02   0.121515E+02   0.373107E+02
   0.986804E+02   0.649973E-03   0.110210E+02   0.110155E+02   0.192224E+02   0.158343E+02   0.376650E+02
   0.978430E+02   0.394280E-03   0.847063E+01   0.733713E+01   0.168937E+02   0.151150E+02   0.380429E+02
   0.979516E+02   0.659226E-03   0.108103E+02   0.915542E+01   0.110795E+02   0.131102E+02   0.376837E+02
   0.101616E+03   0.287233E-03   0.941618E+01   0.111743E+02   0.101452E+02   0.963383E+01   0.348115E+02
   0.985733E+02   0.286392E-04   0.999011E+01   0.701883E+01   0.127212E+02   0.163304E+02   0.389476E+02
   0.985733E+02   0.605108E-03   0.109033E+02   0.119987E+02   0.123696E+02   0.979984E+01   0.364297E+02
   0.985733E+02   0.325520E-03   0.133235E+02   0.101970E+02   0.152441E+02   0.139663E+02   0.387781E+02
   0.994776E+02   0.209862E-03   0.979643E+01   0.920014E+01   0.142921E+02   0.143200E+02   0.405986E+02
   0.989960E+02   0.351282E-03   0.979643E+01   0.129272E+02   0.137795E+02   0.155953E+02   0.390996E+02
