a0_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.100000E+03  0.500000E-03  0.100000E+02  0.100000E+02  0.150000E+02  0.150000E+02  0.396916E+02
  0.100000E+03  0.500000E-03  0.793096E+01  0.932965E+01  0.150777E+02  0.140997E+02  0.392694E+02
  0.100000E+03  0.500000E-03  0.793039E+01  0.998625E+01  0.140147E+02  0.161155E+02  0.391269E+02
  0.100000E+03  0.500000E-03  0.866737E+01  0.988563E+01  0.151581E+02  0.185872E+02  0.387878E+02
  0.100000E+03  0.500000E-03  0.866737E+01  0.103992E+02  0.171429E+02  0.170456E+02  0.388321E+02
  0.100000E+03  0.145080E-03  0.813677E+01  0.103992E+02  0.181785E+02  0.179321E+02  0.388573E+02
  0.996699E+02  0.145080E-03  0.838231E+01  0.979536E+01  0.170310E+02  0.176834E+02  0.395714E+02
  0.996699E+02  0.145080E-03  0.936194E+01  0.979536E+01  0.169969E+02  0.171542E+02  0.399479E+02
  0.100156E+03  0.145080E-03  0.106980E+02  0.979536E+01  0.169492E+02  0.174904E+02  0.395140E+02
  0.990415E+02  0.145080E-03  0.106980E+02  0.870721E+01  0.163465E+02  0.176722E+02  0.397149E+02
  0.990415E+02  0.145080E-03  0.106980E+02  0.985892E+01  0.163465E+02  0.176722E+02  0.398277E+02
  0.990415E+02  0.622622E-04  0.106980E+02  0.881089E+01  0.170017E+02  0.176722E+02  0.396670E+02
  0.990415E+02  0.622622E-04  0.102393E+02  0.822965E+01  0.149674E+02  0.157556E+02  0.402989E+02
  0.990415E+02  0.622622E-04  0.940386E+01  0.868699E+01  0.158343E+02  0.167512E+02  0.402402E+02
  0.990415E+02  0.459126E-03  0.883802E+01  0.834373E+01  0.158343E+02  0.150071E+02  0.395485E+02
  0.990415E+02  0.459126E-03  0.106216E+02  0.916197E+01  0.154628E+02  0.164466E+02  0.395818E+02
  0.990415E+02  0.459126E-03  0.106216E+02  0.882923E+01  0.158033E+02  0.126519E+02  0.394824E+02
  0.990415E+02  0.459126E-03  0.106216E+02  0.769721E+01  0.141022E+02  0.139456E+02  0.392560E+02
  0.997280E+02  0.459126E-03  0.106663E+02  0.866659E+01  0.134388E+02  0.153542E+02  0.396059E+02
  0.997280E+02  0.459126E-03  0.103284E+02  0.751146E+01  0.131927E+02  0.153542E+02  0.390160E+02
  0.997280E+02  0.459126E-03  0.932954E+01  0.751146E+01  0.156915E+02  0.142743E+02  0.391267E+02
  0.997280E+02  0.459126E-03  0.946227E+01  0.801331E+01  0.151471E+02  0.142743E+02  0.395398E+02
  0.990303E+02  0.459126E-03  0.917626E+01  0.801331E+01  0.150472E+02  0.144418E+02  0.395525E+02
  0.990303E+02  0.459126E-03  0.998599E+01  0.771920E+01  0.142653E+02  0.126313E+02  0.391778E+02
  0.990303E+02  0.124073E-02  0.106664E+02  0.751853E+01  0.150531E+02  0.110196E+02  0.352221E+02
  0.990303E+02  0.124073E-02  0.951806E+01  0.751853E+01  0.145564E+02  0.110196E+02  0.353800E+02
  0.990303E+02  0.400581E-03  0.792482E+01  0.751853E+01  0.148355E+02  0.111094E+02  0.381118E+02
  0.990303E+02  0.574680E-03  0.770846E+01  0.751853E+01  0.135023E+02  0.108374E+02  0.372092E+02
  0.990303E+02  0.574680E-03  0.770846E+01  0.631304E+01  0.129490E+02  0.108374E+02  0.356661E+02
  0.990303E+02  0.574680E-03  0.768316E+01  0.631304E+01  0.138267E+02  0.111793E+02  0.359788E+02
  0.990303E+02  0.574680E-03  0.773211E+01  0.631304E+01  0.122068E+02  0.138573E+02  0.364778E+02
  0.990303E+02  0.574680E-03  0.773211E+01  0.631304E+01  0.142076E+02  0.126000E+02  0.366135E+02
  0.995752E+02  0.709653E-04  0.790409E+01  0.671125E+01  0.152397E+02  0.126000E+02  0.384146E+02
  0.995752E+02  0.709653E-04  0.829453E+01  0.804619E+01  0.125967E+02  0.127327E+02  0.396830E+02
  0.995752E+02  0.531950E-04  0.829453E+01  0.708798E+01  0.137604E+02  0.123720E+02  0.390290E+02
  0.995752E+02  0.531950E-04  0.856938E+01  0.837407E+01  0.137120E+02  0.127396E+02  0.401527E+02
  0.995752E+02  0.531950E-04  0.730367E+01  0.812386E+01  0.140797E+02  0.127396E+02  0.392848E+02
  0.976709E+02  0.531950E-04  0.749759E+01  0.855809E+01  0.158466E+02  0.131633E+02  0.385677E+02
  0.976709E+02  0.531950E-04  0.792420E+01  0.897404E+01  0.158614E+02  0.161549E+02  0.389191E+02
  0.994479E+02  0.531950E-04  0.787854E+01  0.897404E+01  0.170645E+02  0.161420E+02  0.397256E+02
  0.994479E+02  0.677513E-04  0.815368E+01  0.917205E+01  0.169379E+02  0.161420E+02  0.399361E+02
  0.994479E+02  0.677513E-04  0.746953E+01  0.947473E+01  0.157525E+02  0.161420E+02  0.397322E+02
  0.994479E+02  0.384764E-03  0.699705E+01  0.995653E+01  0.128926E+02  0.159679E+02  0.386895E+02
  0.994479E+02  0.384764E-03  0.777235E+01  0.794593E+01  0.128927E+02  0.165959E+02  0.388320E+02
  0.994479E+02  0.384764E-03  0.791847E+01  0.794593E+01  0.127704E+02  0.166314E+02  0.388911E+02
  0.994479E+02  0.491300E-03  0.719917E+01  0.794593E+01  0.126158E+02  0.171724E+02  0.378359E+02
  0.994479E+02  0.491300E-03  0.719917E+01  0.703086E+01  0.119542E+02  0.159003E+02  0.371154E+02
  0.994479E+02  0.528939E-03  0.727847E+01  0.864412E+01  0.132445E+02  0.153173E+02  0.385714E+02
  0.994479E+02  0.528939E-03  0.918648E+01  0.849160E+01  0.119894E+02  0.150351E+02  0.391489E+02
  0.994479E+02  0.528939E-03  0.919967E+01  0.774144E+01  0.132397E+02  0.140756E+02  0.391067E+02
  0.994479E+02  0.528939E-03  0.102599E+02  0.862911E+01  0.143609E+02  0.142924E+02  0.396112E+02
  0.994479E+02  0.728489E-03  0.929075E+01  0.958617E+01  0.155045E+02  0.154609E+02  0.389446E+02
  0.994479E+02  0.728489E-03  0.844337E+01  0.829726E+01  0.155045E+02  0.149855E+02  0.385239E+02
  0.994479E+02  0.728489E-03  0.826503E+01  0.815373E+01  0.151193E+02  0.148409E+02  0.384278E+02
  0.985136E+02  0.728489E-03  0.925396E+01  0.815373E+01  0.157725E+02  0.148409E+02  0.384671E+02
  0.985136E+02  0.728489E-03  0.870724E+01  0.815373E+01  0.162093E+02  0.163895E+02  0.380967E+02
  0.985136E+02  0.728489E-03  0.961793E+01  0.687142E+01  0.162093E+02  0.177523E+02  0.368133E+02
  0.985136E+02  0.767496E-03  0.113806E+02  0.782252E+01  0.162093E+02  0.177655E+02  0.371825E+02
  0.985136E+02  0.767496E-03  0.116284E+02  0.823475E+01  0.160675E+02  0.190278E+02  0.369234E+02
  0.985136E+02  0.767496E-03  0.125375E+02  0.823475E+01  0.147953E+02  0.203182E+02  0.361230E+02
  0.985136E+02  0.509930E-03  0.134901E+02  0.929992E+01  0.152153E+02  0.197773E+02  0.369404E+02
  0.985136E+02  0.509930E-03  0.150059E+02  0.778938E+01  0.162280E+02  0.175627E+02  0.359822E+02
  0.985136E+02  0.509930E-03  0.155265E+02  0.746191E+01  0.147877E+02  0.173593E+02  0.355628E+02
  0.985136E+02  0.509930E-03  0.155265E+02  0.952529E+01  0.132975E+02  0.151449E+02  0.366900E+02
  0.985136E+02  0.113502E-02  0.140882E+02  0.110197E+02  0.108154E+02  0.163139E+02  0.340760E+02
  0.985136E+02  0.936452E-03  0.143060E+02  0.108593E+02  0.108154E+02  0.156872E+02  0.348524E+02
  0.985136E+02  0.936452E-03  0.140204E+02  0.110329E+02  0.103094E+02  0.156734E+02  0.346256E+02
  0.985136E+02  0.936452E-03  0.136201E+02  0.110329E+02  0.108194E+02  0.173409E+02  0.349242E+02
  0.985136E+02  0.936452E-03  0.136201E+02  0.122782E+02  0.131578E+02  0.191211E+02  0.347640E+02
  0.985136E+02  0.936452E-03  0.132862E+02  0.127024E+02  0.123819E+02  0.174545E+02  0.351064E+02
  0.985136E+02  0.936452E-03  0.120672E+02  0.138874E+02  0.139881E+02  0.148039E+02  0.357750E+02
  0.985136E+02  0.711759E-03  0.120672E+02  0.143047E+02  0.139881E+02  0.155155E+02  0.362867E+02
  0.985136E+02  0.134508E-03  0.128415E+02  0.144505E+02  0.159259E+02  0.142580E+02  0.372277E+02
  0.985136E+02  0.431842E-04  0.129024E+02  0.144505E+02  0.188033E+02  0.123387E+02  0.361933E+02
  0.985136E+02  0.431842E-04  0.121549E+02  0.144505E+02  0.188033E+02  0.138085E+02  0.368674E+02
  0.985136E+02  0.431842E-04  0.117951E+02  0.143704E+02  0.192150E+02  0.161113E+02  0.368067E+02
  0.985136E+02  0.431842E-04  0.105361E+02  0.154321E+02  0.196707E+02  0.161636E+02  0.362607E+02
  0.985136E+02  0.431842E-04  0.871674E+01  0.145638E+02  0.196707E+02  0.141357E+02  0.370526E+02
  0.985136E+02  0.431842E-04  0.771837E+01  0.148839E+02  0.193159E+02  0.135902E+02  0.364386E+02
  0.985136E+02  0.431842E-04  0.834977E+01  0.140607E+02  0.191700E+02  0.142558E+02  0.374703E+02
  0.985136E+02  0.431842E-04  0.728775E+01  0.140607E+02  0.180535E+02  0.162525E+02  0.369655E+02
  0.101079E+03  0.431842E-04  0.734349E+01  0.135493E+02  0.186961E+02  0.157978E+02  0.362928E+02
  0.101079E+03  0.431842E-04  0.775847E+01  0.131243E+02  0.175054E+02  0.148385E+02  0.373543E+02
  0.101079E+03  0.104841E-02  0.794568E+01  0.130950E+02  0.175054E+02  0.167401E+02  0.348988E+02
  0.102385E+03  0.614457E-03  0.839421E+01  0.132957E+02  0.175054E+02  0.173133E+02  0.346457E+02
  0.102385E+03  0.614457E-03  0.792801E+01  0.131906E+02  0.176606E+02  0.177367E+02  0.343136E+02
  0.102385E+03  0.614457E-03  0.885172E+01  0.139304E+02  0.153886E+02  0.191096E+02  0.342281E+02
  0.102385E+03  0.105105E-02  0.885172E+01  0.139304E+02  0.155223E+02  0.191096E+02  0.334069E+02
  0.102385E+03  0.105105E-02  0.885172E+01  0.127478E+02  0.155487E+02  0.188578E+02  0.342206E+02
  0.102385E+03  0.105105E-02  0.783071E+01  0.127478E+02  0.163448E+02  0.175692E+02  0.340689E+02
  0.102385E+03  0.466186E-03  0.783071E+01  0.121292E+02  0.163448E+02  0.153484E+02  0.357693E+02
  0.102385E+03  0.466186E-03  0.858382E+01  0.124658E+02  0.142701E+02  0.142914E+02  0.362100E+02
  0.102385E+03  0.348854E-03  0.885094E+01  0.124658E+02  0.142701E+02  0.155299E+02  0.362688E+02
  0.102385E+03  0.488572E-03  0.107064E+02  0.120396E+02  0.142701E+02  0.159147E+02  0.362965E+02
  0.102385E+03  0.488572E-03  0.114148E+02  0.106799E+02  0.145098E+02  0.165373E+02  0.364553E+02
  0.102385E+03  0.488572E-03  0.114148E+02  0.928752E+01  0.115455E+02  0.153821E+02  0.361501E+02
