a0_min        a1_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.500000E-03  0.100000E+02  0.100000E+02  0.150000E+02  0.150000E+02  0.396916E+02
  0.100000E+03  0.444277E+01  0.500000E-03  0.975932E+01  0.799930E+01  0.144004E+02  0.152304E+02  0.393132E+02
  0.100000E+03  0.444277E+01  0.296495E-03  0.908221E+01  0.799930E+01  0.129382E+02  0.139589E+02  0.396940E+02
  0.100000E+03  0.444277E+01  0.296495E-03  0.984446E+01  0.964707E+01  0.122462E+02  0.129770E+02  0.398349E+02
  0.100125E+03  0.444277E+01  0.296495E-03  0.984446E+01  0.995363E+01  0.117139E+02  0.121811E+02  0.393100E+02
  0.100125E+03  0.444277E+01  0.887548E-03  0.981146E+01  0.106587E+02  0.120822E+02  0.112753E+02  0.370401E+02
  0.100125E+03  0.311603E+01  0.845560E-04  0.924080E+01  0.103182E+02  0.137020E+02  0.112753E+02  0.397357E+02
  0.100125E+03  0.156126E+01  0.845560E-04  0.112980E+02  0.102864E+02  0.140382E+02  0.111082E+02  0.393762E+02
  0.100125E+03  0.156126E+01  0.845560E-04  0.111383E+02  0.910604E+01  0.150930E+02  0.111082E+02  0.394356E+02
  0.100125E+03  0.156126E+01  0.845560E-04  0.111383E+02  0.947551E+01  0.171292E+02  0.111082E+02  0.391228E+02
  0.100125E+03  0.156126E+01  0.845560E-04  0.115846E+02  0.111909E+02  0.165743E+02  0.111082E+02  0.387986E+02
  0.100125E+03  0.156126E+01  0.845560E-04  0.119109E+02  0.111909E+02  0.153211E+02  0.117942E+02  0.392018E+02
  0.100125E+03  0.156126E+01  0.845560E-04  0.123078E+02  0.106251E+02  0.148062E+02  0.126296E+02  0.394986E+02
  0.100125E+03  0.349260E+01  0.845560E-04  0.123078E+02  0.114433E+02  0.144347E+02  0.140691E+02  0.394281E+02
  0.100125E+03  0.349260E+01  0.845560E-04  0.119750E+02  0.116703E+02  0.106400E+02  0.132700E+02  0.382690E+02
  0.100125E+03  0.349260E+01  0.845560E-04  0.113901E+02  0.116703E+02  0.102631E+02  0.132700E+02  0.382235E+02
  0.100125E+03  0.349260E+01  0.291954E-04  0.116235E+02  0.115876E+02  0.115661E+02  0.127632E+02  0.389264E+02
  0.100125E+03  0.218011E+01  0.291954E-04  0.116235E+02  0.112589E+02  0.100679E+02  0.127632E+02  0.380879E+02
  0.100125E+03 -0.357922E+01  0.291954E-04  0.116235E+02  0.104208E+02  0.108432E+02  0.107156E+02  0.373046E+02
  0.100125E+03  0.910711E+01  0.787530E-04  0.113375E+02  0.944781E+01  0.107433E+02  0.108831E+02  0.372187E+02
  0.100125E+03  0.910711E+01  0.888484E-03  0.110434E+02  0.892654E+01  0.107433E+02  0.108831E+02  0.354830E+02
  0.100125E+03  0.910711E+01  0.687812E-03  0.115685E+02  0.785207E+01  0.117483E+02  0.129278E+02  0.368900E+02
  0.100125E+03  0.517550E+01  0.356667E-03  0.102587E+02  0.811273E+01  0.117483E+02  0.105379E+02  0.378611E+02
  0.100125E+03  0.666447E+01  0.416500E-03  0.966811E+01  0.828683E+01  0.114238E+02  0.105379E+02  0.375043E+02
  0.100125E+03  0.521417E+01  0.416500E-03  0.972317E+01  0.828683E+01  0.961557E+01  0.998463E+01  0.358614E+02
  0.100125E+03  0.861410E+00  0.416500E-03  0.969787E+01  0.740282E+01  0.104932E+02  0.103265E+02  0.365090E+02
  0.100125E+03  0.861410E+00  0.416500E-03  0.888420E+01  0.632292E+01  0.131712E+02  0.131961E+02  0.375441E+02
  0.100125E+03  0.861410E+00  0.416500E-03  0.888420E+01  0.625961E+01  0.144932E+02  0.134159E+02  0.375715E+02
  0.100125E+03  0.573087E+01  0.416500E-03  0.957228E+01  0.925484E+01  0.156496E+02  0.128738E+02  0.395459E+02
  0.100125E+03  0.691886E+01  0.289675E-04  0.106621E+02  0.109560E+02  0.171492E+02  0.138669E+02  0.394249E+02
  0.100125E+03  0.691886E+01  0.289675E-04  0.106621E+02  0.103048E+02  0.161701E+02  0.139904E+02  0.397990E+02
  0.100125E+03  0.691886E+01  0.289675E-04  0.924464E+01  0.994552E+01  0.178699E+02  0.149595E+02  0.395434E+02
  0.983157E+02  0.266329E+01  0.289675E-04  0.943855E+01  0.103798E+02  0.196368E+02  0.153832E+02  0.394390E+02
  0.983157E+02  0.266329E+01  0.289675E-04  0.985451E+01  0.103896E+02  0.196368E+02  0.156497E+02  0.394014E+02
  0.983157E+02  0.110196E+02  0.280080E-03  0.863743E+01  0.103896E+02  0.183391E+02  0.133639E+02  0.381302E+02
  0.984227E+02  0.490039E+01  0.280080E-03  0.105851E+02  0.902231E+01  0.200727E+02  0.123376E+02  0.386693E+02
  0.984227E+02 -0.142203E+01  0.280080E-03  0.109136E+02  0.933932E+01  0.193640E+02  0.130603E+02  0.384760E+02
  0.984227E+02 -0.142203E+01  0.280080E-03  0.118228E+02  0.101146E+02  0.163481E+02  0.130604E+02  0.390100E+02
  0.984227E+02 -0.142203E+01  0.280080E-03  0.119689E+02  0.938453E+01  0.162258E+02  0.130959E+02  0.390001E+02
  0.984227E+02 -0.569741E+00  0.280080E-03  0.119350E+02  0.820183E+01  0.168304E+02  0.134361E+02  0.388411E+02
