a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.983833E+02   0.337904E+00  -0.109269E+02   0.903143E-04   0.109076E+02   0.117398E+02   0.121804E+02   0.171315E+02   0.392329E+02
   0.983833E+02   0.596492E+01  -0.211317E+02   0.241697E-02   0.112819E+02   0.124929E+02   0.138947E+02   0.164427E+02   0.314746E+02
   0.983833E+02   0.513943E+01  -0.105386E+02   0.241357E-03   0.938638E+01   0.168845E+02   0.157092E+02   0.185378E+02   0.358215E+02
   0.100300E+03   0.259252E+01  -0.827171E+01   0.291752E-03   0.995994E+01   0.872706E+01   0.162820E+02   0.162714E+02   0.395006E+02
   0.100300E+03   0.678204E+01   0.144495E+02   0.805440E-04   0.852551E+01   0.851436E+01   0.157710E+02   0.169338E+02   0.385184E+02
   0.100199E+03   0.116569E+01  -0.117062E+02   0.559058E-03   0.865002E+01   0.146208E+02   0.166119E+02   0.132038E+02   0.366294E+02
   0.984276E+02   0.575162E+01   0.382103E+01   0.261727E-03   0.884054E+01   0.110053E+02   0.144170E+02   0.146564E+02   0.397887E+02
   0.100243E+03  -0.136126E+02   0.795241E+01   0.999195E-03   0.932677E+01   0.984643E+01   0.152562E+02   0.118252E+02   0.345994E+02
   0.982027E+02  -0.176018E+00  -0.144868E+02   0.523280E-04   0.102625E+02   0.888692E+01   0.149198E+02   0.188678E+02   0.391123E+02
   0.996636E+02   0.247411E+01   0.938726E+00   0.595981E-04   0.103692E+02   0.954032E+01   0.178997E+02   0.203949E+02   0.387093E+02
   0.996636E+02  -0.273284E+01  -0.379087E+01   0.288495E-03   0.103692E+02   0.109440E+02   0.177902E+02   0.172535E+02   0.387694E+02
   0.100693E+03   0.462437E+01  -0.268156E+02   0.108340E-03   0.858227E+01   0.979225E+01   0.185880E+02   0.171016E+02   0.369588E+02
   0.100769E+03  -0.456428E+01  -0.139337E+02   0.520916E-03   0.945429E+01   0.111756E+02   0.106993E+02   0.129954E+02   0.366995E+02
   0.970524E+02   0.177622E+01  -0.114868E+02   0.520916E-03   0.101596E+02   0.820150E+01   0.190619E+02   0.179347E+02   0.370551E+02
   0.985212E+02  -0.545472E+01   0.303816E+01   0.100991E-02   0.794311E+01   0.121079E+02   0.135082E+02   0.170722E+02   0.353134E+02
   0.967061E+02  -0.108008E+00  -0.151016E+02   0.170759E-03   0.922677E+01   0.923592E+01   0.205937E+02   0.150634E+02   0.363604E+02
   0.967522E+02   0.826501E+01  -0.569058E+01   0.171355E-03   0.840556E+01   0.739354E+01   0.220226E+02   0.214184E+02   0.336707E+02
   0.965827E+02   0.109935E+01  -0.441550E+01   0.531339E-03   0.109544E+02   0.896860E+01   0.111709E+02   0.179003E+02   0.365354E+02
   0.993844E+02  -0.192028E+00  -0.171614E+01   0.391076E-03   0.713322E+01   0.116781E+02   0.158018E+02   0.187038E+02   0.377161E+02
   0.994812E+02   0.111314E+02  -0.118343E+01   0.134948E-03   0.100897E+02   0.819589E+01   0.184795E+02   0.255655E+02   0.340793E+02
   0.994812E+02   0.166436E+02   0.632653E+01   0.518569E-03   0.761218E+01   0.799737E+01   0.125789E+02   0.174714E+02   0.347880E+02
   0.946043E+02   0.101849E+01   0.303527E+01   0.175960E-02   0.633975E+01   0.113831E+02   0.122285E+02   0.174303E+02   0.296889E+02
   0.997553E+02  -0.253143E+01   0.832678E+01   0.462939E-03   0.805489E+01   0.786966E+01   0.145053E+02   0.153045E+02   0.382455E+02
   0.991886E+02  -0.338887E+01  -0.154452E+02   0.188386E-03   0.124486E+02   0.934907E+01   0.197969E+02   0.146648E+02   0.371876E+02
   0.994572E+02   0.249885E+01  -0.129347E+02   0.709497E-03   0.104803E+02   0.940224E+01   0.934289E+01   0.122487E+02   0.363623E+02
   0.102098E+03  -0.122546E+02   0.102634E+02   0.360531E-03   0.103695E+02   0.112426E+02   0.123852E+02   0.177945E+02   0.350668E+02
   0.985357E+02   0.398945E+01  -0.107719E+02   0.737454E-03   0.846876E+01   0.114448E+02   0.160045E+02   0.142365E+02   0.384691E+02
   0.966655E+02   0.417742E+01  -0.898914E+01   0.550362E-03   0.648255E+01   0.108222E+02   0.176230E+02   0.152872E+02   0.360870E+02
   0.101357E+03   0.954157E+01   0.218984E+02   0.137606E-02   0.910877E+01   0.123503E+02   0.118586E+02   0.116470E+02   0.336630E+02
   0.998638E+02  -0.112827E+01   0.380741E+01   0.347045E-03   0.785383E+01   0.105525E+02   0.102803E+02   0.141500E+02   0.379638E+02
   0.984807E+02  -0.914304E+00  -0.720972E+01   0.226305E-03   0.959568E+01   0.120612E+02   0.127298E+02   0.140362E+02   0.395278E+02
   0.100490E+03   0.917784E+01  -0.152826E+01   0.243317E-03   0.107980E+02   0.122865E+02   0.129286E+02   0.141413E+02   0.379777E+02
   0.985938E+02   0.215110E+01  -0.245623E+02   0.164736E-03   0.127479E+02   0.122865E+02   0.150842E+02   0.156204E+02   0.371523E+02
   0.994238E+02  -0.364808E+01   0.808107E+01   0.272401E-03   0.101354E+02   0.852594E+01   0.115814E+02   0.104668E+02   0.370335E+02
   0.994238E+02   0.964258E+01  -0.204205E+02   0.872868E-04   0.927860E+01   0.894724E+01   0.172221E+02   0.133327E+02   0.376242E+02
   0.986704E+02   0.633955E+00   0.605334E+01   0.243034E-04   0.927860E+01   0.136763E+02   0.155993E+02   0.144436E+02   0.383928E+02
   0.986704E+02   0.261742E+01  -0.158474E+02   0.412416E-03   0.959231E+01   0.102552E+02   0.122960E+02   0.144515E+02   0.397078E+02
   0.986704E+02  -0.310021E+01  -0.173408E+02   0.292662E-03   0.671109E+01   0.819994E+01   0.150927E+02   0.117302E+02   0.362944E+02
   0.986704E+02   0.188785E+01   0.575253E+01   0.181583E-03   0.105867E+02   0.113928E+02   0.132405E+02   0.189395E+02   0.386346E+02
   0.101664E+03  -0.735295E+01   0.807182E+01   0.748902E-03   0.123046E+02   0.112231E+02   0.173654E+02   0.147542E+02   0.358934E+02
   0.101236E+03   0.346726E+01   0.167960E+02   0.667309E-03   0.946208E+01   0.803363E+01   0.162753E+02   0.982387E+01   0.358755E+02
   0.100232E+03   0.151701E+02   0.646609E+01   0.271763E-04   0.108464E+02   0.993584E+01   0.179456E+02   0.132436E+02   0.364005E+02
   0.100895E+03  -0.330375E+00  -0.780312E+01   0.457812E-03   0.664900E+01   0.993584E+01   0.140315E+02   0.118499E+02   0.368342E+02
   0.989629E+02   0.346800E+01  -0.193864E+02   0.282669E-03   0.113136E+02   0.113100E+02   0.132142E+02   0.153899E+02   0.392114E+02
   0.100089E+03  -0.493117E+01  -0.761852E+01   0.181371E-03   0.945210E+01   0.996036E+01   0.198178E+02   0.112108E+02   0.372209E+02
   0.978920E+02   0.232105E+01   0.753926E+01   0.187515E-03   0.164477E+02   0.115852E+02   0.125232E+02   0.159380E+02   0.345344E+02
   0.992154E+02   0.600283E+01  -0.222657E+02   0.451648E-03   0.106599E+02   0.759184E+01   0.148143E+02   0.145419E+02   0.381092E+02
   0.998317E+02  -0.164821E+01   0.102394E+02   0.491823E-05   0.824009E+01   0.117628E+02   0.156394E+02   0.156622E+02   0.387307E+02
   0.986376E+02   0.216548E+01   0.774639E+01   0.825757E-03   0.831712E+01   0.116399E+02   0.138382E+02   0.150379E+02   0.374360E+02
   0.100264E+03   0.194579E+01   0.149453E+02   0.114004E-03   0.110699E+02   0.790006E+01   0.163805E+02   0.148655E+02   0.385058E+02
   0.982733E+02  -0.455223E+01  -0.335659E+01   0.909242E-03   0.705327E+01   0.105152E+02   0.139860E+02   0.168469E+02   0.358179E+02
   0.974063E+02   0.629718E+01  -0.194626E+02   0.553782E-03   0.144271E+02   0.126614E+02   0.177025E+02   0.147494E+02   0.348594E+02
   0.101728E+03   0.902131E+01   0.115160E+02   0.294260E-03   0.808525E+01   0.828609E+01   0.239289E+02   0.168569E+02   0.340367E+02
   0.100098E+03   0.157983E+02   0.101028E+02   0.111874E-03   0.822878E+01   0.105431E+02   0.110309E+02   0.176704E+02   0.350485E+02
   0.991353E+02   0.137230E+01  -0.864339E+00   0.639091E-05   0.100092E+02   0.122313E+02   0.142516E+02   0.138664E+02   0.402290E+02
   0.991353E+02   0.710025E+01  -0.142065E+02   0.541562E-03   0.940750E+01   0.887870E+01   0.181883E+02   0.166511E+02   0.382859E+02
   0.994958E+02   0.109987E+01  -0.899856E+01   0.310255E-03   0.997136E+01   0.104916E+02   0.139664E+02   0.131060E+02   0.402670E+02
   0.101342E+03   0.790625E+01  -0.663141E+01   0.207396E-03   0.113148E+02   0.106246E+02   0.164803E+02   0.173177E+02   0.366880E+02
   0.982592E+02   0.421817E+01  -0.593675E+01   0.189539E-03   0.661608E+01   0.110211E+02   0.141115E+02   0.124027E+02   0.386307E+02
   0.102156E+03  -0.110614E+01  -0.300166E+02   0.130484E-06   0.873461E+01   0.867012E+01   0.150134E+02   0.167272E+02   0.362824E+02
   0.995228E+02  -0.188569E+01  -0.174134E+02   0.167718E-02   0.116666E+02   0.994104E+01   0.976822E+01   0.183421E+02   0.320619E+02
   0.980768E+02  -0.442446E+01   0.608229E+01   0.277137E-03   0.105190E+02   0.781733E+01   0.124686E+02   0.173052E+02   0.363175E+02
   0.994198E+02   0.189877E+01  -0.675764E+01   0.142476E-03   0.890044E+01   0.111365E+02   0.125511E+02   0.166644E+02   0.400829E+02
   0.959442E+02   0.112352E+02  -0.510557E+01   0.714366E-03   0.111345E+02   0.128898E+02   0.133391E+02   0.125065E+02   0.346544E+02
   0.100667E+03   0.515737E+01   0.106702E+01   0.107914E-03   0.126036E+02   0.137040E+02   0.970152E+01   0.188700E+02   0.345368E+02
   0.991222E+02   0.679116E+01  -0.163242E+02   0.107914E-03   0.937326E+01   0.117990E+02   0.112633E+02   0.267317E+02   0.339640E+02
   0.980133E+02  -0.279957E+01   0.210562E+01   0.740763E-03   0.116223E+02   0.150809E+02   0.130042E+02   0.211497E+02   0.329759E+02
   0.981454E+02  -0.434169E+01  -0.149535E+02   0.569019E-03   0.901676E+01   0.951354E+01   0.141607E+02   0.190954E+02   0.366389E+02
   0.991123E+02  -0.736195E+01   0.446831E+01   0.857773E-03   0.102433E+02   0.110895E+02   0.121525E+02   0.200527E+02   0.349624E+02
   0.991123E+02   0.397855E+01  -0.156341E+02   0.428778E-03   0.110584E+02   0.739383E+01   0.199506E+02   0.204873E+02   0.360261E+02
   0.100234E+03  -0.500733E+01  -0.164219E+02   0.334017E-03   0.739856E+01   0.891927E+01   0.187529E+02   0.142590E+02   0.366132E+02
   0.998653E+02   0.337254E+01   0.198446E+02   0.334017E-03   0.935986E+01   0.587527E+01   0.145420E+02   0.207326E+02   0.330866E+02
   0.102170E+03   0.152155E+00   0.198446E+02   0.399663E-03   0.105110E+02   0.128507E+02   0.993280E+01   0.185498E+02   0.346653E+02
   0.986366E+02  -0.144344E+01  -0.591114E+01   0.203219E-03   0.746792E+01   0.893158E+01   0.135374E+02   0.186874E+02   0.385995E+02
   0.101186E+03   0.437088E+01   0.515072E+01   0.177922E-03   0.729893E+01   0.879903E+01   0.216887E+02   0.159875E+02   0.361785E+02
   0.992692E+02   0.854284E+01   0.757849E+01   0.252046E-03   0.936129E+01   0.773733E+01   0.139003E+02   0.162499E+02   0.388022E+02
   0.989378E+02   0.142836E+01  -0.109376E+02   0.433704E-03   0.822111E+01   0.852670E+01   0.202139E+02   0.960608E+01   0.362813E+02
   0.978347E+02   0.342567E+01  -0.197126E+02   0.433704E-03   0.123377E+02   0.101875E+02   0.143515E+02   0.145724E+02   0.383665E+02
   0.997266E+02   0.160493E+01  -0.766736E+01   0.718913E-04   0.833055E+01   0.790283E+01   0.115187E+02   0.140073E+02   0.394334E+02
   0.100529E+03   0.320522E+01  -0.511124E+01   0.255818E-03   0.108837E+02   0.709290E+01   0.116511E+02   0.185644E+02   0.371732E+02
   0.974848E+02  -0.284084E+01  -0.104152E+02   0.103896E-02   0.751415E+01   0.114352E+02   0.178644E+02   0.134472E+02   0.351242E+02
   0.101779E+03  -0.284084E+01   0.176494E+01   0.571901E-03   0.937502E+01   0.800729E+01   0.181942E+02   0.124553E+02   0.366594E+02
   0.976065E+02   0.149870E+02  -0.110640E+02   0.841619E-03   0.133586E+02   0.816517E+01   0.167706E+02   0.162134E+02   0.338141E+02
   0.976065E+02   0.762968E+01   0.159116E+01   0.444571E-04   0.140054E+02   0.759649E+01   0.153785E+02   0.160340E+02   0.369535E+02
   0.100091E+03   0.251443E+01  -0.677964E+01   0.620581E-03   0.862996E+01   0.125348E+02   0.138687E+02   0.133003E+02   0.381921E+02
   0.100560E+03   0.492699E+01   0.931946E+01   0.228864E-04   0.133543E+02   0.751084E+01   0.216067E+02   0.170079E+02   0.355137E+02
   0.100560E+03   0.169801E+01  -0.263710E+02   0.831395E-03   0.126261E+02   0.120025E+02   0.119509E+02   0.136695E+02   0.355740E+02
   0.101818E+03  -0.632089E+01  -0.777581E+00   0.581025E-03   0.808066E+01   0.115576E+02   0.143074E+02   0.159713E+02   0.365528E+02
   0.101339E+03  -0.968705E+01  -0.802573E+01   0.185377E-03   0.106035E+02   0.160440E+02   0.134046E+02   0.151046E+02   0.331785E+02
