a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.000000E+00  0.500000E-03  0.100000E+02  0.100000E+02  0.150000E+02  0.150000E+02  0.396916E+02
  0.100000E+03  0.444277E+01 -0.165523E+02  0.500000E-03  0.799930E+01  0.960025E+01  0.152304E+02  0.151652E+02  0.387883E+02
  0.100000E+03  0.281473E+01 -0.219692E+02  0.324827E-04  0.702451E+01  0.875261E+01  0.152304E+02  0.130647E+02  0.381968E+02
  0.100000E+03  0.281473E+01 -0.232155E+02  0.113800E-03  0.702451E+01  0.926622E+01  0.172152E+02  0.130647E+02  0.377506E+02
  0.100000E+03 -0.246314E-01 -0.274603E+02  0.113800E-03  0.771492E+01  0.985728E+01  0.171657E+02  0.141224E+02  0.375350E+02
  0.102455E+03 -0.246314E-01 -0.335804E+02  0.113800E-03  0.995040E+01  0.109076E+02  0.186352E+02  0.141224E+02  0.352481E+02
  0.102228E+03 -0.246314E-01 -0.331918E+02  0.113800E-03  0.112865E+02  0.109076E+02  0.185875E+02  0.144586E+02  0.352279E+02
  0.101113E+03 -0.246314E-01 -0.182003E+02  0.113800E-03  0.111268E+02  0.972723E+01  0.196423E+02  0.125499E+02  0.371076E+02
  0.101113E+03 -0.246314E-01 -0.160596E+02  0.113800E-03  0.114963E+02  0.110847E+02  0.175260E+02  0.139655E+02  0.377466E+02
  0.101113E+03 -0.246314E-01 -0.834923E+01  0.444987E-03  0.110376E+02  0.105035E+02  0.154916E+02  0.120488E+02  0.379805E+02
  0.101113E+03 -0.246314E-01 -0.150330E+02  0.444987E-03  0.116155E+02  0.111672E+02  0.173654E+02  0.126441E+02  0.371968E+02
  0.101113E+03 -0.277071E+01 -0.105772E+02  0.444987E-03  0.116155E+02  0.119915E+02  0.173654E+02  0.126678E+02  0.368240E+02
  0.101113E+03 -0.277071E+01 -0.138532E+02  0.444987E-03  0.131230E+02  0.119915E+02  0.168663E+02  0.130084E+02  0.361389E+02
  0.101113E+03 -0.703226E+01 -0.904802E+01  0.444987E-03  0.119910E+02  0.108573E+02  0.181601E+02  0.131113E+02  0.361346E+02
