               a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.963868E+02  -0.854817E+02  -0.394880E+02  -0.124234E+03   0.103401E-05   0.492563E+01   0.542340E+01   0.779841E+01   0.748502E+01
Maximum           0.133510E+03   0.314438E+02   0.970582E+02   0.107883E+03   0.439923E-02   0.226410E+02   0.176340E+02   0.288527E+02   0.284416E+02
Range             0.371232E+02   0.116925E+03   0.136546E+03   0.232117E+03   0.439820E-02   0.177154E+02   0.122106E+02   0.210543E+02   0.209566E+02
Mean              0.105457E+03  -0.420467E+00   0.645282E+01  -0.236977E+02   0.698307E-03   0.101200E+02   0.102851E+02   0.153169E+02   0.152360E+02
Median            0.101999E+03   0.134752E+01   0.411083E+01  -0.172722E+02   0.479209E-03   0.989970E+01   0.100468E+02   0.150801E+02   0.148515E+02
Q10%              0.984014E+02  -0.143408E+02  -0.175020E+02  -0.947785E+02   0.900676E-04   0.778092E+01   0.785074E+01   0.114774E+02   0.113830E+02
Q25%              0.100106E+03  -0.459721E+01  -0.937357E+01  -0.459900E+02   0.244201E-03   0.863194E+01   0.879869E+01   0.132539E+02   0.129613E+02
Q75%              0.107041E+03   0.677422E+01   0.178685E+02   0.331606E+01   0.957105E-03   0.112893E+02   0.115317E+02   0.172040E+02   0.173220E+02
Q90%              0.122593E+03   0.117005E+02   0.375587E+02   0.224915E+02   0.153818E-02   0.129592E+02   0.129443E+02   0.190522E+02   0.193477E+02
St.Dev.           0.863376E+01   0.121320E+02   0.216252E+02   0.406230E+02   0.662720E-03   0.213079E+01   0.202423E+01   0.312601E+01   0.317710E+01
Variance          0.745417E+02   0.147184E+03   0.467648E+03   0.165023E+04   0.439198E-06   0.454028E+01   0.409752E+01   0.977191E+01   0.100940E+02
CV                0.818702E-01   0.288535E+02   0.335128E+01   0.171422E+01   0.949039E+00   0.210552E+00   0.196812E+00   0.204088E+00   0.208525E+00
Skewness          0.167106E+01  -0.177849E+01   0.781226E+00  -0.478070E+00   0.188861E+01   0.928702E+00   0.588437E+00   0.632680E+00   0.627044E+00
Kurtosis          0.178782E+01   0.743096E+01   0.861756E+00   0.636377E-01   0.473941E+01   0.234918E+01   0.487384E+00   0.109450E+01   0.758466E+00
MaxPost           0.990580E+02  -0.567943E+00  -0.587548E+00  -0.683906E+01   0.273833E-04   0.113573E+02   0.101000E+02   0.137414E+02   0.149099E+02
