Km_SU1_a0     Km_SU1_a1     Km_SU1_a2     Km_SU1_a3     Km_SU1_a4     Km_SU1_a5     Km_SU1_a6     Km_SU1_a7     Km_SU1_a8     Km_SU1_a9     Km_SU1_a10    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.300000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.250000E+00  0.500000E+03  0.100000E-01  0.100000E-01  0.100000E-01 -0.272211E+04
  0.323863E+02  0.277673E+01  0.000000E+00  0.000000E+00  0.258839E+00  0.000000E+00  0.000000E+00  0.000000E+00 -0.282798E-02  0.328299E+01  0.000000E+00  0.251344E+00  0.500000E+03  0.100000E-01  0.107370E-01  0.989938E-02 -0.249184E+04
  0.346731E+02  0.110156E+02 -0.230654E+01  0.000000E+00  0.321210E+00  0.000000E+00 -0.933759E+01  0.000000E+00  0.152998E+01  0.150839E+01 -0.265302E+01  0.252778E+00  0.500000E+03  0.105911E-01  0.107040E-01  0.106045E-01 -0.238051E+04
  0.354097E+02  0.799618E+01 -0.230654E+01  0.000000E+00  0.321210E+00  0.000000E+00 -0.933759E+01  0.000000E+00  0.152998E+01  0.150839E+01 -0.362475E+01  0.254114E+00  0.500000E+03  0.105593E-01  0.109281E-01  0.104931E-01 -0.237461E+04
  0.354097E+02  0.799618E+01 -0.230654E+01  0.000000E+00  0.927352E+00  0.000000E+00 -0.823934E+01  0.000000E+00  0.728856E+01  0.150839E+01  0.193851E+01  0.254379E+00  0.495859E+03  0.118659E-01  0.988006E-02  0.109298E-01 -0.236930E+04
  0.367488E+02  0.799618E+01 -0.230654E+01  0.000000E+00 -0.233600E+01  0.000000E+00 -0.823934E+01 -0.245129E+01  0.169096E+02  0.150839E+01  0.278449E+01  0.253573E+00  0.495859E+03  0.106752E-01  0.794599E-02  0.112140E-01 -0.236392E+04
  0.367488E+02  0.799618E+01 -0.230654E+01  0.412112E+01 -0.233600E+01  0.789119E-01 -0.533194E+01 -0.842732E+01  0.148621E+02 -0.207778E+01  0.225845E+01  0.254247E+00  0.495859E+03  0.116832E-01  0.705544E-02  0.107979E-01 -0.235801E+04
  0.367488E+02  0.799618E+01 -0.523091E+01  0.412112E+01 -0.359242E+01  0.789119E-01 -0.890910E+00 -0.842732E+01  0.145853E+02 -0.207778E+01  0.184475E+01  0.255116E+00  0.478965E+03  0.105280E-01  0.689138E-02  0.943181E-02 -0.235314E+04
  0.376566E+02  0.799618E+01 -0.523091E+01  0.651490E+01  0.389649E+00  0.789119E-01 -0.890910E+00 -0.126178E+02  0.145853E+02 -0.890314E+01 -0.975912E+00  0.256702E+00  0.481443E+03  0.102420E-01  0.591844E-02  0.936522E-02 -0.235059E+04
  0.376566E+02  0.799618E+01 -0.523091E+01  0.105636E+02 -0.108089E+01  0.789119E-01 -0.890910E+00 -0.148148E+02  0.184933E+02 -0.890314E+01 -0.197927E+01  0.257227E+00  0.427719E+03  0.109120E-01  0.728157E-02  0.821684E-02 -0.234021E+04
  0.376566E+02  0.634045E+01 -0.523091E+01  0.105636E+02 -0.528161E+01  0.789119E-01 -0.890910E+00 -0.138842E+02  0.187924E+02 -0.890314E+01 -0.110878E+01  0.257010E+00  0.355485E+03  0.100232E-01  0.710028E-02  0.605320E-02 -0.232514E+04
  0.376566E+02  0.634045E+01 -0.523091E+01  0.109526E+02 -0.353243E+01  0.427249E+00 -0.101746E+01 -0.183042E+02  0.187924E+02 -0.776370E+01 -0.110878E+01  0.256311E+00  0.295179E+03  0.103647E-01  0.591734E-02  0.628319E-02 -0.232012E+04
  0.376566E+02  0.634045E+01 -0.523091E+01  0.861514E+01 -0.384897E+01  0.483378E+01 -0.284708E+00 -0.183042E+02  0.187924E+02 -0.776370E+01 -0.110878E+01  0.257556E+00  0.295179E+03  0.107551E-01  0.725228E-02  0.452117E-02 -0.230836E+04
