Km_SU1_a0     Km_SU1_a1     Km_SU1_a2     Km_SU1_a3     Km_SU1_a4     Km_SU1_a5     Km_SU1_a6     Km_SU1_a7     Km_SU1_a8     Km_SU1_a9     Km_SU1_a10    Km_SU1_a11    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.300000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.250000E+00  0.500000E+03  0.100000E-01  0.100000E-01  0.100000E-01 -0.273007E+04
  0.323863E+02  0.277673E+01  0.000000E+00  0.000000E+00  0.258839E+00  0.000000E+00  0.000000E+00  0.000000E+00 -0.282798E-02  0.328299E+01  0.000000E+00  0.671923E+01  0.249311E+00  0.528534E+03  0.107370E-01  0.989938E-02  0.107623E-01 -0.249545E+04
  0.373296E+02  0.277673E+01  0.000000E+00  0.623712E-01  0.258839E+00  0.000000E+00  0.000000E+00 -0.263976E+01 -0.241439E+00  0.445495E+00  0.164474E+01  0.671923E+01  0.247834E+00  0.461144E+03  0.105448E-01  0.853622E-02  0.110777E-01 -0.236386E+04
  0.373296E+02  0.277673E+01  0.000000E+00  0.496052E+01  0.258839E+00 -0.113925E+00 -0.176403E+01 -0.239689E+01 -0.241439E+00 -0.562960E+01  0.409327E+01  0.671923E+01  0.247906E+00  0.461144E+03  0.105235E-01  0.975637E-02  0.109180E-01 -0.236292E+04
  0.373296E+02  0.629259E+01 -0.636223E+01  0.751143E+01  0.258839E+00  0.122400E+01 -0.176403E+01 -0.239689E+01  0.654607E+01 -0.126839E+02  0.881192E+01  0.671923E+01  0.246819E+00  0.461144E+03  0.108547E-01  0.929767E-02  0.103368E-01 -0.235562E+04
  0.373296E+02  0.629259E+01 -0.473093E+01  0.751143E+01 -0.391854E+01  0.351068E+01 -0.176403E+01 -0.239689E+01  0.127920E+02 -0.106996E+02  0.598272E+01  0.500293E+01  0.247376E+00  0.403010E+03  0.110961E-01  0.929767E-02  0.121203E-01 -0.233830E+04
  0.373296E+02  0.629259E+01 -0.473093E+01  0.751143E+01 -0.391854E+01  0.875457E+01 -0.342772E+01 -0.239689E+01  0.127920E+02 -0.133631E+02  0.598272E+01  0.500293E+01  0.246244E+00  0.346304E+03  0.119586E-01  0.936631E-02  0.135099E-01 -0.232497E+04
  0.374638E+02  0.629259E+01 -0.473093E+01  0.751143E+01 -0.703474E+01  0.875457E+01 -0.137430E+02 -0.733291E+01  0.152951E+02 -0.133631E+02  0.433902E+01  0.875418E-02  0.244960E+00  0.346304E+03  0.112387E-01  0.901586E-02  0.165624E-01 -0.232362E+04
  0.378619E+02  0.629259E+01 -0.473093E+01  0.751143E+01 -0.738356E+01  0.875457E+01 -0.137430E+02 -0.627303E+01  0.172138E+02 -0.133631E+02  0.433902E+01  0.382155E+01  0.245769E+00  0.331598E+03  0.107174E-01  0.780890E-02  0.161230E-01 -0.231820E+04
  0.378619E+02  0.629259E+01 -0.573429E+01  0.101372E+02 -0.738356E+01  0.121047E+02 -0.692730E+01 -0.120149E+02  0.147565E+02 -0.150188E+02  0.433902E+01  0.512486E+01  0.244929E+00  0.251936E+03  0.103923E-01  0.799502E-02  0.161828E-01 -0.230506E+04
  0.378619E+02  0.716308E+01 -0.681609E+01  0.101372E+02 -0.738356E+01  0.122254E+02 -0.314370E+01 -0.117396E+02  0.147565E+02 -0.150188E+02  0.433902E+01  0.551388E+01  0.245279E+00  0.255420E+03  0.103669E-01  0.711100E-02  0.167679E-01 -0.230766E+04
  0.378619E+02  0.716308E+01 -0.681609E+01  0.103820E+02 -0.738356E+01  0.139325E+02 -0.905843E+01 -0.117396E+02  0.147565E+02 -0.914292E+01  0.433902E+01 -0.163192E+00  0.246613E+00  0.255420E+03  0.104214E-01  0.660729E-02  0.169399E-01 -0.230572E+04
  0.378619E+02  0.716308E+01 -0.681609E+01  0.103820E+02 -0.738356E+01  0.121254E+02 -0.905843E+01 -0.117396E+02  0.147565E+02 -0.870029E+01  0.319753E+01 -0.252044E+00  0.244476E+00  0.255420E+03  0.104214E-01  0.636681E-02  0.186408E-01 -0.230546E+04
