Km_SU1_a0     Km_SU1_a1     Km_SU1_a2     Km_SU1_a3     Km_SU1_a4     Km_SU1_a5     Km_SU1_a6     Km_SU1_a7     Km_SU1_a8     Km_SU1_a9     Km_SU1_a10    Km_SU1_a11    Km_SU1_a12    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.300000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.250000E+00  0.500000E+03  0.100000E-01  0.100000E-01  0.100000E-01 -0.274039E+04
  0.323863E+02  0.277673E+01  0.000000E+00  0.000000E+00  0.258839E+00  0.000000E+00  0.000000E+00  0.000000E+00 -0.282798E-02  0.328299E+01  0.000000E+00  0.671923E+01 -0.344308E+01  0.250571E+00  0.536849E+03  0.989938E-02  0.107623E-01  0.116478E-01 -0.250306E+04
  0.323863E+02  0.277673E+01  0.623712E-01  0.000000E+00  0.258839E+00  0.000000E+00 -0.263976E+01 -0.238611E+00 -0.282798E-02  0.328299E+01  0.000000E+00  0.671923E+01 -0.344308E+01  0.250379E+00  0.536849E+03  0.102149E-01  0.100083E-01  0.138832E-01 -0.250229E+04
  0.355373E+02  0.767488E+01  0.623712E-01 -0.113925E+00  0.258839E+00  0.242870E+00 -0.263976E+01 -0.631370E+01  0.244570E+01  0.328299E+01  0.356894E+00  0.671923E+01 -0.354974E+01  0.251599E+00  0.528863E+03  0.903451E-02  0.107115E-01  0.126108E-01 -0.239000E+04
  0.355373E+02  0.767488E+01  0.623712E-01 -0.113925E+00  0.210619E+01  0.703038E+01 -0.263976E+01 -0.631370E+01  0.678328E+01 -0.214908E+01  0.356894E+00  0.837516E+01 -0.584325E+01  0.251017E+00  0.461052E+03  0.775675E-02  0.110378E-01  0.126108E-01 -0.237116E+04
  0.355373E+02  0.767488E+01  0.623712E-01 -0.113925E+00  0.210619E+01  0.901470E+01 -0.546896E+01 -0.803000E+01  0.678328E+01 -0.214908E+01  0.156398E+01  0.837516E+01 -0.584325E+01  0.251836E+00  0.448668E+03  0.871639E-02  0.119228E-01  0.141183E-01 -0.236999E+04
  0.355373E+02  0.767488E+01  0.623712E-01 -0.113925E+00 -0.557280E+00  0.901470E+01 -0.546896E+01 -0.136901E+02  0.678328E+01 -0.214908E+01  0.190720E+01  0.837516E+01 -0.561969E+01  0.252805E+00  0.426556E+03  0.965542E-02  0.112995E-01  0.129821E-01 -0.236524E+04
  0.355373E+02  0.767488E+01  0.623712E-01 -0.113925E+00 -0.220098E+01  0.402053E+01 -0.546896E+01 -0.136901E+02  0.678328E+01 -0.214908E+01  0.190720E+01  0.903880E+01 -0.311043E+01  0.252442E+00  0.360826E+03  0.958565E-02  0.102720E-01  0.116944E-01 -0.235545E+04
  0.361732E+02  0.767488E+01 -0.233135E+01 -0.113925E+00 -0.220098E+01  0.402053E+01 -0.327050E+01 -0.160074E+02  0.927588E+01 -0.214908E+01  0.190720E+01  0.776804E+01 -0.311043E+01  0.253202E+00  0.313135E+03  0.103295E-01  0.104220E-01  0.123896E-01 -0.234448E+04
  0.361732E+02  0.767488E+01 -0.233135E+01  0.438086E+01 -0.220098E+01  0.402053E+01 -0.327050E+01 -0.148594E+02  0.927588E+01 -0.214908E+01 -0.438440E+01  0.921126E+01 -0.480474E+01  0.253226E+00  0.350971E+03  0.103846E-01  0.878645E-02  0.111841E-01 -0.234131E+04
  0.361732E+02  0.767488E+01 -0.233135E+01  0.438086E+01 -0.118026E+01  0.402053E+01 -0.327050E+01 -0.138570E+02  0.124989E+02 -0.190429E+01 -0.438440E+01  0.381176E+01 -0.480474E+01  0.253226E+00  0.350971E+03  0.937659E-02  0.765104E-02  0.125180E-01 -0.234164E+04
  0.361732E+02  0.794730E+01 -0.484992E+01  0.524076E+01  0.810805E+00  0.746095E+01 -0.327050E+01 -0.138570E+02  0.124989E+02 -0.190429E+01 -0.364190E+01  0.381176E+01  0.644556E+00  0.254927E+00  0.350971E+03  0.100387E-01  0.699198E-02  0.144231E-01 -0.234047E+04
