Km_SU1_a0     Km_SU1_a1     Km_SU1_a2     Km_SU1_a3     Km_SU1_a4     Km_SU1_a5     Km_SU1_a6     Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.300000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.500000E+00  0.100000E+03  0.100000E-01  0.100000E-01  0.100000E-01 -0.535772E+04
  0.323863E+02  0.277673E+01  0.000000E+00  0.000000E+00  0.258839E+00  0.000000E+00  0.000000E+00  0.500055E+00  0.999943E+02  0.106566E-01  0.929137E-02  0.113438E-01 -0.419896E+04
  0.323863E+02  0.563015E+01  0.368488E+01  0.000000E+00  0.407010E+01  0.000000E+00 -0.230654E+01  0.499400E+00  0.100119E+03  0.932331E-02  0.742385E-02  0.134301E-01 -0.392015E+04
  0.323863E+02  0.563015E+01  0.368488E+01  0.164474E+01  0.407010E+01  0.000000E+00 -0.230654E+01  0.499208E+00  0.100119E+03  0.963881E-02  0.666993E-02  0.156655E-01 -0.391643E+04
  0.355373E+02  0.563015E+01  0.368488E+01  0.153082E+01  0.407010E+01  0.242870E+00 -0.117825E+02  0.497993E+00  0.105016E+03  0.102696E-01  0.674131E-02  0.166130E-01 -0.354211E+04
  0.355373E+02  0.563015E+01  0.288628E+01  0.153082E+01  0.407010E+01  0.242870E+00 -0.923164E+01  0.499030E+00  0.107692E+03  0.102696E-01  0.711078E-02  0.179705E-01 -0.350541E+04
  0.355373E+02  0.563015E+01  0.288628E+01  0.153082E+01  0.407010E+01  0.189881E+01 -0.115251E+02  0.498448E+00  0.107692E+03  0.899183E-02  0.743704E-02  0.179705E-01 -0.350169E+04
  0.355373E+02  0.563015E+01  0.288628E+01  0.484950E+01  0.407010E+01  0.388313E+01 -0.115251E+02  0.498105E+00  0.113262E+03  0.782915E-02  0.767845E-02  0.179705E-01 -0.342272E+04
  0.355373E+02  0.563015E+01  0.164784E+01  0.484950E+01  0.407010E+01  0.388313E+01 -0.115251E+02  0.497772E+00  0.115532E+03  0.529933E-02  0.714576E-02  0.179705E-01 -0.339043E+04
  0.355373E+02  0.563015E+01  0.164784E+01  0.484950E+01  0.407010E+01  0.388313E+01 -0.113016E+02  0.498742E+00  0.115532E+03  0.623836E-02  0.652252E-02  0.168343E-01 -0.339010E+04
