Km_SU1_a0     Km_SU1_a1     Km_SU1_a2     Km_SU1_a3     Km_SU1_a4     Km_SU1_a5     Km_SU1_a6     Km_SU1_a7     Km_SU1_a8     Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.300000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.250000E+00  0.500000E+03  0.100000E-01  0.100000E-01  0.100000E-01 -0.270946E+04
  0.323863E+02  0.277673E+01  0.000000E+00  0.000000E+00  0.258839E+00  0.000000E+00  0.000000E+00  0.000000E+00 -0.282798E-02  0.250657E+00  0.500000E+03  0.113438E-01  0.931138E-02  0.100000E-01 -0.247988E+04
  0.345972E+02  0.277673E+01  0.381127E+01  0.000000E+00  0.258839E+00  0.000000E+00  0.623712E-01 -0.666643E+01 -0.282798E-02  0.252743E+00  0.473602E+03  0.112961E-01  0.874389E-02  0.103289E-01 -0.238441E+04
  0.362916E+02  0.277673E+01  0.381127E+01 -0.960687E+00  0.258839E+00  0.157748E+01 -0.370724E+01 -0.666643E+01  0.524878E+01  0.253722E+00  0.473602E+03  0.112733E-01  0.839108E-02  0.103775E-01 -0.235026E+04
  0.362916E+02  0.277673E+01  0.381127E+01 -0.960687E+00  0.615733E+00  0.631489E+01 -0.381391E+01 -0.666643E+01  0.445017E+01  0.252542E+00  0.473602E+03  0.100009E-01  0.890126E-02  0.114139E-01 -0.234707E+04
  0.370944E+02  0.277673E+01  0.381127E+01 -0.960687E+00  0.615733E+00  0.110336E+02 -0.381391E+01 -0.666643E+01  0.445017E+01  0.252873E+00  0.450667E+03  0.941965E-02  0.754505E-02  0.101361E-01 -0.233446E+04
  0.380732E+02  0.277673E+01  0.381127E+01  0.132600E+01  0.615733E+00  0.110336E+02 -0.381391E+01 -0.468211E+01  0.162098E+01  0.252530E+00  0.450667E+03  0.825697E-02  0.778646E-02  0.101361E-01 -0.232824E+04
  0.380732E+02  0.277673E+01  0.257282E+01  0.132600E+01  0.615733E+00  0.110336E+02 -0.381391E+01 -0.634581E+01  0.275613E+01  0.250000E+00  0.424033E+03  0.825697E-02  0.907867E-02  0.900412E-02 -0.231999E+04
  0.380732E+02  0.277673E+01  0.291605E+01  0.132600E+01  0.839291E+00  0.110336E+02 -0.602503E+01 -0.634581E+01  0.275613E+01  0.248864E+00  0.320880E+03  0.726977E-02  0.957929E-02  0.112345E-01 -0.230293E+04
  0.380732E+02  0.277673E+01  0.291605E+01  0.132600E+01 -0.276029E+01  0.928127E+01 -0.602503E+01 -0.568217E+01  0.526539E+01  0.248501E+00  0.320880E+03  0.720000E-02  0.855172E-02  0.994688E-02 -0.230177E+04
  0.387091E+02  0.277673E+01  0.522322E+00  0.132600E+01 -0.276029E+01  0.928127E+01 -0.382658E+01 -0.799941E+01  0.775799E+01  0.249338E+00  0.320880E+03  0.694585E-02  0.773030E-02  0.107066E-01 -0.229491E+04
  0.387091E+02  0.277673E+01  0.127270E+01  0.480193E+01 -0.276029E+01  0.928127E+01 -0.382658E+01 -0.799941E+01  0.125741E+02  0.248209E+00  0.320880E+03  0.717544E-02  0.641479E-02  0.120808E-01 -0.229600E+04
  0.387091E+02  0.277673E+01 -0.421611E+00  0.492264E+01  0.102331E+01  0.955658E+01 -0.382658E+01 -0.140269E+02  0.107298E+02  0.247363E+00  0.293675E+03  0.645106E-02  0.661893E-02  0.115965E-01 -0.229465E+04
  0.387091E+02  0.377909E+01 -0.421611E+00  0.516743E+01 -0.304502E+01  0.955658E+01 -0.382658E+01 -0.140269E+02  0.166057E+02  0.246355E+00  0.236905E+03  0.778491E-02  0.578070E-02  0.116510E-01 -0.229124E+04
  0.387091E+02  0.377909E+01 -0.421611E+00  0.516743E+01 -0.304502E+01  0.955658E+01 -0.563366E+01 -0.140269E+02  0.173482E+02  0.245967E+00  0.291398E+03  0.948604E-02  0.678042E-02  0.123131E-01 -0.229125E+04
