Km_SU1_a0     Km_SU1_a1     Km_SU1_a2     Km_SU1_a3     Km_SU1_a4     Km_SU1_a5     Km_SU1_a6     Km_SU1_a7     Km_SU1_a8     Km_SU1_a9     Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.300000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.250000E+00  0.500000E+03  0.100000E-01  0.100000E-01  0.100000E-01 -0.271525E+04
  0.323863E+02  0.277673E+01  0.000000E+00  0.000000E+00  0.258839E+00  0.000000E+00  0.000000E+00  0.000000E+00 -0.282798E-02  0.328299E+01  0.249291E+00  0.567192E+03  0.931138E-02  0.100000E-01  0.107370E-01 -0.248000E+04
  0.323863E+02  0.658800E+01  0.000000E+00  0.000000E+00 -0.301422E+01  0.623712E-01  0.000000E+00 -0.933759E+01  0.104282E+02  0.643236E+00  0.249244E+00  0.538817E+03  0.964033E-02  0.105648E-01  0.925997E-02 -0.241533E+04
  0.323863E+02  0.658800E+01  0.000000E+00  0.157748E+01 -0.301422E+01  0.112398E+02  0.000000E+00 -0.933759E+01  0.104282E+02  0.529312E+00  0.248891E+00  0.541246E+03  0.774513E-02  0.934977E-02  0.974968E-02 -0.241144E+04
  0.342787E+02  0.694489E+01  0.000000E+00  0.157748E+01 -0.301422E+01  0.104412E+02 -0.590183E+01 -0.582173E+01  0.406600E+01  0.529312E+00  0.249927E+00  0.541246E+03  0.774513E-02  0.971924E-02  0.111072E-01 -0.237363E+04
  0.342787E+02  0.694489E+01  0.000000E+00  0.157748E+01 -0.301422E+01  0.120971E+02 -0.819533E+01 -0.872791E+01  0.406600E+01 -0.585947E+01  0.250253E+00  0.541246E+03  0.690966E-02  0.101766E-01  0.116851E-01 -0.237436E+04
  0.362699E+02  0.694489E+01  0.198432E+01  0.157748E+01 -0.473052E+01  0.120971E+02 -0.819533E+01 -0.872791E+01  0.406600E+01 -0.585947E+01  0.251072E+00  0.528862E+03  0.786929E-02  0.110616E-01  0.131927E-01 -0.236035E+04
  0.362699E+02  0.528120E+01  0.198432E+01  0.157748E+01 -0.473052E+01  0.120971E+02 -0.819533E+01 -0.872791E+01  0.406600E+01 -0.154695E+01  0.251140E+00  0.528862E+03  0.791400E-02  0.120310E-01  0.127504E-01 -0.235873E+04
  0.362699E+02  0.528120E+01  0.198432E+01  0.157748E+01 -0.473052E+01  0.146002E+02 -0.819533E+01 -0.103716E+02 -0.928170E+00 -0.154695E+01  0.252806E+00  0.492866E+03  0.756355E-02  0.150835E-01  0.128832E-01 -0.235391E+04
  0.377754E+02  0.346676E+01  0.198432E+01  0.122866E+01 -0.473052E+01  0.146002E+02 -0.713545E+01 -0.845296E+01 -0.928170E+00 -0.154695E+01  0.252051E+00  0.407544E+03  0.800324E-02  0.146200E-01  0.133817E-01 -0.232639E+04
  0.377754E+02  0.346676E+01  0.713555E+00  0.122866E+01 -0.931848E+00  0.983110E+01 -0.713545E+01 -0.770258E+01  0.254777E+01  0.144449E+01  0.249435E+00  0.407544E+03  0.890219E-02  0.155833E-01  0.122529E-01 -0.232240E+04
  0.377754E+02  0.461472E+01  0.713555E+00  0.122866E+01 -0.931848E+00  0.112743E+02 -0.882976E+01 -0.758188E+01  0.633137E+01  0.171979E+01  0.247799E+00  0.347270E+03  0.853333E-02  0.147366E-01  0.117088E-01 -0.231036E+04
  0.377754E+02  0.461472E+01 -0.170784E+01  0.122866E+01 -0.931848E+00  0.112743E+02 -0.858497E+01 -0.116502E+02  0.633137E+01  0.171979E+01  0.247799E+00  0.347270E+03  0.752536E-02  0.136012E-01  0.130427E-01 -0.231027E+04
  0.377754E+02  0.488714E+01 -0.170784E+01  0.208856E+01  0.105922E+01  0.112743E+02 -0.858497E+01 -0.779556E+01  0.633137E+01  0.171979E+01  0.247947E+00  0.327893E+03  0.861522E-02  0.153023E-01  0.140424E-01 -0.230697E+04
