"Typology" "SU" "param_name" "prior.dist" "par_1" "par_2" "covariate" "scaled" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18"
"Seine" "SU1" "Km_SU1_a0" "Gaussian" 30 4.06925076245952 0 -1 1 -2.65546795805207e-15 0.456583635621152 -2.80405668116516e-15 0.402701826641637 -2.4586103851176e-15 -0.179227451555077 3.00779361464771e-15 -0.560519648560027 2.48448347705032e-15 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a1" "Gaussian" 8.88178419700125e-15 21.992264141903 15331.4444444444 -0.777777777777778 -2.65484766654119e-15 1 -3.83807985359743e-15 0.935757265408319 -3.03363795560678e-15 0.829196588354629 4.0686771999407e-15 -0.898192054949112 2.55898121388301e-15 -0.955402436691996 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a2" "Gaussian" 3.5527136788005e-15 12.2770514839887 30662.8888888889 -0.555555555555556 0.456583635621152 -3.83807985359743e-15 1 -3.73182408336516e-15 0.54797781140855 -3.1906857328791e-15 -0.278852285162462 3.85432779501536e-15 -0.787867872308824 3.62714138820115e-15 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a3" "Gaussian" -1.86517468137026e-14 35.6990533477688 45994.3333333333 -0.333333333333333 -2.79794263007513e-15 0.935757265408319 -3.79667250620941e-15 1 -3.14192067314832e-15 0.823569344360837 4.03827223407939e-15 -0.913297414551407 2.75247922230755e-15 -0.961739189927006 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a4" "Gaussian" -6.21724893790088e-15 13.3626342868104 61325.7777777778 -0.111111111111111 0.402701826641637 -2.98452551049733e-15 0.54797781140855 -3.14192067314832e-15 1 -2.34586400576618e-15 -0.369726063284126 3.19266988751042e-15 -0.751429697538934 2.80507278698764e-15 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a5" "Gaussian" -2.04281036531029e-14 19.4086743844311 76657.2222222222 0.111111111111111 -2.4586103851176e-15 0.829196588354629 -3.23541497212507e-15 0.823569344360837 -2.37326095765834e-15 1 3.27012123158795e-15 -0.868569716669701 2.22061832278631e-15 -0.872754158255956 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a6" "Gaussian" -3.5527136788005e-15 10.2610678914718 91988.6666666667 0.333333333333333 -0.179227451555077 3.98996034963955e-15 -0.278852285162462 4.00008382958419e-15 -0.369726063284126 3.28015569837428e-15 1 -3.83920467382666e-15 -8.50687640857827e-16 -3.85216665056297e-15 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a7" "Gaussian" 2.26485497023532e-14 27.6524708140385 107320.111111111 0.555555555555556 2.99200726141354e-15 -0.898192054949112 3.85432779501536e-15 -0.913297414551407 3.19266988751042e-15 -0.8685697166697 -3.8517255207042e-15 1 -2.91466773929646e-15 0.864675402334233 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a8" "Gaussian" 1.77635683940025e-14 22.1816590766555 122651.555555556 0.777777777777778 -0.560519648560027 2.61348815098057e-15 -0.787867872308824 2.75247922230755e-15 -0.751429697538934 2.22061832278631e-15 -8.50931530663119e-16 -2.84235762553822e-15 1 -2.48833895233227e-15 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a9" "Gaussian" 3.10862446895044e-15 48.4185829364955 137983 1 2.5182926815122e-15 -0.955402436691996 3.61518819189596e-15 -0.961739189927006 2.78302275620964e-15 -0.872754158255956 -3.85931746605261e-15 0.864675402334233 -2.46103574676203e-15 1 0 0 0 0 0 0 0 0
"Seine" "SU1" "Kf_SU1_a0" "FIX" 20 NA 137983 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"event_1" "node_1" "Q_e1_Poses" "FIX" 1 NA NA NA 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"event_1" "node_2" "Q_e1_Eure" "FIX" 1 NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Y_1" NA "intercept" "Uniform" -10 10 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Y_2" NA "intercept" "Uniform" -1000 1000 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Y_3" NA "intercept" "Exponential" 0 0.01 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Y_4" NA "intercept" "Exponential" 0 0.01 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Y_5" NA "intercept" "Exponential" 0 0.01 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
