X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.600000E+01   0.224165E+05   0.259230E+06   0.100000E+01   0.600000E+01   0.224165E+05   0.259230E+06   0.210445E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.210445E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.210668E+03   0.948304E+02   0.939541E+00   0.278385E+02   0.150000E+02  -0.222796E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.801519E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.225000E+05   0.259266E+06   0.100000E+01   0.600000E+01   0.225000E+05   0.259266E+06   0.210387E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.210387E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.210593E+03   0.948297E+02   0.909034E+00   0.272018E+02   0.150000E+02  -0.205984E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.741034E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.226247E+05   0.259301E+06   0.100000E+01   0.600000E+01   0.226247E+05   0.259301E+06   0.210300E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.210300E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.210465E+03   0.948272E+02   0.909809E+00   0.260271E+02   0.150000E+02  -0.165353E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.594863E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.227493E+05   0.259343E+06   0.100000E+01   0.600000E+01   0.227493E+05   0.259343E+06   0.210170E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.210170E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.210339E+03   0.948251E+02   0.889377E+00   0.254875E+02   0.150000E+02  -0.169037E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.608116E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.228740E+05   0.259376E+06   0.100000E+01   0.600000E+01   0.228740E+05   0.259376E+06   0.210028E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.210028E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.210211E+03   0.948225E+02   0.879608E+00   0.249786E+02   0.150000E+02  -0.183821E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.661302E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.230015E+05   0.259413E+06   0.100000E+01   0.600000E+01   0.230015E+05   0.259413E+06   0.209945E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.209945E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.210057E+03   0.948201E+02   0.944246E+00   0.244997E+02   0.150000E+02  -0.112281E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.403936E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.231290E+05   0.259441E+06   0.100000E+01   0.600000E+01   0.231290E+05   0.259441E+06   0.209865E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.209865E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.209892E+03   0.948173E+02   0.922861E+00   0.236285E+02   0.150000E+02  -0.270994E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.974910E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.232280E+05   0.259478E+06   0.100000E+01   0.600000E+01   0.232280E+05   0.259478E+06   0.209765E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.209765E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.209794E+03   0.948161E+02   0.844245E+00   0.232347E+02   0.150000E+02  -0.290595E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.104543E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.233225E+05   0.259498E+06   0.100000E+01   0.600000E+01   0.233225E+05   0.259498E+06   0.209775E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.209775E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.209680E+03   0.948145E+02   0.947615E+00   0.228677E+02   0.150000E+02   0.950995E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.342124E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.234170E+05   0.259528E+06   0.100000E+01   0.600000E+01   0.234170E+05   0.259528E+06   0.209762E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.209762E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.209496E+03   0.948131E+02   0.102329E+01   0.225267E+02   0.150000E+02   0.266618E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.959170E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.235177E+05   0.259556E+06   0.100000E+01   0.600000E+01   0.235177E+05   0.259556E+06   0.209648E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.209648E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.209271E+03   0.948110E+02   0.101102E+01   0.222110E+02   0.150000E+02   0.376316E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.135381E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.236184E+05   0.259586E+06   0.100000E+01   0.600000E+01   0.236184E+05   0.259586E+06   0.209627E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.209627E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.209066E+03   0.948089E+02   0.991980E+00   0.219198E+02   0.150000E+02   0.561999E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.202182E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.237191E+05   0.259629E+06   0.100000E+01   0.600000E+01   0.237191E+05   0.259629E+06   0.209375E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.209375E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.208885E+03   0.948073E+02   0.962114E+00   0.216524E+02   0.150000E+02   0.490208E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.176354E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.238199E+05   0.259669E+06   0.100000E+01   0.600000E+01   0.238199E+05   0.259669E+06   0.208798E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.208798E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.208727E+03   0.948057E+02   0.930679E+00   0.214081E+02   0.150000E+02   0.705330E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.253745E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.239206E+05   0.259694E+06   0.100000E+01   0.600000E+01   0.239206E+05   0.259694E+06   0.208480E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.208480E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.208585E+03   0.948032E+02   0.905213E+00   0.211862E+02   0.150000E+02  -0.104579E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.376229E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.240213E+05   0.259724E+06   0.100000E+01   0.600000E+01   0.240213E+05   0.259724E+06   0.208365E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.208365E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.208451E+03   0.948010E+02   0.889693E+00   0.209859E+02   0.150000E+02  -0.859082E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.309058E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.241220E+05   0.259767E+06   0.100000E+01   0.600000E+01   0.241220E+05   0.259767E+06   0.208083E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.208083E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.208318E+03   0.947992E+02   0.887916E+00   0.208065E+02   0.150000E+02  -0.235966E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.848898E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.242135E+05   0.259794E+06   0.100000E+01   0.600000E+01   0.242135E+05   0.259794E+06   0.207875E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.207875E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.208198E+03   0.947971E+02   0.905374E+00   0.206474E+02   0.150000E+02  -0.323316E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.116314E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.243050E+05   0.259832E+06   0.100000E+01   0.600000E+01   0.243050E+05   0.259832E+06   0.207657E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.207657E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.208060E+03   0.947958E+02   0.957457E+00   0.205078E+02   0.150000E+02  -0.402679E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.144865E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.244303E+05   0.259864E+06   0.100000E+01   0.600000E+01   0.244303E+05   0.259864E+06   0.207577E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.207577E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.207846E+03   0.947933E+02   0.101740E+01   0.203871E+02   0.150000E+02  -0.268032E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.964257E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.245557E+05   0.259917E+06   0.100000E+01   0.600000E+01   0.245557E+05   0.259917E+06   0.207485E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.207485E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.207650E+03   0.947919E+02   0.955316E+00   0.201995E+02   0.150000E+02  -0.165487E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.595346E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.246810E+05   0.259954E+06   0.100000E+01   0.600000E+01   0.246810E+05   0.259954E+06   0.207370E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.207370E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.207484E+03   0.947894E+02   0.859964E+00   0.201314E+02   0.150000E+02  -0.113896E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.409746E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.247962E+05   0.259985E+06   0.100000E+01   0.600000E+01   0.247962E+05   0.259985E+06   0.207255E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.207255E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.207338E+03   0.947867E+02   0.869881E+00   0.200795E+02   0.150000E+02  -0.828380E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.298013E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.249115E+05   0.260020E+06   0.100000E+01   0.600000E+01   0.249115E+05   0.260020E+06   0.207100E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.207100E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.207204E+03   0.947843E+02   0.843300E+00   0.200432E+02   0.150000E+02  -0.103577E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.372621E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.250268E+05   0.260050E+06   0.100000E+01   0.600000E+01   0.250268E+05   0.260050E+06   0.206975E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.206975E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.207095E+03   0.947814E+02   0.751734E+00   0.200148E+02   0.150000E+02  -0.119636E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.430396E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.600000E+01   0.251420E+05   0.260085E+06   0.100000E+01   0.600000E+01   0.251420E+05   0.260085E+06   0.206768E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.206768E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.207028E+03   0.947783E+02   0.595178E+00   0.200215E+02   0.150000E+02  -0.260524E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.937244E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
