               Km_SU1_Rh_a0   Km_SU1_Rh_a1   Km_SU1_Rh_a2   Km_SU1_Rh_a3   Km_SU1_Rh_a4   Km_SU2_Rh_a0   Km_SU2_Rh_a1   Km_SU2_Rh_a2   Km_SU1_Ai_a0   Km_SU1_Ai_a1   Km_SU1_Ai_a2   Km_SU1_Ai_a3   Km_SU1_Ai_a4   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.226000E+03   0.226000E+03   0.226000E+03   0.226000E+03   0.226000E+03   0.226000E+03   0.226000E+03   0.226000E+03   0.226000E+03   0.226000E+03   0.226000E+03   0.226000E+03   0.226000E+03   0.226000E+03   0.226000E+03   0.226000E+03   0.226000E+03   0.226000E+03
Minimum           0.387756E+02  -0.387250E+01   0.556916E+00  -0.948488E+00  -0.402025E+00   0.328079E+02  -0.812914E+01  -0.167026E+02   0.182457E+02  -0.846204E+01  -0.928042E+01  -0.596616E+01   0.653935E+01   0.232538E+00   0.211695E-03   0.129463E-05   0.682616E-04   0.158744E-04
Maximum           0.418620E+02   0.218601E+01   0.850212E+01   0.937167E+01   0.126690E+02   0.415494E+02   0.540993E+01  -0.103191E+01   0.198441E+02  -0.616298E+01  -0.788679E+01  -0.104839E+01   0.996346E+01   0.290163E+00   0.565101E-01   0.616131E-01   0.441127E-01   0.646314E-01
Range             0.308640E+01   0.605851E+01   0.794520E+01   0.103202E+02   0.130710E+02   0.874150E+01   0.135391E+02   0.156707E+02   0.159840E+01   0.229906E+01   0.139363E+01   0.491777E+01   0.342411E+01   0.576250E-01   0.562984E-01   0.616118E-01   0.440444E-01   0.646155E-01
Mean              0.402846E+02  -0.120567E+01   0.397497E+01   0.393426E+01   0.687213E+01   0.368111E+02   0.100535E+00  -0.950690E+01   0.188242E+02  -0.698932E+01  -0.841050E+01  -0.310168E+01   0.821602E+01   0.255671E+00   0.111808E-01   0.104862E-01   0.929109E-02   0.932326E-02
Median            0.402786E+02  -0.118171E+01   0.402586E+01   0.396091E+01   0.700124E+01   0.368137E+02   0.472964E+00  -0.928118E+01   0.187711E+02  -0.661847E+01  -0.840153E+01  -0.288873E+01   0.822398E+01   0.254784E+00   0.825088E-02   0.682438E-02   0.680092E-02   0.623819E-02
Q10%              0.396606E+02  -0.256390E+01   0.185985E+01   0.126157E+01   0.400821E+01   0.348018E+02  -0.376017E+01  -0.142606E+02   0.183463E+02  -0.815335E+01  -0.894783E+01  -0.570056E+01   0.706526E+01   0.243364E+00   0.164927E-02   0.919186E-03   0.115832E-02   0.878969E-03
Q25%              0.399354E+02  -0.185682E+01   0.297837E+01   0.235254E+01   0.518365E+01   0.357157E+02  -0.202528E+01  -0.119999E+02   0.185159E+02  -0.766330E+01  -0.851770E+01  -0.433994E+01   0.764174E+01   0.248228E+00   0.375578E-02   0.264810E-02   0.312148E-02   0.194614E-02
Q75%              0.406191E+02  -0.638691E+00   0.484773E+01   0.538487E+01   0.847806E+01   0.377410E+02   0.216433E+01  -0.761892E+01   0.190275E+02  -0.641685E+01  -0.822002E+01  -0.195786E+01   0.886386E+01   0.262480E+00   0.162118E-01   0.151069E-01   0.138859E-01   0.122894E-01
Q90%              0.409575E+02   0.304414E-01   0.583839E+01   0.648083E+01   0.958412E+01   0.389001E+02   0.374041E+01  -0.545042E+01   0.195210E+02  -0.621026E+01  -0.795688E+01  -0.121195E+01   0.927575E+01   0.268013E+00   0.244860E-01   0.225287E-01   0.197224E-01   0.232085E-01
St.Dev.           0.505606E+00   0.100324E+01   0.151814E+01   0.204141E+01   0.224943E+01   0.160533E+01   0.277695E+01   0.328698E+01   0.400667E+00   0.711121E+00   0.316080E+00   0.149915E+01   0.797105E+00   0.993762E-02   0.966440E-02   0.103976E-01   0.821680E-02   0.996304E-02
Variance          0.255638E+00   0.100650E+01   0.230476E+01   0.416734E+01   0.505995E+01   0.257708E+01   0.771144E+01   0.108043E+02   0.160534E+00   0.505694E+00   0.999063E-01   0.224746E+01   0.635377E+00   0.987564E-04   0.934006E-04   0.108111E-03   0.675158E-04   0.992621E-04
CV                0.125509E-01   0.832106E+00   0.381926E+00   0.518879E+00   0.327327E+00   0.436098E-01   0.276218E+02   0.345747E+00   0.212847E-01   0.101744E+00   0.375815E-01   0.483336E+00   0.970184E-01   0.388688E-01   0.864377E+00   0.991556E+00   0.884374E+00   0.106862E+01
Skewness          0.939654E-01   0.744206E-01   0.256020E+00   0.406810E-01  -0.362714E+00   0.213862E+00  -0.293743E+00   0.215026E+00   0.733324E+00  -0.572494E+00  -0.483159E+00  -0.356688E+00   0.214956E-02   0.342834E+00   0.138341E+01   0.175190E+01   0.143678E+01   0.212854E+01
Kurtosis         -0.143924E-01   0.337950E+00   0.171100E+00  -0.473209E+00   0.564338E-01   0.934560E-01  -0.553506E+00  -0.308581E+00  -0.250524E+00  -0.115152E+01  -0.684777E-01  -0.985667E+00  -0.855129E+00   0.151386E+00   0.224593E+01   0.395703E+01   0.248285E+01   0.613126E+01
MaxPost           0.405864E+02  -0.458961E+00   0.584359E+01   0.295764E+01   0.863948E+01   0.354777E+02   0.223603E+01  -0.100123E+02   0.196553E+02  -0.839225E+01  -0.900356E+01  -0.111778E+01   0.767674E+01   0.259357E+00   0.440763E-03   0.861626E-02   0.258949E-02   0.547452E-02
