Km_SU1_Rh_a0   Km_SU1_Rh_a1   Km_SU1_Rh_a2   Km_SU1_Rh_a3   Km_SU1_Rh_a4   Km_SU2_Rh_a0   Km_SU2_Rh_a1   Km_SU2_Rh_a2   Km_SU1_Ai_a0   Km_SU1_Ai_a1   Km_SU1_Ai_a2   Km_SU1_Ai_a3   Km_SU1_Ai_a4   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.400996E+02  -0.878190E+00   0.414812E+01   0.346299E+01   0.908193E+01   0.367615E+02  -0.239946E+01  -0.275943E+01   0.189209E+02  -0.621026E+01  -0.790696E+01  -0.586260E+01   0.860627E+01   0.265481E+00   0.108619E-01   0.396966E-02   0.536956E-02   0.118535E-01  -0.102767E+03  -0.364127E+02   0.000000E+00  -0.663543E+02   0.132709E+03
   0.400996E+02  -0.878190E+00   0.408501E+01   0.346299E+01   0.930776E+01   0.367615E+02  -0.254192E+01  -0.275943E+01   0.189209E+02  -0.621026E+01  -0.790696E+01  -0.586260E+01   0.860627E+01   0.271052E+00   0.163161E-01   0.149428E-01   0.570291E-02   0.814031E-02  -0.104593E+03  -0.378060E+02   0.000000E+00  -0.667870E+02   0.133574E+03
   0.398061E+02  -0.172723E+01   0.380334E+01   0.531513E+01   0.729077E+01   0.365515E+02  -0.202336E+01  -0.489262E+01   0.189332E+02  -0.621026E+01  -0.789928E+01  -0.586260E+01   0.921552E+01   0.251823E+00   0.185161E-01   0.626397E-02   0.792285E-02   0.134679E-01  -0.107484E+03  -0.368034E+02   0.000000E+00  -0.706806E+02   0.141361E+03
   0.396876E+02  -0.835990E+00   0.281213E+01   0.580188E+01   0.386390E+01   0.364034E+02  -0.196373E+01  -0.669030E+01   0.188546E+02  -0.621026E+01  -0.789928E+01  -0.586260E+01   0.899910E+01   0.266715E+00   0.794047E-02   0.100985E-01   0.329072E-02   0.489107E-02  -0.102608E+03  -0.332967E+02   0.000000E+00  -0.693113E+02   0.138623E+03
   0.402777E+02  -0.638691E+00   0.723751E+01   0.339165E+01   0.986492E+01   0.390994E+02  -0.270727E+01  -0.927504E+01   0.188645E+02  -0.621026E+01  -0.789928E+01  -0.586260E+01   0.899910E+01   0.272616E+00   0.415259E-02   0.137782E-01   0.157279E-01   0.165113E-02  -0.107078E+03  -0.391151E+02   0.000000E+00  -0.679629E+02   0.135926E+03
   0.401538E+02  -0.849951E+00   0.181348E+01  -0.418974E+00   0.144003E+01   0.398538E+02  -0.769928E+00  -0.122039E+02   0.188486E+02  -0.621026E+01  -0.789928E+01  -0.586260E+01   0.915798E+01   0.262974E+00   0.915830E-02   0.365032E-02   0.133228E-01   0.309559E-02  -0.109455E+03  -0.334678E+02   0.000000E+00  -0.759872E+02   0.151974E+03
   0.401538E+02   0.646166E+00   0.286148E+01   0.611460E+01   0.445920E+01   0.404437E+02  -0.172900E+01  -0.125253E+02   0.188486E+02  -0.621026E+01  -0.788679E+01  -0.586260E+01   0.912086E+01   0.256547E+00   0.135882E-01   0.804376E-02   0.647790E-02   0.451439E-02  -0.109115E+03  -0.355708E+02   0.000000E+00  -0.735442E+02   0.147088E+03
   0.395158E+02   0.674819E-02   0.273488E+01   0.324895E+01   0.445920E+01   0.378696E+02  -0.267145E+00  -0.122970E+02   0.189099E+02  -0.621026E+01  -0.788679E+01  -0.586260E+01   0.911905E+01   0.257860E+00   0.104772E-01   0.332866E-02   0.734663E-02   0.119795E-01  -0.108242E+03  -0.345298E+02   0.000000E+00  -0.737122E+02   0.147424E+03
   0.406375E+02  -0.118650E+01   0.296865E+01   0.276007E+01   0.918154E+01   0.388782E+02   0.121533E+01  -0.136711E+02   0.189099E+02  -0.621026E+01  -0.788679E+01  -0.586260E+01   0.850898E+01   0.257677E+00   0.162778E-01   0.595884E-02   0.145956E-01   0.143747E-01  -0.106231E+03  -0.391871E+02   0.000000E+00  -0.670439E+02   0.134088E+03
   0.403101E+02  -0.136325E+01   0.143399E+01   0.381223E+01   0.528216E+01   0.388782E+02   0.158769E+01  -0.137655E+02   0.189099E+02  -0.621026E+01  -0.789618E+01  -0.586260E+01   0.872441E+01   0.248346E+00   0.340376E-02   0.681457E-03   0.226413E-01   0.586736E-02  -0.105810E+03  -0.351707E+02   0.000000E+00  -0.706393E+02   0.141279E+03
   0.409762E+02   0.140941E+00   0.496307E+01   0.605571E+01   0.825459E+01   0.391403E+02   0.158769E+01  -0.146043E+02   0.189516E+02  -0.621026E+01  -0.789618E+01  -0.586260E+01   0.868252E+01   0.256201E+00   0.305209E-02   0.170909E-01   0.441127E-01   0.764884E-02  -0.110415E+03  -0.424580E+02   0.000000E+00  -0.679570E+02   0.135914E+03
   0.399149E+02   0.492367E+00   0.551743E+01   0.295006E+01   0.795144E+01   0.384973E+02   0.240994E+01  -0.150345E+02   0.189516E+02  -0.621026E+01  -0.789618E+01  -0.596616E+01   0.882700E+01   0.272569E+00   0.314922E-02   0.342129E-01   0.138123E-01   0.116944E-02  -0.110249E+03  -0.396249E+02   0.000000E+00  -0.706241E+02   0.141248E+03
   0.409575E+02  -0.221708E+01   0.508945E+01   0.221080E+01   0.928917E+01   0.358430E+02   0.304295E+01  -0.119999E+02   0.189657E+02  -0.620801E+01  -0.789618E+01  -0.596616E+01   0.877133E+01   0.271662E+00   0.171215E-01   0.446305E-01   0.910171E-02   0.833825E-02  -0.109757E+03  -0.428725E+02   0.000000E+00  -0.668845E+02   0.133769E+03
   0.409575E+02  -0.475371E+00   0.508945E+01   0.482991E+01   0.697191E+01   0.370584E+02   0.460449E+01  -0.143756E+02   0.189657E+02  -0.618084E+01  -0.789618E+01  -0.595747E+01   0.859120E+01   0.269629E+00   0.127228E-01   0.327247E-01   0.162162E-02   0.794615E-02  -0.107325E+03  -0.401044E+02   0.000000E+00  -0.672206E+02   0.134441E+03
   0.407677E+02  -0.483990E+00   0.568509E+01   0.430574E+01   0.761139E+01   0.361772E+02   0.481653E+01  -0.144824E+02   0.188605E+02  -0.618084E+01  -0.790456E+01  -0.575457E+01   0.859120E+01   0.247576E+00   0.254836E-02   0.383646E-01   0.161655E-01   0.225271E-02  -0.107398E+03  -0.408517E+02   0.000000E+00  -0.665463E+02   0.133093E+03
   0.392766E+02  -0.483990E+00   0.260161E+01   0.433535E+01   0.445518E+01   0.373975E+02   0.481653E+01  -0.160502E+02   0.188890E+02  -0.618084E+01  -0.790456E+01  -0.577007E+01   0.893799E+01   0.261181E+00   0.338727E-01   0.519669E-01   0.265743E-02   0.624407E-02  -0.115048E+03  -0.415104E+02   0.000000E+00  -0.735376E+02   0.147075E+03
   0.399985E+02  -0.164157E+01   0.260161E+01   0.152149E+01   0.692879E+01   0.361423E+02   0.481653E+01  -0.116735E+02   0.189297E+02  -0.618084E+01  -0.790456E+01  -0.573472E+01   0.849574E+01   0.268002E+00   0.182981E-01   0.201513E-01   0.199089E-03   0.452023E-02  -0.106795E+03  -0.365421E+02   0.000000E+00  -0.702529E+02   0.140506E+03
   0.398090E+02  -0.104544E+01   0.343924E+01   0.200132E+00   0.752771E+01   0.382557E+02   0.540993E+01  -0.167026E+02   0.189547E+02  -0.618084E+01  -0.790456E+01  -0.573472E+01   0.826870E+01   0.271496E+00   0.460804E-02   0.202027E-01   0.757927E-03   0.181872E-01  -0.110680E+03  -0.380962E+02   0.000000E+00  -0.725838E+02   0.145168E+03
   0.397409E+02  -0.307802E+01   0.117761E+01   0.214880E+01   0.811926E+01   0.375438E+02   0.540993E+01  -0.144646E+02   0.189497E+02  -0.618084E+01  -0.790456E+01  -0.573472E+01   0.826870E+01   0.258200E+00   0.482608E-02   0.240663E-02   0.184887E-02   0.998552E-02  -0.107680E+03  -0.346270E+02   0.000000E+00  -0.730530E+02   0.146106E+03
   0.400211E+02  -0.256818E+01   0.338774E+01   0.928241E+00   0.202962E+01   0.360104E+02   0.382462E+01  -0.114874E+02   0.189497E+02  -0.618084E+01  -0.790456E+01  -0.573472E+01   0.821085E+01   0.260295E+00   0.607841E-02   0.115190E-01   0.424092E-02   0.773099E-02  -0.104769E+03  -0.336478E+02   0.000000E+00  -0.711212E+02   0.142242E+03
   0.399067E+02  -0.125597E+01   0.595586E+01   0.256475E+01   0.881906E+01   0.333332E+02   0.360656E+01  -0.888559E+01   0.188875E+02  -0.618084E+01  -0.790456E+01  -0.573149E+01   0.869464E+01   0.275627E+00   0.291630E-02   0.196686E-01   0.368279E-02   0.570438E-02  -0.108274E+03  -0.369564E+02   0.000000E+00  -0.713176E+02   0.142635E+03
   0.407256E+02  -0.142904E+01   0.320735E+01   0.485178E+01   0.816273E+01   0.348037E+02   0.146770E+01  -0.781969E+01   0.188875E+02  -0.618084E+01  -0.797281E+01  -0.573149E+01   0.875517E+01   0.261267E+00   0.110082E-01   0.242608E-02   0.137722E-02   0.252542E-01  -0.103314E+03  -0.368794E+02   0.000000E+00  -0.664346E+02   0.132869E+03
   0.403254E+02  -0.717835E+00   0.484773E+01   0.577249E+01   0.632174E+01   0.358282E+02   0.284290E+00  -0.783532E+01   0.188625E+02  -0.618084E+01  -0.797281E+01  -0.573149E+01   0.888291E+01   0.277603E+00   0.692551E-02   0.336077E-02   0.872420E-02   0.540276E-02  -0.102091E+03  -0.349992E+02   0.000000E+00  -0.670918E+02   0.134184E+03
   0.403884E+02  -0.443992E+00   0.446735E+01   0.594727E+01   0.584177E+01   0.358329E+02   0.294053E+01  -0.987300E+01   0.187247E+02  -0.618084E+01  -0.795688E+01  -0.542218E+01   0.888291E+01   0.290163E+00   0.154376E-01   0.211609E-02   0.340161E-02   0.120106E-01  -0.106664E+03  -0.358010E+02   0.000000E+00  -0.708630E+02   0.141726E+03
   0.400490E+02  -0.873422E+00   0.369069E+01   0.692865E+01   0.510435E+01   0.393174E+02   0.821959E+00  -0.915331E+01   0.187227E+02  -0.618084E+01  -0.795688E+01  -0.542218E+01   0.874031E+01   0.276604E+00   0.109212E-01   0.293193E-01   0.228050E-02   0.932978E-02  -0.109599E+03  -0.371647E+02   0.000000E+00  -0.724343E+02   0.144869E+03
   0.409746E+02  -0.154565E+01   0.476569E+01   0.262215E+01   0.537965E+01   0.382060E+02   0.897397E+00  -0.101634E+02   0.187227E+02  -0.618084E+01  -0.795688E+01  -0.542218E+01   0.873565E+01   0.243147E+00   0.102582E-02   0.167574E-02   0.182399E-01   0.709567E-02  -0.105891E+03  -0.353824E+02   0.000000E+00  -0.705086E+02   0.141017E+03
   0.398720E+02  -0.109607E+01   0.465711E+01   0.803274E+01   0.893319E+01   0.366195E+02  -0.165905E+01  -0.449844E+01   0.187227E+02  -0.618084E+01  -0.795688E+01  -0.542218E+01   0.873565E+01   0.254054E+00   0.156374E-01   0.253942E-02   0.294605E-02   0.401362E-02  -0.103864E+03  -0.359728E+02   0.000000E+00  -0.678912E+02   0.135782E+03
   0.398720E+02  -0.110398E+01   0.426096E+01   0.320293E+01   0.536334E+01   0.363569E+02  -0.384159E+01  -0.363292E+01   0.187204E+02  -0.618084E+01  -0.795688E+01  -0.542218E+01   0.891669E+01   0.254439E+00   0.349482E-02   0.218199E-02   0.106822E-02   0.503868E-02  -0.101343E+03  -0.325125E+02   0.000000E+00  -0.688305E+02   0.137661E+03
   0.404932E+02  -0.490882E+00   0.318228E+01   0.304640E+01   0.466369E+01   0.390216E+02  -0.347315E+01  -0.656197E+01   0.187050E+02  -0.616298E+01  -0.799225E+01  -0.542218E+01   0.891669E+01   0.253397E+00   0.401017E-03   0.113268E-01   0.493945E-02   0.859360E-02  -0.102939E+03  -0.340558E+02   0.000000E+00  -0.688832E+02   0.137766E+03
   0.404932E+02  -0.178642E+01   0.300072E+01   0.212692E+01   0.414964E+01   0.385393E+02  -0.675171E+00  -0.118631E+02   0.188141E+02  -0.646584E+01  -0.836160E+01  -0.449927E+01   0.907087E+01   0.255608E+00   0.369687E-02   0.115834E-01   0.103763E-01   0.102063E-01  -0.979997E+02  -0.348836E+02   0.000000E+00  -0.631161E+02   0.126232E+03
   0.404932E+02  -0.594697E+00   0.301980E+01   0.227385E+01   0.515597E+01   0.381362E+02  -0.386407E+01  -0.900805E+01   0.188141E+02  -0.646584E+01  -0.836160E+01  -0.454779E+01   0.887623E+01   0.263826E+00   0.221105E-01   0.152010E-01   0.477391E-02   0.859079E-02  -0.997691E+02  -0.365313E+02   0.000000E+00  -0.632378E+02   0.126476E+03
   0.402470E+02  -0.957026E+00   0.475268E+01   0.697001E+01   0.518365E+01   0.385223E+02  -0.348362E+01  -0.977289E+01   0.187999E+02  -0.646584E+01  -0.836160E+01  -0.433274E+01   0.866425E+01   0.268014E+00   0.273341E-01   0.599110E-02   0.279685E-01   0.125995E-01  -0.103534E+03  -0.396853E+02   0.000000E+00  -0.638487E+02   0.127697E+03
   0.402470E+02  -0.710858E+00   0.211703E+01   0.203817E+01   0.727177E+01   0.367103E+02  -0.333145E+01  -0.614895E+01   0.187254E+02  -0.640923E+01  -0.833600E+01  -0.433274E+01   0.855624E+01   0.267503E+00   0.151141E-01   0.196278E-02   0.113862E-01   0.161341E-01  -0.992419E+02  -0.357938E+02   0.000000E+00  -0.634481E+02   0.126896E+03
   0.396585E+02  -0.710858E+00   0.419312E+01   0.241470E+01   0.145467E+01   0.381672E+02  -0.396036E+01  -0.722622E+01   0.187254E+02  -0.640923E+01  -0.833600E+01  -0.427360E+01   0.856762E+01   0.266852E+00   0.780326E-02   0.145188E-01   0.549832E-02   0.917829E-02  -0.101168E+03  -0.335426E+02   0.000000E+00  -0.676254E+02   0.135251E+03
   0.393826E+02  -0.887953E+00   0.398854E+01   0.211094E+01   0.774884E+01   0.368389E+02  -0.188918E+01  -0.794375E+01   0.187254E+02  -0.640923E+01  -0.833600E+01  -0.428496E+01   0.856444E+01   0.241493E+00   0.737865E-02   0.928374E-03   0.105362E-01   0.116257E-01  -0.100132E+03  -0.346515E+02   0.000000E+00  -0.654805E+02   0.130961E+03
