Km_SU1_Rh_a0   Km_SU1_Rh_a1   Km_SU1_Rh_a2   Km_SU1_Rh_a3   Km_SU1_Rh_a4   Km_SU2_Rh_a0   Km_SU2_Rh_a1   Km_SU1_Ai_a0   Km_SU1_Ai_a1   Km_SU1_Ai_a2   Km_SU1_Ai_a3   Km_SU1_Ai_a4   Km_SU2_Ai_a0   Km_SU2_Ai_a1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.360000E+02   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.330000E+02   0.000000E+00   0.190000E+02   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.150000E+02   0.000000E+00   0.100000E+00   0.100000E-01   0.100000E-01   0.100000E-01   0.100000E-01  -0.124315E+04
   0.388636E+02   0.000000E+00   0.000000E+00   0.000000E+00   0.258839E+00   0.330000E+02   0.000000E+00   0.190824E+02  -0.282798E-02   0.000000E+00   0.000000E+00   0.671923E+01   0.125210E+02   0.000000E+00   0.100737E+00   0.989938E-02   0.107623E-01   0.116478E-01   0.953869E-02  -0.833908E+03
   0.388636E+02   0.000000E+00   0.000000E+00   0.000000E+00   0.258839E+00   0.330000E+02   0.000000E+00   0.190824E+02  -0.282798E-02   0.000000E+00   0.000000E+00   0.671923E+01   0.118293E+02  -0.681579E+01   0.101052E+00   0.914545E-02   0.129977E-01   0.126981E-01   0.105183E-01  -0.827528E+03
   0.388636E+02  -0.113925E+00   0.000000E+00   0.242870E+00   0.258839E+00   0.330000E+02   0.244853E+01   0.200286E+02  -0.282798E-02   0.000000E+00   0.000000E+00   0.671923E+01   0.118293E+02  -0.681579E+01   0.101052E+00   0.984863E-02   0.117253E-01   0.132083E-01   0.115547E-01  -0.653805E+03
   0.398269E+02  -0.113925E+00   0.184735E+01   0.703038E+01   0.258839E+00   0.361143E+02   0.678611E+01   0.200286E+02  -0.282798E-02   0.000000E+00   0.000000E+00   0.671923E+01   0.118293E+02  -0.681579E+01   0.101052E+00   0.101749E-01   0.117253E-01   0.123728E-01   0.120120E-01  -0.506641E+03
   0.398269E+02  -0.113925E+00   0.184735E+01   0.703038E+01   0.258839E+00   0.361143E+02   0.957102E+01   0.200286E+02  -0.282798E-02   0.000000E+00   0.000000E+00   0.671923E+01   0.109376E+02  -0.201762E+01   0.101937E+00   0.116824E-01   0.127741E-01   0.120401E-01   0.122391E-01  -0.482290E+03
   0.398269E+02  -0.113925E+00   0.184735E+01   0.703038E+01   0.258839E+00   0.361143E+02   0.957102E+01   0.201316E+02  -0.282798E-02   0.000000E+00   0.000000E+00   0.671923E+01   0.143181E+02  -0.513381E+01   0.101937E+00   0.961936E-02   0.117869E-01   0.125407E-01   0.144695E-01  -0.472215E+03
   0.398269E+02  -0.113925E+00   0.184735E+01   0.703038E+01   0.258839E+00   0.361143E+02   0.957102E+01   0.201316E+02  -0.282798E-02  -0.682535E+01   0.000000E+00   0.671923E+01   0.144965E+02  -0.656388E+01   0.101937E+00   0.955276E-02   0.118985E-01   0.125407E-01   0.152320E-01  -0.382009E+03
   0.398269E+02  -0.113925E+00   0.184735E+01   0.703038E+01   0.258839E+00   0.361143E+02   0.129733E+02   0.201316E+02  -0.282798E-02  -0.682535E+01   0.000000E+00   0.671923E+01   0.150368E+02  -0.308794E+01   0.102536E+00   0.693593E-02   0.125586E-01   0.134396E-01   0.161952E-01  -0.373717E+03
   0.398269E+02  -0.113925E+00   0.184735E+01   0.703038E+01   0.712962E+01   0.361143E+02   0.129733E+02   0.201316E+02  -0.282798E-02  -0.682535E+01   0.275300E+00   0.671923E+01   0.106970E+02  -0.493224E+01   0.102536E+00   0.639183E-02   0.118342E-01   0.136438E-01   0.157110E-01  -0.356916E+03
   0.398269E+02  -0.113925E+00   0.184735E+01   0.727517E+01   0.712962E+01   0.361143E+02   0.129733E+02   0.204766E+02  -0.282798E-02  -0.682535E+01   0.275300E+00   0.671923E+01   0.104691E+02  -0.525711E+00   0.102682E+00   0.606047E-02   0.124429E-01   0.131513E-01   0.157110E-01  -0.329627E+03
   0.398269E+02  -0.113925E+00   0.379953E+01   0.727517E+01   0.712962E+01   0.361143E+02   0.118318E+02   0.204766E+02  -0.106869E+02  -0.682535E+01   0.275300E+00   0.671923E+01   0.173276E+02  -0.475788E+01   0.103646E+00   0.633531E-02   0.137290E-01   0.131191E-01   0.159560E-01  -0.204243E+03
