               Km_SU1_Rh_a0   Km_SU1_Rh_a1   Km_SU1_Rh_a2   Km_SU1_Rh_a3   Km_SU1_Rh_a4   Km_SU2_Rh_a0   Km_SU2_Rh_a1   Km_SU1_Ai_a0   Km_SU1_Ai_a1   Km_SU1_Ai_a2   Km_SU1_Ai_a3   Km_SU1_Ai_a4   Km_SU2_Ai_a0   Km_SU2_Ai_a1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03   0.801000E+03
Minimum           0.360000E+02  -0.164396E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.330000E+02   0.000000E+00   0.190000E+02  -0.107717E+02  -0.147474E+02  -0.601512E+01   0.000000E+00   0.104691E+02  -0.179695E+02   0.100000E+00   0.397980E-05   0.564512E-04   0.651007E-04   0.383500E-05
Maximum           0.417343E+02   0.274932E+01   0.698436E+01   0.119382E+02   0.119537E+02   0.385517E+02   0.158375E+02   0.234724E+02   0.000000E+00   0.000000E+00   0.275300E+00   0.140291E+02   0.782457E+02   0.436074E+02   0.184328E+00   0.375646E-01   0.644210E-01   0.439203E-01   0.477036E-01
Range             0.573430E+01   0.439328E+01   0.698436E+01   0.119382E+02   0.119537E+02   0.555170E+01   0.158375E+02   0.447240E+01   0.107717E+02   0.147474E+02   0.629042E+01   0.140291E+02   0.677766E+02   0.615769E+02   0.843280E-01   0.375606E-01   0.643645E-01   0.438552E-01   0.476998E-01
Mean              0.403755E+02   0.498307E+00   0.367744E+01   0.768834E+01   0.711775E+01   0.367691E+02   0.100915E+02   0.227220E+02  -0.939460E+01  -0.127370E+02  -0.369123E+01   0.807430E+01   0.431731E+02   0.372703E+02   0.149450E+00   0.781346E-02   0.164310E-01   0.104354E-01   0.885235E-02
Median            0.403551E+02   0.405525E+00   0.373905E+01   0.770614E+01   0.711279E+01   0.367356E+02   0.101692E+02   0.227813E+02  -0.954097E+01  -0.133797E+02  -0.393786E+01   0.747119E+01   0.437076E+02   0.435911E+02   0.151157E+00   0.591855E-02   0.132212E-01   0.924552E-02   0.643823E-02
Q10%              0.399567E+02  -0.490716E+00   0.223366E+01   0.590051E+01   0.496959E+01   0.360099E+02   0.818563E+01   0.222858E+02  -0.996848E+01  -0.143177E+02  -0.471085E+01   0.664788E+01   0.436961E+02   0.745132E+01   0.131588E+00   0.152607E-02   0.235218E-02   0.145459E-02   0.781112E-03
Q25%              0.401633E+02  -0.656363E-01   0.268456E+01   0.660547E+01   0.610809E+01   0.362831E+02   0.927536E+01   0.225209E+02  -0.977087E+01  -0.141847E+02  -0.431795E+01   0.689675E+01   0.437040E+02   0.435743E+02   0.143166E+00   0.306155E-02   0.685851E-02   0.377481E-02   0.256956E-02
Q75%              0.406076E+02   0.108086E+01   0.439053E+01   0.860493E+01   0.824160E+01   0.372133E+02   0.110082E+02   0.230782E+02  -0.927617E+01  -0.122960E+02  -0.320951E+01   0.850776E+01   0.437076E+02   0.436002E+02   0.158082E+00   0.101888E-01   0.214870E-01   0.154796E-01   0.136891E-01
Q90%              0.408088E+02   0.156413E+01   0.543032E+01   0.951946E+01   0.935560E+01   0.376993E+02   0.120770E+02   0.232956E+02  -0.875180E+01  -0.103116E+02  -0.255840E+01   0.111467E+02   0.438405E+02   0.436074E+02   0.166298E+00   0.167403E-01   0.364569E-01   0.202005E-01   0.198262E-01
St.Dev.           0.373273E+00   0.756952E+00   0.119547E+01   0.150870E+01   0.178862E+01   0.716339E+00   0.154118E+01   0.518663E+00   0.119729E+01   0.195842E+01   0.970427E+00   0.182212E+01   0.747912E+01   0.149244E+02   0.155784E-01   0.678909E-02   0.131674E-01   0.772010E-02   0.788330E-02
Variance          0.139332E+00   0.572976E+00   0.142915E+01   0.227619E+01   0.319915E+01   0.513142E+00   0.237524E+01   0.269011E+00   0.143349E+01   0.383542E+01   0.941728E+00   0.332014E+01   0.559372E+02   0.222737E+03   0.242686E-03   0.460918E-04   0.173380E-03   0.596000E-04   0.621465E-04
CV                0.924503E-02   0.151905E+01   0.325083E+00   0.196233E+00   0.251290E+00   0.194821E-01   0.152721E+00   0.228264E-01   0.127444E+00   0.153758E+00   0.262900E+00   0.225670E+00   0.173236E+00   0.400436E+00   0.104238E+00   0.868897E+00   0.801374E+00   0.739801E+00   0.890533E+00
Skewness         -0.195720E+01   0.107637E+00   0.273168E+00  -0.356854E+00  -0.450444E+00  -0.702502E+00  -0.115918E+01  -0.291208E+01   0.661287E+01   0.285100E+01   0.100583E+01   0.102335E+01  -0.120799E+01  -0.216960E+01  -0.867300E+00   0.161854E+01   0.120570E+01   0.809755E+00   0.134278E+01
Kurtosis          0.239735E+02  -0.185994E+00  -0.748363E-01   0.259268E+01   0.156903E+01   0.305612E+01   0.676619E+01   0.150647E+02   0.495414E+02   0.141105E+02   0.247807E+01   0.102231E+01   0.960674E+01   0.319765E+01   0.157269E+01   0.283544E+01   0.945763E+00   0.474331E+00   0.238932E+01
MaxPost           0.403447E+02   0.407844E+00   0.307013E+01   0.881626E+01   0.682259E+01   0.369367E+02   0.121502E+02   0.225972E+02  -0.930652E+01  -0.142772E+02  -0.437355E+01   0.688738E+01   0.436961E+02   0.436002E+02   0.142135E+00   0.345732E-02   0.509746E-02   0.280480E-02   0.739156E-05
