               Km_SU1_Rh_a0   Km_SU2_Rh_a0   Km_SU1_Ai_a0   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03   0.101000E+03
Minimum           0.360000E+02   0.263679E+02   0.190000E+02   0.100000E+00   0.130565E-03   0.442080E-03   0.328838E-03   0.354515E-04
Maximum           0.404422E+02   0.310000E+02   0.206110E+02   0.146809E+00   0.129528E-01   0.159372E-01   0.145437E-01   0.176149E-01
Range             0.444220E+01   0.463210E+01   0.161100E+01   0.468090E-01   0.128222E-01   0.154951E-01   0.142149E-01   0.175794E-01
Mean              0.399964E+02   0.272980E+02   0.200084E+02   0.126955E+00   0.519341E-02   0.577346E-02   0.491296E-02   0.827826E-02
Median            0.400771E+02   0.267850E+02   0.202999E+02   0.132036E+00   0.449012E-02   0.516468E-02   0.462813E-02   0.855971E-02
Q10%              0.397919E+02   0.265151E+02   0.190000E+02   0.105664E+00   0.129222E-02   0.766642E-03   0.696487E-03   0.170818E-02
Q25%              0.400208E+02   0.266843E+02   0.197105E+02   0.117022E+00   0.293269E-02   0.239537E-02   0.181393E-02   0.463166E-02
Q75%              0.402150E+02   0.272049E+02   0.204082E+02   0.138737E+00   0.700049E-02   0.907115E-02   0.773880E-02   0.120374E-01
Q90%              0.404238E+02   0.308521E+02   0.204082E+02   0.143360E+00   0.102974E-01   0.111778E-01   0.966609E-02   0.140864E-01
St.Dev.           0.544434E+00   0.130092E+01   0.490791E+00   0.140527E-01   0.330443E-02   0.390845E-02   0.360873E-02   0.457545E-02
Variance          0.296408E+00   0.169239E+01   0.240876E+00   0.197477E-03   0.109193E-04   0.152760E-04   0.130230E-04   0.209347E-04
CV                0.136121E-01   0.476562E-01   0.245292E-01   0.110690E+00   0.636274E+00   0.676969E+00   0.734533E+00   0.552707E+00
Skewness         -0.460042E+01   0.232269E+01  -0.888516E+00  -0.382381E+00   0.624774E+00   0.434936E+00   0.580245E+00  -0.132570E-01
Kurtosis          0.292049E+02   0.387499E+01  -0.492224E+00  -0.115847E+01  -0.416215E+00  -0.797071E+00  -0.409163E+00  -0.830761E+00
MaxPost           0.401785E+02   0.268118E+02   0.200212E+02   0.146809E+00   0.510256E-02   0.472250E-03   0.866649E-02   0.766153E-02
