Km_SU1_Rh_a0   Km_SU2_Rh_a0   Km_SU1_Ai_a0   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.300000E+02   0.300000E+02   0.190000E+02   0.100000E+00   0.100000E-01   0.100000E-01   0.100000E-01   0.100000E-01  -0.365481E+04
   0.323863E+02   0.316660E+02   0.190000E+02   0.100000E+00   0.100518E-01   0.939983E-02   0.891986E-02   0.100550E-01  -0.230819E+04
   0.323863E+02   0.338328E+02   0.190000E+02   0.101209E+00   0.929429E-02   0.939983E-02   0.973053E-02   0.994428E-02  -0.214524E+04
   0.346502E+02   0.398142E+02   0.190000E+02   0.101209E+00   0.930939E-02   0.807987E-02   0.747084E-02   0.124686E-01  -0.136349E+04
   0.346502E+02   0.396237E+02   0.190000E+02   0.101503E+00   0.100611E-01   0.647141E-02   0.567691E-02   0.122129E-01  -0.135325E+04
   0.346502E+02   0.396237E+02   0.190000E+02   0.103694E+00   0.115989E-01   0.764491E-02   0.567691E-02   0.121795E-01  -0.128615E+04
   0.346502E+02   0.398157E+02   0.190000E+02   0.103694E+00   0.123876E-01   0.847609E-02   0.577097E-02   0.121795E-01  -0.128693E+04
   0.346502E+02   0.398157E+02   0.190000E+02   0.103694E+00   0.136333E-01   0.663173E-02   0.651045E-02   0.121795E-01  -0.128694E+04
   0.352238E+02   0.398157E+02   0.193358E+02   0.104879E+00   0.108839E-01   0.813642E-02   0.789362E-02   0.107623E-01  -0.109329E+04
   0.374962E+02   0.398157E+02   0.193358E+02   0.104879E+00   0.797674E-02   0.589543E-02   0.846583E-02   0.107623E-01  -0.791255E+03
   0.374962E+02   0.398157E+02   0.198557E+02   0.105453E+00   0.109223E-01   0.666107E-02   0.737420E-02   0.103189E-01  -0.721778E+03
