Km_SU1_Rh_a0   Km_SU2_Rh_a0   Km_SU1_Ai_a0   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.300000E+02   0.300000E+02   0.190000E+02   0.100000E+00   0.100000E-01   0.100000E-01   0.100000E-01   0.100000E-01  -0.365481E+04   0.762841E+01   0.000000E+00  -0.366244E+04   0.732488E+04
   0.323863E+02   0.316660E+02   0.190000E+02   0.100000E+00   0.100518E-01   0.939983E-02   0.891986E-02   0.100550E-01  -0.230819E+04   0.736226E+01   0.000000E+00  -0.231555E+04   0.463110E+04
   0.323863E+02   0.338328E+02   0.190000E+02   0.101209E+00   0.929429E-02   0.939983E-02   0.973053E-02   0.994428E-02  -0.214524E+04   0.677228E+01   0.000000E+00  -0.215201E+04   0.430402E+04
   0.346502E+02   0.398142E+02   0.190000E+02   0.101209E+00   0.930939E-02   0.807987E-02   0.747084E-02   0.124686E-01  -0.136349E+04   0.199840E+01   0.000000E+00  -0.136549E+04   0.273098E+04
   0.346502E+02   0.396237E+02   0.190000E+02   0.101503E+00   0.100611E-01   0.647141E-02   0.567691E-02   0.122129E-01  -0.135325E+04   0.247418E+01   0.000000E+00  -0.135572E+04   0.271145E+04
   0.346502E+02   0.396237E+02   0.190000E+02   0.103694E+00   0.115989E-01   0.764491E-02   0.567691E-02   0.121795E-01  -0.128615E+04   0.220639E+01   0.000000E+00  -0.128836E+04   0.257671E+04
   0.346502E+02   0.398157E+02   0.190000E+02   0.103694E+00   0.123876E-01   0.847609E-02   0.577097E-02   0.121795E-01  -0.128693E+04   0.184838E+01   0.000000E+00  -0.128878E+04   0.257756E+04
   0.346502E+02   0.398157E+02   0.190000E+02   0.103694E+00   0.136333E-01   0.663173E-02   0.651045E-02   0.121795E-01  -0.128694E+04   0.183430E+01   0.000000E+00  -0.128877E+04   0.257755E+04
   0.352238E+02   0.398157E+02   0.193358E+02   0.104879E+00   0.108839E-01   0.813642E-02   0.789362E-02   0.107623E-01  -0.109329E+04   0.167194E+01   0.000000E+00  -0.109496E+04   0.218992E+04
   0.374962E+02   0.398157E+02   0.193358E+02   0.104879E+00   0.797674E-02   0.589543E-02   0.846583E-02   0.107623E-01  -0.791255E+03   0.684285E+00   0.000000E+00  -0.791939E+03   0.158388E+04
   0.374962E+02   0.398157E+02   0.198557E+02   0.105453E+00   0.109223E-01   0.666107E-02   0.737420E-02   0.103189E-01  -0.721778E+03   0.427952E+00   0.000000E+00  -0.722206E+03   0.144441E+04
