Kmin_MC_Up_a0 Kmin_MC_Up_a1 Kmin_TR_a0    Kmin_TR_a1    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.340000E+02  0.000000E+00  0.280000E+02  0.000000E+00  0.500000E-03  0.100000E-01  0.100000E-01  0.100000E-01  0.100000E-01 -0.439323E+02
  0.340000E+02  0.000000E+00  0.280000E+02 -0.536279E+01  0.551768E-03  0.939983E-02  0.891986E-02  0.100550E-01  0.999943E-02 -0.447930E+02
  0.340000E+02  0.000000E+00  0.280000E+02 -0.536279E+01  0.112245E-02  0.101368E-01  0.881923E-02  0.108172E-01  0.116472E-01 -0.450976E+02
  0.324316E+02  0.000000E+00  0.280424E+02 -0.536279E+01  0.112245E-02  0.910907E-02  0.912580E-02  0.104623E-01  0.111166E-01 -0.429450E+02
  0.324316E+02  0.000000E+00  0.300520E+02 -0.562684E+01  0.182754E-02  0.935461E-02  0.852192E-02  0.969729E-02  0.109508E-01 -0.439711E+02
  0.324316E+02  0.000000E+00  0.288941E+02  0.301229E+01  0.182754E-02  0.900180E-02  0.857049E-02  0.780209E-02  0.973574E-02 -0.421355E+02
  0.324316E+02  0.000000E+00  0.291368E+02  0.301229E+01  0.180620E-02  0.102220E-01  0.841077E-02  0.662173E-02  0.104389E-01 -0.423090E+02
  0.324316E+02  0.000000E+00  0.291368E+02  0.301229E+01  0.416630E-02  0.105914E-01  0.976827E-02  0.521086E-02  0.113826E-01 -0.424445E+02
  0.324316E+02  0.000000E+00  0.291368E+02  0.301229E+01  0.370760E-02  0.100102E-01  0.841206E-02  0.393310E-02  0.117089E-01 -0.421531E+02
  0.324316E+02  0.000000E+00  0.291368E+02  0.301229E+01  0.437133E-02  0.112594E-01  0.880892E-02  0.336726E-02  0.113656E-01 -0.422305E+02
  0.324316E+02  0.000000E+00  0.291368E+02  0.301229E+01  0.615486E-02  0.120776E-01  0.856123E-02  0.432690E-02  0.122506E-01 -0.424856E+02
  0.324316E+02  0.000000E+00  0.280055E+02  0.301229E+01  0.362505E-02  0.115449E-01  0.856123E-02  0.561910E-02  0.111186E-01 -0.420824E+02
  0.324316E+02  0.000000E+00  0.282389E+02  0.301229E+01  0.366976E-02  0.125143E-01  0.811901E-02  0.655813E-02  0.104954E-01 -0.421995E+02
  0.324316E+02  0.000000E+00  0.282389E+02  0.301229E+01  0.590015E-02  0.121856E-01  0.712017E-02  0.527338E-02  0.121612E-01 -0.421209E+02
  0.324316E+02  0.000000E+00  0.282389E+02  0.301229E+01  0.640200E-02  0.118227E-01  0.580556E-02  0.520362E-02  0.111336E-01 -0.418483E+02
  0.324316E+02  0.000000E+00  0.295436E+02 -0.817665E+00  0.872490E-02  0.110679E-01  0.409913E-02  0.564331E-02  0.106702E-01 -0.413264E+02
  0.324316E+02  0.000000E+00  0.295436E+02 -0.285089E+01  0.790349E-02  0.118276E-01  0.314531E-02  0.638716E-02  0.108203E-01 -0.417018E+02
  0.324316E+02  0.000000E+00  0.295436E+02  0.243015E+01  0.880244E-02  0.127908E-01  0.201652E-02  0.814592E-02  0.110499E-01 -0.421833E+02
  0.324316E+02  0.000000E+00  0.252653E+02  0.473931E+01  0.846358E-02  0.128150E-01  0.277324E-02  0.820098E-02  0.941427E-02 -0.440411E+02
  0.324316E+02  0.000000E+00  0.252653E+02  0.386547E+00  0.773920E-02  0.130191E-01  0.228896E-02  0.793558E-02  0.961474E-02 -0.421152E+02
  0.324316E+02  0.391661E+00  0.252653E+02  0.386547E+00  0.952456E-02  0.149322E-01  0.346414E-02  0.692761E-02  0.847933E-02 -0.424183E+02
  0.324316E+02  0.391661E+00  0.254505E+02 -0.364317E+01  0.969654E-02  0.153304E-01  0.415222E-02  0.692761E-02  0.925026E-02 -0.429504E+02
  0.324316E+02  0.391661E+00  0.259554E+02 -0.364317E+01  0.107864E-01  0.170315E-01  0.515194E-02  0.758970E-02  0.859121E-02 -0.428412E+02
  0.324316E+02  0.391661E+00  0.292324E+02 -0.144437E+01  0.120725E-01  0.169992E-01  0.539702E-02  0.779522E-02  0.717370E-02 -0.421258E+02
  0.324316E+02  0.391661E+00  0.314291E+02 -0.289160E+01  0.115405E-01  0.167320E-01  0.587921E-02  0.791574E-02  0.708126E-02 -0.445965E+02
  0.324316E+02  0.391661E+00  0.314291E+02  0.436016E+00  0.115504E-01  0.187264E-01  0.605691E-02  0.629340E-02  0.812580E-02 -0.445024E+02
  0.324316E+02  0.391661E+00  0.245921E+02  0.436016E+00  0.100265E-01  0.187371E-01  0.529201E-02  0.569924E-02  0.956120E-02 -0.437264E+02
  0.324316E+02  0.391661E+00  0.245921E+02 -0.462575E+01  0.833209E-02  0.199019E-01  0.478152E-02  0.494076E-02  0.823009E-02 -0.445737E+02
  0.324316E+02  0.391661E+00  0.275364E+02  0.264748E+01  0.910739E-02  0.178913E-01  0.478158E-02  0.535945E-02  0.755921E-02 -0.421253E+02
  0.324316E+02  0.391661E+00  0.275364E+02  0.264748E+01  0.876428E-02  0.175872E-01  0.402517E-02  0.532555E-02  0.637651E-02 -0.418925E+02
