               Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_TR_a0     Kmin_TR_a1     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.305055E+02  -0.706947E+01   0.231401E+02  -0.917105E+01   0.757105E-04   0.155260E-04   0.211310E-04   0.610463E-05   0.359616E-05
Maximum           0.363334E+02   0.406099E+01   0.329158E+02   0.622087E+01   0.594318E-01   0.771649E-01   0.661034E-01   0.712145E-01   0.603911E-01
Range             0.582790E+01   0.111305E+02   0.977570E+01   0.153919E+02   0.593561E-01   0.771494E-01   0.660823E-01   0.712084E-01   0.603875E-01
Mean              0.329430E+02  -0.134971E+01   0.280565E+02  -0.590026E+00   0.139130E-01   0.984618E-02   0.966649E-02   0.963260E-02   0.905905E-02
Median            0.329167E+02  -0.131848E+01   0.281373E+02  -0.481082E+00   0.116547E-01   0.692037E-02   0.670403E-02   0.626482E-02   0.615755E-02
Q10%              0.318696E+02  -0.345221E+01   0.260488E+02  -0.396807E+01   0.242079E-02   0.133143E-02   0.106595E-02   0.126290E-02   0.884720E-03
Q25%              0.323362E+02  -0.246795E+01   0.269717E+02  -0.234469E+01   0.523056E-02   0.297790E-02   0.273690E-02   0.283863E-02   0.226563E-02
Q75%              0.334420E+02  -0.118301E+00   0.291162E+02   0.125530E+01   0.204365E-01   0.134545E-01   0.132447E-01   0.125893E-01   0.127807E-01
Q90%              0.341120E+02   0.806341E+00   0.299643E+02   0.260539E+01   0.287160E-01   0.230553E-01   0.216167E-01   0.229562E-01   0.202260E-01
St.Dev.           0.896540E+00   0.168479E+01   0.160692E+01   0.257947E+01   0.102365E-01   0.966149E-02   0.979307E-02   0.101603E-01   0.913905E-02
Variance          0.803784E+00   0.283853E+01   0.258219E+01   0.665364E+01   0.104787E-03   0.933443E-04   0.959042E-04   0.103231E-03   0.835222E-04
CV                0.272149E-01   0.124827E+01   0.572744E-01   0.437178E+01   0.735756E+00   0.981242E+00   0.101310E+01   0.105478E+01   0.100883E+01
Skewness          0.420212E+00  -0.132793E+00  -0.110704E+00  -0.228778E+00   0.865668E+00   0.219108E+01   0.194344E+01   0.218543E+01   0.185802E+01
Kurtosis          0.484452E+00   0.167635E-01   0.118762E+00   0.924194E-01   0.457018E+00   0.769187E+01   0.475484E+01   0.626588E+01   0.454730E+01
MaxPost           0.318103E+02  -0.380203E+00   0.269588E+02   0.613612E+00   0.618119E-03   0.213579E-02   0.283062E-02   0.174359E-02   0.833493E-03
