Kmin_MC_Up_a0 Kmin_MC_Up_a1 Kmin_MC_Up_a2 Kmin_TR_a0    Kmin_TR_a1    Kmin_TR_a2    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.340000E+02  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00  0.000000E+00  0.500000E-03  0.100000E-01  0.100000E-01  0.100000E-01  0.100000E-01 -0.439323E+02
  0.340000E+02  0.000000E+00  0.000000E+00  0.261230E+02  0.414143E+00  0.000000E+00  0.500000E-03  0.101102E-01  0.110673E-01  0.979649E-02  0.932289E-02 -0.441478E+02
  0.324104E+02  0.000000E+00  0.000000E+00  0.261230E+02  0.414143E+00  0.000000E+00  0.711836E-03  0.995436E-02  0.111486E-01  0.810677E-02  0.983650E-02 -0.419883E+02
  0.324104E+02  0.000000E+00  0.245250E+01  0.261230E+02 -0.383068E+01  0.000000E+00  0.140225E-02  0.105454E-01  0.111156E-01  0.881185E-02  0.100820E-01 -0.436937E+02
  0.324104E+02  0.000000E+00  0.112576E+01  0.261230E+02 -0.383068E+01  0.000000E+00  0.248214E-02  0.853282E-02  0.117480E-01  0.861751E-02  0.114181E-01 -0.430378E+02
  0.324104E+02 -0.254100E+00  0.112576E+01  0.261230E+02 -0.383068E+01  0.000000E+00  0.139399E-02  0.813101E-02  0.118692E-01  0.677089E-02  0.116378E-01 -0.427606E+02
  0.324104E+02 -0.254100E+00  0.112576E+01  0.292384E+02 -0.170738E+01 -0.662541E+00  0.270063E-02  0.708298E-02  0.123060E-01  0.721726E-02  0.133532E-01 -0.422507E+02
  0.324104E+02 -0.254100E+00 -0.409561E+01  0.251802E+02 -0.170738E+01 -0.662541E+00  0.462483E-02  0.768410E-02  0.124752E-01  0.641131E-02  0.140244E-01 -0.440679E+02
  0.324104E+02 -0.254100E+00 -0.182272E+01  0.251802E+02 -0.170738E+01 -0.662541E+00  0.544906E-02  0.768410E-02  0.124910E-01  0.699279E-02  0.128292E-01 -0.429651E+02
  0.324104E+02 -0.254100E+00 -0.182272E+01  0.270670E+02  0.125442E+01  0.740109E+01  0.455851E-02  0.726805E-02  0.124910E-01  0.772188E-02  0.122443E-01 -0.439995E+02
  0.324104E+02 -0.254100E+00 -0.182272E+01  0.295539E+02  0.125442E+01  0.695821E+01  0.479185E-02  0.718531E-02  0.133597E-01  0.738400E-02  0.110892E-01 -0.442677E+02
  0.324104E+02 -0.254100E+00  0.598098E+00  0.275462E+02  0.125442E+01  0.695821E+01  0.558826E-02  0.683755E-02  0.133597E-01  0.654590E-02  0.116060E-01 -0.438087E+02
  0.324104E+02 -0.254100E+00  0.598098E+00  0.276850E+02 -0.103368E+01 -0.825380E+00  0.552166E-02  0.694919E-02  0.133597E-01  0.730846E-02  0.124158E-01 -0.415846E+02
  0.324104E+02 -0.254100E+00  0.598098E+00  0.276850E+02  0.521912E+01 -0.825380E+00  0.532099E-02  0.747435E-02  0.122853E-01  0.797847E-02  0.137789E-01 -0.440025E+02
  0.324104E+02 -0.254100E+00 -0.205106E+01  0.276850E+02  0.521912E+01 -0.825380E+00  0.372775E-02  0.714918E-02  0.124714E-01  0.803831E-02  0.131883E-01 -0.435032E+02
  0.330024E+02 -0.198497E+01 -0.205106E+01  0.276850E+02  0.376883E+01 -0.825380E+00  0.213975E-02  0.766522E-02  0.109449E-01  0.811611E-02  0.135382E-01 -0.423011E+02
  0.332392E+02 -0.218744E+01 -0.205106E+01  0.293232E+02  0.376883E+01 -0.825380E+00  0.144059E-02  0.645910E-02  0.112863E-01  0.693316E-02  0.137682E-01 -0.422925E+02
  0.332392E+02 -0.218744E+01 -0.205106E+01  0.280143E+02  0.326236E+01 -0.825380E+00  0.158714E-02  0.612773E-02  0.118950E-01  0.644073E-02  0.137682E-01 -0.417765E+02
  0.332392E+02 -0.218744E+01  0.107243E+01  0.280143E+02  0.326236E+01 -0.117167E+00  0.135884E-02  0.610996E-02  0.975818E-02  0.548252E-02  0.137682E-01 -0.419104E+02
  0.324216E+02 -0.218744E+01  0.107243E+01  0.280143E+02  0.392071E+01 -0.117167E+00  0.252403E-02  0.543365E-02  0.849247E-02  0.523231E-02  0.140133E-01 -0.423042E+02
  0.324216E+02 -0.218744E+01  0.107243E+01  0.285572E+02  0.392071E+01 -0.117167E+00  0.280647E-02  0.627854E-02  0.801589E-02  0.514205E-02  0.141374E-01 -0.423790E+02
  0.331791E+02 -0.117154E+01  0.107243E+01  0.284294E+02  0.392071E+01  0.629963E+01  0.279791E-02  0.740732E-02  0.803044E-02  0.541719E-02  0.143354E-01 -0.444685E+02
  0.328922E+02 -0.117154E+01  0.107243E+01  0.284294E+02 -0.155251E+01  0.629963E+01  0.200761E-02  0.836633E-02  0.835892E-02  0.573420E-02  0.138629E-01 -0.431403E+02
  0.328922E+02 -0.117154E+01  0.143894E+00  0.284294E+02 -0.155251E+01 -0.385681E+00  0.205966E-02  0.605200E-02  0.724458E-02  0.630152E-02  0.140090E-01 -0.405884E+02
