Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_MC_Up_a2  Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.315400E+02   0.348730E+00   0.925205E+00   0.261790E+02  -0.368415E+01   0.193793E+01   0.188255E-01   0.213176E-01   0.190589E-01   0.762011E-02   0.340522E-03  -0.452753E+02   0.135870E+02   0.000000E+00  -0.588623E+02   0.117725E+03
   0.316335E+02  -0.257829E+01   0.200185E+01   0.271327E+02   0.481408E+01  -0.539261E+00   0.258847E-01   0.702879E-02   0.684325E-02   0.381235E-02   0.146416E-01  -0.458863E+02   0.151881E+02   0.000000E+00  -0.610744E+02   0.122149E+03
   0.327207E+02  -0.403966E+00   0.502401E+00   0.262564E+02  -0.220054E+01   0.373846E+00   0.823225E-02   0.187027E-01   0.145354E-02   0.323721E-01   0.114466E-01  -0.445003E+02   0.120232E+02   0.000000E+00  -0.565235E+02   0.113047E+03
   0.314096E+02   0.786935E+00  -0.108380E+01   0.282598E+02   0.626015E+00   0.750678E+01   0.349890E-02   0.263352E-02   0.102392E-02   0.160200E-01   0.119234E-02  -0.434763E+02   0.163337E+02   0.000000E+00  -0.598100E+02   0.119620E+03
   0.329512E+02  -0.256561E+01  -0.218118E+01   0.274290E+02   0.429426E+01  -0.394479E+01   0.118573E-01   0.186280E-02   0.414805E-02   0.122689E-01   0.729548E-02  -0.423702E+02   0.158632E+02   0.000000E+00  -0.582334E+02   0.116467E+03
   0.345399E+02  -0.461559E+01   0.138149E+01   0.310147E+02   0.310241E+01  -0.394479E+01   0.252387E-01   0.232252E-02   0.706605E-02   0.117552E-01   0.261897E-02  -0.455157E+02   0.160444E+02   0.000000E+00  -0.615601E+02   0.123120E+03
   0.319522E+02   0.556551E+00   0.378275E+00   0.301530E+02   0.399410E+01  -0.166647E+01   0.343232E-01   0.354518E-01   0.393693E-03   0.113530E-01   0.237850E-01  -0.494453E+02   0.113223E+02   0.000000E+00  -0.607676E+02   0.121535E+03
   0.326890E+02   0.108889E+01  -0.761662E+00   0.275025E+02   0.220224E+00  -0.298726E+01   0.698753E-02   0.227159E-01   0.400253E-01   0.111906E-02   0.380755E-01  -0.489011E+02   0.822710E+01   0.000000E+00  -0.571282E+02   0.114256E+03
   0.328802E+02  -0.190816E+01   0.149200E+01   0.288158E+02  -0.243655E+01   0.477498E+01   0.184074E-01   0.832562E-02   0.352777E-01   0.420136E-02   0.199731E-01  -0.463414E+02   0.116429E+02   0.000000E+00  -0.579843E+02   0.115969E+03
   0.329746E+02  -0.190816E+01  -0.132192E+00   0.272828E+02  -0.134747E+01   0.170112E+01   0.235382E-01   0.205605E-01   0.150615E-02   0.835858E-04   0.142138E-02  -0.405722E+02   0.160635E+02   0.000000E+00  -0.566357E+02   0.113271E+03
   0.305176E+02   0.379602E+00  -0.177656E+01   0.312989E+02   0.547520E+00   0.413229E+01   0.286909E-01   0.924628E-02   0.115636E-01   0.176880E-01   0.303256E-01  -0.522716E+02   0.115383E+02   0.000000E+00  -0.638099E+02   0.127620E+03
