Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_MC_Up_a2  Kmin_MC_Up_a3  Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.335660E+02  -0.238976E+01   0.107833E+01  -0.331569E+01   0.292091E+02  -0.356034E-01  -0.321459E+01   0.182266E+01   0.187734E-01   0.548935E-02   0.243307E-02   0.887359E-02   0.173765E-01  -0.427256E+02   0.150034E+02   0.000000E+00  -0.577290E+02   0.115458E+03
   0.333248E+02  -0.165243E+01   0.162046E+01  -0.304824E+00   0.259486E+02  -0.175973E+01   0.593775E+00   0.182266E+01   0.118814E-01   0.957767E-02   0.149196E-02   0.740787E-02   0.906950E-02  -0.414481E+02   0.156660E+02   0.000000E+00  -0.571141E+02   0.114228E+03
   0.318109E+02   0.864493E+00  -0.218578E+01  -0.261572E+01   0.274549E+02   0.902008E+00   0.319521E+01  -0.878141E+01   0.454015E-02   0.177444E-01   0.597917E-02   0.890952E-02   0.103112E-02  -0.441780E+02   0.150543E+02   0.000000E+00  -0.592323E+02   0.118465E+03
   0.342093E+02  -0.239885E+01  -0.330403E+01   0.130741E+01   0.274297E+02  -0.124982E+01  -0.301360E+01   0.119389E+02   0.113815E-01   0.143700E-01   0.479430E-02   0.902061E-02   0.143965E-02  -0.447672E+02   0.154582E+02   0.000000E+00  -0.602254E+02   0.120451E+03
   0.342964E+02  -0.239885E+01   0.108561E+01  -0.224204E+01   0.303415E+02   0.340218E+01  -0.168845E+01   0.596595E+01   0.244655E-01   0.113053E-01   0.165188E-01   0.101205E-01   0.471718E-02  -0.475897E+02   0.141545E+02   0.000000E+00  -0.617442E+02   0.123488E+03
   0.329340E+02  -0.239885E+01  -0.203833E+01   0.380540E+01   0.281976E+02   0.968597E+00  -0.586303E+01   0.340397E+01   0.291934E-01   0.556056E-02   0.764085E-04   0.115204E-03   0.338797E-03  -0.416265E+02   0.178116E+02   0.000000E+00  -0.594381E+02   0.118876E+03
   0.335211E+02   0.222343E+01  -0.550982E+01  -0.217133E+01   0.287677E+02  -0.801941E+01   0.179688E+01   0.146769E+01   0.318678E-01   0.158727E-01   0.764085E-04   0.992785E-02   0.338797E-03  -0.484818E+02   0.157991E+02   0.000000E+00  -0.642809E+02   0.128562E+03
   0.325659E+02  -0.148104E+00  -0.396030E+00   0.674388E+00   0.283977E+02   0.627370E+00   0.257365E+01   0.366521E+01   0.182202E-01   0.135040E-01   0.190397E-02   0.382039E-02   0.777360E-02  -0.413527E+02   0.157205E+02   0.000000E+00  -0.570732E+02   0.114146E+03
   0.325300E+02   0.117456E+01   0.218327E+01  -0.526260E+00   0.268829E+02   0.346800E+01  -0.675815E+01   0.147335E+00   0.208759E-01   0.783808E-02   0.314056E-02   0.285385E-02   0.158316E-01  -0.460883E+02   0.154543E+02   0.000000E+00  -0.615426E+02   0.123085E+03
   0.323705E+02   0.403873E+00   0.166225E+01   0.472153E+01   0.272818E+02  -0.302982E+01  -0.275832E+01  -0.739224E+01   0.524798E-02   0.527420E-03   0.229530E-01   0.917398E-03   0.123265E-01  -0.450962E+02   0.147482E+02   0.000000E+00  -0.598444E+02   0.119689E+03
   0.336316E+02  -0.182026E+01  -0.116167E+01  -0.611323E+00   0.251879E+02  -0.110196E+01  -0.274737E+01  -0.122067E+01   0.124045E-01   0.532326E-03   0.203141E-01   0.607381E-02   0.482569E-02  -0.423794E+02   0.152461E+02   0.000000E+00  -0.576255E+02   0.115251E+03
   0.317126E+02   0.148173E+01  -0.111104E+01   0.127372E+01   0.258024E+02   0.190178E+01  -0.542632E+00  -0.315084E+01   0.350356E-01   0.745797E-02   0.175005E-01   0.104283E-01   0.303604E-02  -0.461410E+02   0.145784E+02   0.000000E+00  -0.607194E+02   0.121439E+03
   0.331834E+02  -0.285831E+00  -0.126098E+01   0.372787E+01   0.288901E+02   0.385595E+01  -0.145065E+01  -0.198009E+01   0.354967E-02   0.735359E-02   0.137484E-01   0.155550E-02   0.176668E-02  -0.421142E+02   0.159783E+02   0.000000E+00  -0.580925E+02   0.116185E+03
   0.326292E+02  -0.285831E+00   0.381034E+00   0.383527E+01   0.280433E+02   0.284565E+01   0.546684E+01   0.325517E+01   0.604479E-02   0.940671E-03   0.510168E-04   0.133021E-01   0.550949E-02  -0.426913E+02   0.164404E+02   0.000000E+00  -0.591317E+02   0.118263E+03
   0.326292E+02  -0.285831E+00   0.381034E+00   0.447246E+00   0.278206E+02  -0.596972E+00  -0.100295E+01   0.694047E+01   0.604479E-02   0.499989E-01   0.819956E-02   0.138395E-01   0.175557E-02  -0.460049E+02   0.110413E+02   0.000000E+00  -0.570462E+02   0.114092E+03
   0.328648E+02  -0.163599E+01  -0.113783E+01   0.464600E+00   0.319619E+02   0.868090E+00   0.678155E+01  -0.184771E+01   0.914652E-02   0.137173E-01   0.102107E-01   0.184898E-01   0.960733E-02  -0.480145E+02   0.132182E+02   0.000000E+00  -0.612327E+02   0.122465E+03
   0.351308E+02  -0.296413E+01  -0.171510E+01   0.115771E-03   0.262718E+02   0.157176E+01  -0.391310E+01  -0.359940E+01   0.248043E-01   0.897971E-02   0.211812E-01   0.239706E-01   0.275670E-01  -0.500580E+02   0.102508E+02   0.000000E+00  -0.603088E+02   0.120618E+03
   0.343037E+02  -0.221368E+01  -0.171510E+01   0.133691E+01   0.298772E+02  -0.190137E+01  -0.552294E+01   0.651257E+01   0.112680E-01   0.998037E-02   0.484094E-01   0.568582E-02   0.137746E-02  -0.472406E+02   0.118754E+02   0.000000E+00  -0.591160E+02   0.118232E+03
