Kmin_MC_Up_a0 Kmin_MC_Up_a1 Kmin_MC_Up_a2 Kmin_MC_Up_a3 Kmin_MC_Up_a4 Kmin_TR_a0    Kmin_TR_a1    Kmin_TR_a2    Kmin_TR_a3    Kmin_TR_a4    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.340000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.500000E-03  0.100000E-01  0.100000E-01  0.100000E-01  0.100000E-01 -0.439323E+02
  0.340000E+02  0.000000E+00  0.000000E+00 -0.536279E+01  0.414143E+00  0.263195E+02  0.000000E+00  0.439698E+00 -0.452476E-02  0.525279E+01  0.500000E-03  0.953248E-02  0.902521E-02  0.915236E-02  0.118497E-01 -0.446231E+02
  0.340000E+02  0.000000E+00  0.000000E+00 -0.660909E+01  0.106468E+01  0.263195E+02  0.410890E+01  0.439698E+00 -0.452476E-02  0.770529E+01  0.145080E-03  0.900188E-02  0.104591E-01  0.984277E-02  0.124408E-01 -0.472718E+02
  0.338878E+02  0.000000E+00  0.196436E+01 -0.660909E+01 -0.505534E+01  0.263195E+02 -0.231504E+01  0.439698E+00 -0.452476E-02  0.770529E+01  0.145080E-03  0.864907E-02  0.105076E-01  0.794757E-02  0.112258E-01 -0.467775E+02
  0.338878E+02  0.000000E+00  0.253539E+01 -0.660909E+01 -0.522601E+01  0.297359E+02 -0.359280E+01  0.439698E+00  0.562085E+01 -0.247428E+01  0.655261E-03  0.968545E-02  0.107752E-01  0.794757E-02  0.115952E-01 -0.491347E+02
  0.338878E+02  0.000000E+00  0.253539E+01 -0.660909E+01 -0.522601E+01  0.297359E+02 -0.943302E+00 -0.322991E+01  0.970952E+00 -0.133240E+02  0.655261E-03  0.856232E-02  0.102850E-01  0.987177E-02  0.121964E-01 -0.501534E+02
  0.338878E+02  0.000000E+00  0.253539E+01 -0.660909E+01 -0.522601E+01  0.305314E+02 -0.557832E+01 -0.322991E+01  0.970952E+00 -0.673021E+01  0.293149E-02  0.857810E-02  0.108665E-01  0.867656E-02  0.117869E-01 -0.504455E+02
  0.314492E+02  0.000000E+00  0.253539E+01 -0.364729E+01  0.283763E+01  0.280379E+02 -0.557832E+01 -0.322991E+01  0.680372E+01 -0.114092E+02  0.415186E-02  0.832681E-02  0.103339E-01  0.956477E-02  0.120406E-01 -0.485504E+02
  0.312610E+02  0.000000E+00  0.187347E+01  0.330246E+01  0.134539E+00  0.280379E+02 -0.557832E+01 -0.322991E+01  0.922454E+01 -0.114092E+02  0.236368E-02  0.880557E-02  0.111303E-01  0.921701E-02  0.120406E-01 -0.499168E+02
  0.312610E+02  0.000000E+00  0.187347E+01 -0.121059E+01  0.134539E+00  0.281767E+02 -0.786642E+01 -0.322991E+01  0.869178E+01 -0.105161E+02  0.385360E-02  0.956813E-02  0.119401E-01  0.892290E-02  0.115194E-01 -0.503495E+02
  0.312610E+02  0.000000E+00  0.187347E+01 -0.121059E+01 -0.147084E+01  0.296471E+02 -0.786642E+01  0.213023E+01  0.869178E+01 -0.105161E+02  0.336215E-02  0.923699E-02  0.106302E-01  0.918356E-02  0.106792E-01 -0.507857E+02
  0.312610E+02  0.000000E+00  0.187347E+01 -0.731929E+00 -0.147084E+01  0.301346E+02 -0.786642E+01  0.213023E+01  0.158126E+01 -0.105161E+02  0.119851E-02  0.764898E-02  0.111462E-01  0.765707E-02  0.107570E-01 -0.497128E+02
  0.324504E+02  0.557340E+00  0.167099E+01 -0.731929E+00  0.320984E+01  0.301346E+02  0.441780E+01 -0.346304E+01 -0.806770E+01 -0.778473E+01  0.155644E-04  0.787897E-02  0.119963E-01  0.633082E-02  0.128105E-01 -0.465634E+02
  0.324504E+02  0.508747E-01  0.167099E+01  0.440467E+00  0.558929E+00  0.301346E+02  0.478354E+00 -0.346304E+01  0.188764E+01 -0.373879E+01  0.406000E-03  0.921391E-02  0.102342E-01  0.641935E-02  0.125822E-01 -0.437250E+02
  0.323900E+02  0.508747E-01 -0.599468E+01  0.440467E+00 -0.136492E+01  0.301346E+02  0.478354E+00 -0.346304E+01  0.254599E+01  0.272152E+01  0.157119E-02  0.853760E-02  0.896852E-02  0.616914E-02  0.128274E-01 -0.445116E+02
  0.323900E+02 -0.147255E+01  0.548581E+01  0.199181E+01  0.210894E+01  0.301346E+02  0.478354E+00  0.329604E+01 -0.126665E+01  0.199943E+01  0.169522E-02  0.876039E-02  0.909551E-02  0.746968E-02  0.127817E-01 -0.462303E+02
  0.323900E+02 -0.147255E+01  0.541732E+01  0.199181E+01  0.222539E+01  0.301346E+02  0.206239E+01  0.262097E+01 -0.126665E+01  0.199943E+01  0.285098E-02  0.807624E-02  0.939819E-02  0.667938E-02  0.137407E-01 -0.462399E+02
  0.335068E+02 -0.147255E+01  0.163745E+01  0.199181E+01  0.222539E+01  0.298096E+02  0.206239E+01 -0.303780E+01 -0.795197E+01  0.241588E+01  0.536650E-03  0.696189E-02  0.996551E-02  0.682550E-02  0.130106E-01 -0.442118E+02
