X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.100000E+01   0.100000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.100000E+01   0.108000E+05   0.110068E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.110068E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109817E+02   0.500000E+01   0.207495E+01   0.364197E+02   0.180000E+02   0.250262E-01  -0.999900E+04  -0.999900E+04  -0.241965E+01  -0.999900E+04   0.492676E+00  -0.999900E+04  -0.999900E+04  -0.604913E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.200000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.200000E+01   0.108000E+05   0.109966E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109966E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109765E+02   0.500000E+01   0.206140E+01   0.344371E+02   0.180000E+02   0.200660E-01  -0.999900E+04  -0.999900E+04  -0.437132E+00  -0.999900E+04   0.395027E+00  -0.999900E+04  -0.999900E+04  -0.546416E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.300000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.300000E+01   0.108000E+05   0.109778E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109778E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109699E+02   0.500000E+01   0.205146E+01   0.333684E+02   0.180000E+02   0.790569E-02  -0.999900E+04  -0.999900E+04   0.631595E+00  -0.999900E+04   0.155635E+00  -0.999900E+04  -0.999900E+04   0.789494E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.400000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.400000E+01   0.108000E+05   0.110151E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.110151E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109627E+02   0.500000E+01   0.204313E+01   0.329965E+02   0.180000E+02   0.523577E-01  -0.999900E+04  -0.999900E+04   0.100350E+01  -0.999900E+04   0.103074E+01  -0.999900E+04  -0.999900E+04   0.125438E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.500000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.500000E+01   0.108000E+05   0.109834E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109834E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109556E+02   0.500000E+01   0.203477E+01   0.331265E+02   0.180000E+02   0.278513E-01  -0.999900E+04  -0.999900E+04   0.873480E+00  -0.999900E+04   0.548292E+00  -0.999900E+04  -0.999900E+04   0.109185E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.600000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.600000E+01   0.108000E+05   0.109081E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109081E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109489E+02   0.500000E+01   0.202526E+01   0.335857E+02   0.180000E+02  -0.407917E-01  -0.999900E+04  -0.999900E+04   0.414335E+00  -0.999900E+04  -0.803042E+00  -0.999900E+04  -0.999900E+04   0.517919E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.700000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.700000E+01   0.108000E+05   0.109320E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109320E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109430E+02   0.500000E+01   0.201405E+01   0.342232E+02   0.180000E+02  -0.110465E-01  -0.999900E+04  -0.999900E+04  -0.223206E+00  -0.999900E+04  -0.217466E+00  -0.999900E+04  -0.999900E+04  -0.279008E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.800000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.800000E+01   0.108000E+05   0.109954E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109954E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109379E+02   0.500000E+01   0.200104E+01   0.349105E+02   0.180000E+02   0.575279E-01  -0.999900E+04  -0.999900E+04  -0.910502E+00  -0.999900E+04   0.113252E+01  -0.999900E+04  -0.999900E+04  -0.113813E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.900000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.900000E+01   0.108000E+05   0.108782E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108782E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109335E+02   0.500000E+01   0.198644E+01   0.355410E+02   0.180000E+02  -0.553509E-01  -0.999900E+04  -0.999900E+04  -0.154099E+01  -0.999900E+04  -0.108966E+01  -0.999900E+04  -0.999900E+04  -0.192624E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.100000E+02   0.108000E+05   0.100000E+01   0.100000E+01   0.100000E+02   0.108000E+05   0.108986E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108986E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109297E+02   0.500000E+01   0.197065E+01   0.360302E+02   0.180000E+02  -0.310973E-01  -0.999900E+04  -0.999900E+04  -0.203019E+01  -0.999900E+04  -0.612194E+00  -0.999900E+04  -0.999900E+04  -0.253774E+00  -0.999900E+04
