Kmin_MC_a1     Kmin_MC_a2     Kmin_MC_a3     Kmin_MC_a4     Kmin_MC_a5     Kmin_MC_a6     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Kmin_TR_a4     Kmin_TR_a5     Kmin_TR_a6     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.375746E+02   0.386596E+02   0.415228E+02   0.377799E+02   0.329694E+02   0.336319E+02   0.256989E+02   0.321632E+02   0.260406E+02   0.281330E+02   0.306935E+02   0.214436E+02   0.328422E-01   0.909819E-03   0.336430E-02   0.437772E-02   0.862556E-02  -0.509128E+02
   0.284599E+02   0.343573E+02   0.461850E+02   0.405654E+02   0.309052E+02   0.314089E+02   0.258409E+02   0.429349E+02   0.330480E+02   0.315387E+02   0.272405E+02   0.266273E+02   0.347806E-01   0.909819E-03   0.843407E-04   0.437772E-02   0.197137E-01  -0.576934E+02
   0.344787E+02   0.340830E+02   0.381282E+02   0.354781E+02   0.323591E+02   0.316550E+02   0.334172E+02   0.246816E+02   0.310263E+02   0.293039E+02   0.304034E+02   0.278287E+02   0.220986E-01   0.310500E-02   0.158007E-02   0.158783E-01   0.105638E-01  -0.503993E+02
   0.378910E+02   0.392628E+02   0.381282E+02   0.320647E+02   0.424197E+02   0.315906E+02   0.297667E+02   0.379385E+02   0.212666E+02   0.304190E+02   0.274019E+02   0.251140E+02   0.276632E-01   0.449968E-02   0.333984E-05   0.490018E-02   0.112663E-01  -0.544691E+02
   0.315738E+02   0.321395E+02   0.450383E+02   0.370473E+02   0.303944E+02   0.333785E+02   0.317184E+02   0.300661E+02   0.269483E+02   0.240581E+02   0.274925E+02   0.222895E+02   0.413764E-01   0.121718E-02   0.157645E-02   0.854721E-02   0.385620E-01  -0.552242E+02
   0.338363E+02   0.389394E+02   0.340129E+02   0.324665E+02   0.308258E+02   0.319862E+02   0.267973E+02   0.361831E+02   0.269483E+02   0.298659E+02   0.238025E+02   0.275109E+02   0.891947E-02   0.341072E-02   0.105185E-01   0.643883E-02   0.142955E-01  -0.533784E+02
   0.309938E+02   0.352778E+02   0.274461E+02   0.380004E+02   0.280311E+02   0.355467E+02   0.275644E+02   0.219368E+02   0.304500E+02   0.238066E+02   0.262743E+02   0.317989E+02   0.217000E-01   0.594135E-02   0.146661E-01   0.245189E-01   0.199253E-01  -0.587261E+02
   0.353151E+02   0.328777E+02   0.333730E+02   0.381016E+02   0.313334E+02   0.331292E+02   0.306489E+02   0.315251E+02   0.300967E+02   0.250287E+02   0.256756E+02   0.300584E+02   0.174733E-01   0.594135E-02   0.103951E-01   0.136617E-01   0.423579E-02  -0.501479E+02
   0.324320E+02   0.367393E+02   0.391576E+02   0.334242E+02   0.351354E+02   0.338956E+02   0.356362E+02   0.434225E+02   0.263967E+02   0.241343E+02   0.275871E+02   0.293810E+02   0.227012E-01   0.486759E-02   0.179457E-01   0.170960E-02   0.208976E-01  -0.566864E+02
   0.295781E+02   0.311092E+02   0.398837E+02   0.367365E+02   0.386777E+02   0.333013E+02   0.294073E+02   0.336402E+02   0.275343E+02   0.259007E+02   0.175148E+02   0.304467E+02   0.762483E-02   0.280921E-01   0.303664E-02   0.461200E-02   0.215175E-01  -0.574776E+02
   0.343883E+02   0.383761E+02   0.344665E+02   0.340387E+02   0.386734E+02   0.348064E+02   0.293557E+02   0.266783E+02   0.231680E+02   0.321834E+02   0.406939E+02   0.220709E+02   0.130845E-01   0.344477E-02   0.249254E-01   0.303853E-01   0.462049E-03  -0.632014E+02
   0.382157E+02   0.316047E+02   0.385673E+02   0.347282E+02   0.299237E+02   0.338393E+02   0.302087E+02   0.281425E+02   0.265641E+02   0.278138E+02   0.297665E+02   0.274998E+02   0.134176E-01   0.106195E-01   0.194457E-01   0.320932E-02   0.118451E-01  -0.521687E+02
   0.375394E+02   0.340003E+02   0.325457E+02   0.397644E+02   0.318716E+02   0.327334E+02   0.330571E+02   0.360407E+02   0.314695E+02   0.157170E+02   0.272820E+02   0.308523E+02   0.224605E-01   0.980524E-02   0.607407E-02   0.547547E-02   0.270608E-02  -0.551378E+02
   0.328315E+02   0.317933E+02   0.421566E+02   0.392444E+02   0.268767E+02   0.334214E+02   0.288315E+02   0.352487E+02   0.318873E+02   0.272147E+02   0.194620E+02   0.269568E+02   0.435764E-01   0.840713E-02   0.195194E-02   0.600913E-03   0.167728E-01  -0.558917E+02
   0.403495E+02   0.340578E+02   0.334218E+02   0.345147E+02   0.318393E+02   0.321152E+02   0.284177E+02   0.290134E+02   0.331414E+02   0.289984E+02   0.241377E+02   0.186362E+02   0.310680E-01   0.390423E-01   0.140573E-02   0.494872E-02   0.677595E-02  -0.558961E+02
   0.313618E+02   0.362791E+02   0.401183E+02   0.393165E+02   0.385947E+02   0.313081E+02   0.259688E+02   0.187783E+02   0.301427E+02   0.338880E+02   0.308181E+02   0.233209E+02   0.245471E-01   0.342233E-01   0.357861E-02   0.897241E-02   0.822362E-02  -0.568869E+02
   0.357737E+02   0.313677E+02   0.371833E+02   0.322835E+02   0.303642E+02   0.353702E+02   0.279399E+02   0.220892E+02   0.261885E+02   0.213269E+02   0.313429E+02   0.227122E+02   0.508253E-01   0.243095E-01   0.486452E-02   0.306730E-02   0.578947E-02  -0.552091E+02
   0.365538E+02   0.364264E+02   0.411085E+02   0.347998E+02   0.307952E+02   0.319931E+02   0.279399E+02   0.257058E+02   0.282465E+02   0.213269E+02   0.231694E+02   0.272327E+02   0.193146E-01   0.142437E-01   0.154690E-01   0.223813E-01   0.564305E-01  -0.596396E+02
   0.406753E+02   0.340935E+02   0.331044E+02   0.388598E+02   0.401192E+02   0.307769E+02   0.260914E+02   0.294223E+02   0.244339E+02   0.267208E+02   0.261023E+02   0.299171E+02   0.171028E-01   0.243584E-02   0.195292E-01   0.379134E-02   0.833902E-03  -0.526755E+02
