X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.100000E+01   0.100000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.100000E+01   0.108000E+05   0.109315E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109315E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109742E+02   0.500000E+01   0.209455E+01   0.363892E+02   0.180000E+02  -0.426995E-01  -0.999900E+04  -0.999900E+04  -0.238920E+01  -0.999900E+04  -0.853081E+00  -0.999900E+04  -0.999900E+04  -0.597300E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.200000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.200000E+01   0.108000E+05   0.109382E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109382E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109697E+02   0.500000E+01   0.207891E+01   0.363892E+02   0.180000E+02  -0.315132E-01  -0.999900E+04  -0.999900E+04  -0.238920E+01  -0.999900E+04  -0.629594E+00  -0.999900E+04  -0.999900E+04  -0.298650E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.300000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.300000E+01   0.108000E+05   0.109444E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109444E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109631E+02   0.500000E+01   0.206875E+01   0.323792E+02   0.180000E+02  -0.187618E-01  -0.999900E+04  -0.999900E+04   0.162080E+01  -0.999900E+04  -0.374836E+00  -0.999900E+04  -0.999900E+04   0.202600E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.400000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.400000E+01   0.108000E+05   0.109038E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109038E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109545E+02   0.500000E+01   0.206389E+01   0.323792E+02   0.180000E+02  -0.507267E-01  -0.999900E+04  -0.999900E+04   0.162080E+01  -0.999900E+04  -0.101346E+01  -0.999900E+04  -0.999900E+04   0.202600E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.500000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.500000E+01   0.108000E+05   0.109613E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109613E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109461E+02   0.500000E+01   0.205872E+01   0.323792E+02   0.180000E+02   0.152348E-01  -0.999900E+04  -0.999900E+04   0.162080E+01  -0.999900E+04   0.304371E+00  -0.999900E+04  -0.999900E+04   0.202600E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.600000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.600000E+01   0.108000E+05   0.109364E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109364E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109377E+02   0.500000E+01   0.205325E+01   0.323792E+02   0.180000E+02  -0.127383E-02  -0.999900E+04  -0.999900E+04   0.162080E+01  -0.999900E+04  -0.254496E-01  -0.999900E+04  -0.999900E+04   0.202600E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.700000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.700000E+01   0.108000E+05   0.109225E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109225E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109295E+02   0.500000E+01   0.204747E+01   0.323792E+02   0.180000E+02  -0.706432E-02  -0.999900E+04  -0.999900E+04   0.162080E+01  -0.999900E+04  -0.141136E+00  -0.999900E+04  -0.999900E+04   0.202600E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.800000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.800000E+01   0.108000E+05   0.108384E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108384E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109232E+02   0.500000E+01   0.203688E+01   0.357581E+02   0.180000E+02  -0.848034E-01  -0.999900E+04  -0.999900E+04  -0.175810E+01  -0.999900E+04  -0.169426E+01  -0.999900E+04  -0.999900E+04  -0.219762E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.900000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.900000E+01   0.108000E+05   0.108319E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108319E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109189E+02   0.500000E+01   0.202169E+01   0.357581E+02   0.180000E+02  -0.870174E-01  -0.999900E+04  -0.999900E+04  -0.175810E+01  -0.999900E+04  -0.173850E+01  -0.999900E+04  -0.999900E+04  -0.219762E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.100000E+02   0.108000E+05   0.100000E+01   0.100000E+01   0.100000E+02   0.108000E+05   0.108686E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108686E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109147E+02   0.500000E+01   0.200630E+01   0.357581E+02   0.180000E+02  -0.461446E-01  -0.999900E+04  -0.999900E+04  -0.175810E+01  -0.999900E+04  -0.921910E+00  -0.999900E+04  -0.999900E+04  -0.219762E+00  -0.999900E+04
