               Kmin_MC_a1     Kmin_MC_a2     Kmin_MC_a3     Kmin_MC_a4     Kmin_MC_a5     Kmin_MC_a6     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Kmin_TR_a4     Kmin_TR_a5     Kmin_TR_a6     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.214160E+02   0.264681E+02   0.230779E+02   0.256146E+02   0.256360E+02   0.289271E+02   0.178088E+02   0.113582E+02   0.183420E+02   0.157170E+02   0.121589E+02   0.153618E+02   0.319255E-03   0.130550E-04   0.333984E-05   0.626118E-07   0.239964E-04
Maximum           0.443554E+02   0.457946E+02   0.516214E+02   0.452543E+02   0.441943E+02   0.406894E+02   0.373816E+02   0.443191E+02   0.485370E+02   0.424045E+02   0.408452E+02   0.408740E+02   0.680635E-01   0.566292E-01   0.656423E-01   0.522283E-01   0.601099E-01
Range             0.229394E+02   0.193265E+02   0.285435E+02   0.196397E+02   0.185583E+02   0.117623E+02   0.195728E+02   0.329609E+02   0.301950E+02   0.266875E+02   0.286863E+02   0.255122E+02   0.677442E-01   0.566161E-01   0.656390E-01   0.522282E-01   0.600859E-01
Mean              0.343239E+02   0.354190E+02   0.371450E+02   0.356985E+02   0.335174E+02   0.334825E+02   0.285816E+02   0.293921E+02   0.289177E+02   0.281271E+02   0.269935E+02   0.273863E+02   0.259778E-01   0.102972E-01   0.956141E-02   0.995703E-02   0.981457E-02
Median            0.342328E+02   0.352294E+02   0.371300E+02   0.358047E+02   0.329655E+02   0.333598E+02   0.285445E+02   0.293071E+02   0.285480E+02   0.279415E+02   0.272587E+02   0.273044E+02   0.257840E-01   0.700812E-02   0.667605E-02   0.697228E-02   0.678424E-02
Q10%              0.299962E+02   0.315999E+02   0.321013E+02   0.318759E+02   0.292340E+02   0.308907E+02   0.243665E+02   0.227614E+02   0.242232E+02   0.222694E+02   0.211890E+02   0.219862E+02   0.696986E-02   0.120341E-02   0.938574E-03   0.107401E-02   0.881690E-03
Q25%              0.323118E+02   0.332707E+02   0.344732E+02   0.336405E+02   0.308105E+02   0.319434E+02   0.265289E+02   0.257078E+02   0.263856E+02   0.251085E+02   0.238673E+02   0.242631E+02   0.163980E-01   0.313273E-02   0.278468E-02   0.280281E-02   0.272873E-02
Q75%              0.366050E+02   0.375658E+02   0.395609E+02   0.377713E+02   0.360956E+02   0.347995E+02   0.307880E+02   0.331819E+02   0.315907E+02   0.313203E+02   0.302670E+02   0.301637E+02   0.356034E-01   0.151957E-01   0.133822E-01   0.133228E-01   0.138397E-01
Q90%              0.388140E+02   0.391991E+02   0.423377E+02   0.393062E+02   0.388080E+02   0.362399E+02   0.327592E+02   0.360273E+02   0.337105E+02   0.339064E+02   0.323799E+02   0.327024E+02   0.439855E-01   0.238688E-01   0.212830E-01   0.240958E-01   0.228425E-01
St.Dev.           0.348161E+01   0.302386E+01   0.412799E+01   0.298540E+01   0.371343E+01   0.205144E+01   0.320787E+01   0.531156E+01   0.383617E+01   0.448942E+01   0.443276E+01   0.429511E+01   0.136192E-01   0.978789E-02   0.958466E-02   0.996020E-02   0.970127E-02
Variance          0.121216E+02   0.914374E+01   0.170403E+02   0.891261E+01   0.137896E+02   0.420842E+01   0.102904E+02   0.282127E+02   0.147162E+02   0.201549E+02   0.196494E+02   0.184479E+02   0.185483E-03   0.958028E-04   0.918657E-04   0.992055E-04   0.941147E-04
CV                0.101434E+00   0.853739E-01   0.111132E+00   0.836281E-01   0.110791E+00   0.612691E-01   0.112236E+00   0.180714E+00   0.132658E+00   0.159612E+00   0.164216E+00   0.156834E+00   0.524263E+00   0.950538E+00   0.100243E+01   0.100032E+01   0.988456E+00
Skewness         -0.952498E-01   0.197583E+00   0.112859E+00   0.290667E-01   0.423020E+00   0.380606E+00  -0.633475E-01   0.862200E-01   0.344901E+00   0.729429E-01  -0.173590E-01   0.203782E+00   0.177547E+00   0.157385E+01   0.203930E+01   0.177549E+01   0.176139E+01
Kurtosis          0.327517E+00   0.125514E-01   0.600543E+00  -0.532733E-02  -0.345672E+00  -0.103884E+00  -0.793258E-01   0.100599E-01   0.103587E+01  -0.192173E+00  -0.311666E-01   0.396651E-01  -0.383212E+00   0.283093E+01   0.614582E+01   0.333994E+01   0.386382E+01
MaxPost           0.363892E+02   0.323792E+02   0.357581E+02   0.349272E+02   0.334374E+02   0.339723E+02   0.271896E+02   0.292580E+02   0.282948E+02   0.259215E+02   0.285994E+02   0.279582E+02   0.230822E-02   0.101076E-02   0.443480E-02   0.226978E-02   0.134693E-02
