Kmin_MC_a0     Kmin_TR_a0     Q_mult_e1_n1   Q_mult_e1_n2   Q_mult_e2_n1   Q_mult_e2_n2   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.359750E+02   0.350432E+02   0.118552E+01   0.107341E+01   0.164610E+01   0.128946E+01   0.172305E+00   0.123903E-01   0.180332E-01   0.937367E-02   0.924720E-02  -0.121489E+04   0.706120E+00   0.000000E+00  -0.121560E+04   0.243119E+04
   0.362265E+02   0.339947E+02   0.121509E+01   0.107277E+01   0.169296E+01   0.123953E+01   0.179581E+00   0.427445E-02   0.200084E-01   0.104475E-01   0.145174E-02  -0.121641E+04   0.102189E+01   0.000000E+00  -0.121743E+04   0.243486E+04
   0.357737E+02   0.356526E+02   0.118406E+01   0.119956E+01   0.162132E+01   0.123603E+01   0.170021E+00   0.115731E-01   0.950897E-03   0.604670E-02   0.156922E-01  -0.121361E+04   0.247910E+01   0.000000E+00  -0.121609E+04   0.243218E+04
   0.360015E+02   0.349107E+02   0.119971E+01   0.109292E+01   0.163369E+01   0.137306E+01   0.178082E+00   0.212670E-01   0.950897E-03   0.150089E-01   0.510321E-02  -0.121647E+04  -0.480979E+00   0.000000E+00  -0.121599E+04   0.243198E+04
   0.343463E+02   0.345873E+02   0.112406E+01   0.104340E+01   0.153289E+01   0.120385E+01   0.171497E+00   0.145773E-01   0.111265E-01   0.399103E-02   0.474579E-03  -0.121236E+04   0.854810E+01   0.000000E+00  -0.122091E+04   0.244182E+04
   0.343733E+02   0.350386E+02   0.114582E+01   0.106764E+01   0.148308E+01   0.128900E+01   0.199656E+00   0.277966E-01   0.189357E-02   0.193799E-02   0.149963E-01  -0.121785E+04   0.631365E+01   0.000000E+00  -0.122416E+04   0.244833E+04
   0.336100E+02   0.354810E+02   0.110468E+01   0.104943E+01   0.134724E+01   0.135399E+01   0.198603E+00   0.150502E-01   0.379528E-02   0.218593E-02   0.155693E-02  -0.122242E+04   0.113015E+02   0.000000E+00  -0.123372E+04   0.246744E+04
   0.342520E+02   0.346270E+02   0.112685E+01   0.958951E+00   0.154388E+01   0.122695E+01   0.173168E+00   0.129500E-01   0.218500E-01   0.770888E-02   0.286127E-02  -0.121412E+04   0.637851E+01   0.000000E+00  -0.122050E+04   0.244100E+04
   0.341670E+02   0.351331E+02   0.115334E+01   0.135524E+01   0.157128E+01   0.129922E+01   0.174036E+00   0.413883E-03   0.183432E-02   0.238721E-01   0.349120E-02  -0.121640E+04   0.559773E+00   0.000000E+00  -0.121696E+04   0.243392E+04
   0.353366E+02   0.365336E+02   0.115334E+01   0.988988E+00   0.158151E+01   0.129544E+01   0.155920E+00   0.161878E-02   0.325093E-02   0.440355E-02   0.902710E-03  -0.121428E+04   0.720930E+01   0.000000E+00  -0.122149E+04   0.244298E+04
   0.353366E+02   0.339682E+02   0.117639E+01   0.109841E+01   0.164381E+01   0.123277E+01   0.177195E+00   0.135591E-02   0.813359E-02   0.185966E-01   0.902710E-03  -0.121289E+04   0.379292E+01   0.000000E+00  -0.121668E+04   0.243337E+04
   0.356240E+02   0.335076E+02   0.118048E+01   0.100046E+01   0.164864E+01   0.133501E+01   0.170799E+00   0.512080E-02   0.209733E-02   0.348962E-03   0.115211E-01  -0.121450E+04   0.304286E+01   0.000000E+00  -0.121754E+04   0.243509E+04
   0.356240E+02   0.358458E+02   0.117085E+01   0.116799E+01   0.154115E+01   0.136897E+01   0.164732E+00   0.180781E-01   0.418441E-02   0.712995E-02   0.287319E-02  -0.121496E+04   0.293380E+01   0.000000E+00  -0.121789E+04   0.243579E+04
   0.337056E+02   0.337857E+02   0.112908E+01   0.121329E+01   0.154406E+01   0.112814E+01   0.170973E+00   0.258689E-01   0.206482E-02   0.449252E-02   0.981564E-02  -0.121617E+04   0.609279E+01   0.000000E+00  -0.122226E+04   0.244453E+04
   0.352784E+02   0.340878E+02   0.117793E+01   0.117737E+01   0.159580E+01   0.112377E+01   0.159022E+00   0.321561E-01   0.115505E-01   0.320297E-02   0.722126E-02  -0.121658E+04   0.335437E+01   0.000000E+00  -0.121993E+04   0.243987E+04
   0.351638E+02   0.330335E+02   0.116301E+01   0.988220E+00   0.156497E+01   0.122178E+01   0.200422E+00   0.878412E-03   0.159817E-01   0.971985E-02   0.216044E-01  -0.121888E+04   0.516684E+01   0.000000E+00  -0.122405E+04   0.244809E+04
   0.348599E+02   0.334776E+02   0.116221E+01   0.118873E+01   0.155385E+01   0.109789E+01   0.180071E+00   0.675442E-02   0.636641E-02   0.132156E-01   0.208670E-02  -0.121413E+04   0.748281E+01   0.000000E+00  -0.122161E+04   0.244323E+04
   0.349119E+02   0.349439E+02   0.116221E+01   0.962491E+00   0.152644E+01   0.128354E+01   0.183208E+00   0.663676E-02   0.233628E-02   0.970353E-03   0.155014E-01  -0.121257E+04   0.736381E+01   0.000000E+00  -0.121993E+04   0.243987E+04
   0.354499E+02   0.349439E+02   0.116221E+01   0.108551E+01   0.159685E+01   0.121840E+01   0.171673E+00   0.273548E-01   0.332313E-02   0.685588E-02   0.388232E-02  -0.121280E+04   0.454543E+01   0.000000E+00  -0.121735E+04   0.243469E+04
   0.354499E+02   0.332178E+02   0.115389E+01   0.108172E+01   0.153294E+01   0.120101E+01   0.176744E+00   0.124451E-01   0.217707E-01   0.685588E-02   0.354200E-03  -0.121524E+04   0.684579E+01   0.000000E+00  -0.122209E+04   0.244417E+04
