X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.200000E+01   0.270000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.270000E+05   0.108000E+05   0.431455E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.431455E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.436732E+01   0.156689E+03   0.489078E+00   0.205472E+02   0.150000E+02  -0.527663E-01  -0.999900E+04  -0.999900E+04   0.144528E+02   0.100000E+02  -0.952221E+00  -0.999900E+04  -0.999900E+04   0.180660E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.272500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.272500E+05   0.108000E+05   0.436370E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.436370E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.439093E+01   0.156689E+03   0.498392E+00   0.207917E+02   0.150000E+02  -0.272260E-01  -0.999900E+04  -0.999900E+04   0.142083E+02   0.100000E+02  -0.491321E+00  -0.999900E+04  -0.999900E+04   0.177604E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.275000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.275000E+05   0.108000E+05   0.433750E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.433750E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.441543E+01   0.156689E+03   0.507958E+00   0.210362E+02   0.150000E+02  -0.779297E-01  -0.999900E+04  -0.999900E+04   0.139638E+02   0.100000E+02  -0.140632E+01  -0.999900E+04  -0.999900E+04   0.174548E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.277500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.277500E+05   0.108000E+05   0.442789E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.442789E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.444086E+01   0.156689E+03   0.517777E+00   0.212807E+02   0.150000E+02  -0.129718E-01  -0.999900E+04  -0.999900E+04   0.137193E+02   0.100000E+02  -0.234089E+00  -0.999900E+04  -0.999900E+04   0.171491E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.280000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.280000E+05   0.108000E+05   0.438663E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.438663E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.446729E+01   0.156689E+03   0.527851E+00   0.215252E+02   0.150000E+02  -0.806617E-01  -0.999900E+04  -0.999900E+04   0.134748E+02   0.100000E+02  -0.145562E+01  -0.999900E+04  -0.999900E+04   0.168435E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.282500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.282500E+05   0.108000E+05   0.440362E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.440362E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.449478E+01   0.156689E+03   0.538164E+00   0.217697E+02   0.150000E+02  -0.911545E-01  -0.999900E+04  -0.999900E+04   0.132303E+02   0.100000E+02  -0.164498E+01  -0.999900E+04  -0.999900E+04   0.165379E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.285000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.285000E+05   0.108000E+05   0.446997E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.446997E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.452371E+01   0.156688E+03   0.548693E+00   0.217697E+02   0.150000E+02  -0.537467E-01  -0.999900E+04  -0.999900E+04   0.132303E+02   0.100000E+02  -0.969915E+00  -0.999900E+04  -0.999900E+04   0.165379E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.287500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.287500E+05   0.108000E+05   0.452327E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.452327E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.455417E+01   0.156688E+03   0.559413E+00   0.220142E+02   0.150000E+02  -0.309001E-01  -0.999900E+04  -0.999900E+04   0.129858E+02   0.100000E+02  -0.557624E+00  -0.999900E+04  -0.999900E+04   0.162323E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.290000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.290000E+05   0.108000E+05   0.453446E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.453446E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.458588E+01   0.156688E+03   0.570367E+00   0.222587E+02   0.150000E+02  -0.514115E-01  -0.999900E+04  -0.999900E+04   0.127413E+02   0.100000E+02  -0.927772E+00  -0.999900E+04  -0.999900E+04   0.159267E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.292500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.292500E+05   0.108000E+05   0.455054E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.455054E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.461888E+01   0.156688E+03   0.581547E+00   0.225032E+02   0.150000E+02  -0.683395E-01  -0.999900E+04  -0.999900E+04   0.124968E+02   0.100000E+02  -0.123326E+01  -0.999900E+04  -0.999900E+04   0.156210E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.295000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.295000E+05   0.108000E+05   0.463598E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.463598E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.465326E+01   0.156688E+03   0.592942E+00   0.227477E+02   0.150000E+02  -0.172807E-01  -0.999900E+04  -0.999900E+04   0.122523E+02   0.100000E+02  -0.311848E+00  -0.999900E+04  -0.999900E+04   0.153154E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.297500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.297500E+05   0.108000E+05   0.470631E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.470631E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.468908E+01   0.156687E+03   0.604541E+00   0.229922E+02   0.150000E+02   0.172334E-01  -0.999900E+04  -0.999900E+04   0.120078E+02   0.100000E+02   0.310994E+00  -0.999900E+04  -0.999900E+04   0.150098E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.300000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.300000E+05   0.108000E+05   0.463878E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.463878E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.472681E+01   0.156687E+03   0.616253E+00   0.229922E+02   0.150000E+02  -0.880301E-01  -0.999900E+04  -0.999900E+04   0.120078E+02   0.100000E+02  -0.158859E+01  -0.999900E+04  -0.999900E+04   0.150098E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.302500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.302500E+05   0.108000E+05   0.476891E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.476891E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.476652E+01   0.156687E+03   0.628054E+00   0.232366E+02   0.150000E+02   0.238739E-02  -0.999900E+04  -0.999900E+04   0.117634E+02   0.100000E+02   0.430828E-01  -0.999900E+04  -0.999900E+04   0.147042E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.305000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.305000E+05   0.108000E+05   0.476714E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.476714E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.480786E+01   0.156687E+03   0.639997E+00   0.234811E+02   0.150000E+02  -0.407182E-01  -0.999900E+04  -0.999900E+04   0.115189E+02   0.100000E+02  -0.734802E+00  -0.999900E+04  -0.999900E+04   0.143986E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.307500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.307500E+05   0.108000E+05   0.485316E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.485316E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.485087E+01   0.156686E+03   0.652040E+00   0.237256E+02   0.150000E+02   0.229448E-02  -0.999900E+04  -0.999900E+04   0.112744E+02   0.100000E+02   0.414062E-01  -0.999900E+04  -0.999900E+04   0.140929E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.310000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.310000E+05   0.108000E+05   0.483539E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.483539E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.489561E+01   0.156686E+03   0.664200E+00   0.239701E+02   0.150000E+02  -0.602222E-01  -0.999900E+04  -0.999900E+04   0.110299E+02   0.100000E+02  -0.108677E+01  -0.999900E+04  -0.999900E+04   0.137873E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.312500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.312500E+05   0.108000E+05   0.492964E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.492964E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.494216E+01   0.156686E+03   0.676426E+00   0.242146E+02   0.150000E+02  -0.125239E-01  -0.999900E+04  -0.999900E+04   0.107854E+02   0.100000E+02  -0.226007E+00  -0.999900E+04  -0.999900E+04   0.134817E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.315000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.315000E+05   0.108000E+05   0.497015E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.497015E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.499105E+01   0.156686E+03   0.688577E+00   0.242146E+02   0.150000E+02  -0.209019E-01  -0.999900E+04  -0.999900E+04   0.107854E+02   0.100000E+02  -0.377195E+00  -0.999900E+04  -0.999900E+04   0.134817E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.317500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.317500E+05   0.108000E+05   0.504265E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.504265E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.504230E+01   0.156686E+03   0.700618E+00   0.244591E+02   0.150000E+02   0.356674E-03  -0.999900E+04  -0.999900E+04   0.105409E+02   0.100000E+02   0.643655E-02  -0.999900E+04  -0.999900E+04   0.131761E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.320000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.320000E+05   0.108000E+05   0.509157E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.509157E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.509541E+01   0.156685E+03   0.712632E+00   0.247036E+02   0.150000E+02  -0.383767E-02  -0.999900E+04  -0.999900E+04   0.102964E+02   0.100000E+02  -0.692547E-01  -0.999900E+04  -0.999900E+04   0.128705E+01   0.125000E+01
