Kmin_MC_a0    Kmin_MC_a1    Kmin_MC_a2    Kmin_TR_a0    Kmin_TR_a1    Kmin_TR_a2    Q_mult_e1_n1  Q_mult_e1_n2  Q_mult_e2_n1  Q_mult_e2_n2  Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.300000E+02  0.000000E+00  0.000000E+00  0.250000E+02  0.000000E+00  0.000000E+00  0.100000E+01  0.100000E+01  0.100000E+01  0.100000E+01  0.500000E-03  0.100000E-01  0.100000E-01  0.100000E-01  0.100000E-01 -0.895437E+04
  0.300000E+02  0.277673E+01  0.000000E+00  0.249330E+02  0.258839E+00 -0.300086E+01  0.100000E+01  0.127538E+01  0.110673E+01  0.100000E+01  0.500000E-03  0.929137E-02  0.113438E-01  0.931138E-02  0.100000E-01 -0.501903E+04
  0.300000E+02  0.277673E+01  0.000000E+00  0.250977E+02  0.258839E+00 -0.300086E+01  0.100000E+01  0.127538E+01  0.123905E+01  0.100000E+01  0.806562E-03  0.893645E-02  0.108132E-01  0.107452E-01  0.106904E-01 -0.416432E+04
  0.300000E+02  0.277673E+01  0.000000E+00  0.251223E+02  0.258839E+00 -0.300086E+01  0.100000E+01  0.127538E+01  0.134408E+01  0.100000E+01  0.232183E-02  0.891366E-02  0.104604E-01  0.107938E-01  0.879521E-02 -0.396668E+04
  0.300000E+02  0.522526E+01  0.000000E+00  0.251294E+02  0.499625E+01 -0.300086E+01  0.100000E+01  0.127538E+01  0.122605E+01  0.100000E+01  0.232183E-02  0.942384E-02  0.114968E-01  0.110614E-01  0.879521E-02 -0.268968E+04
  0.300000E+02  0.120128E+02  0.000000E+00  0.252238E+02  0.499625E+01 -0.300086E+01  0.100000E+01  0.127538E+01  0.118018E+01  0.941876E+00  0.232183E-02  0.814609E-02  0.118231E-01  0.110614E-01  0.795973E-02 -0.190847E+04
  0.313720E+02  0.120128E+02  0.000000E+00  0.253487E+02  0.499625E+01 -0.300086E+01  0.100000E+01  0.127538E+01  0.118018E+01  0.941876E+00  0.256325E-02  0.814609E-02  0.136066E-01  0.118796E-01  0.771204E-02 -0.155488E+04
  0.313720E+02  0.120128E+02  0.000000E+00  0.253487E+02  0.499625E+01 -0.186571E+01  0.100000E+01  0.127538E+01  0.112691E+01  0.100194E+01  0.385545E-02  0.701407E-02  0.124725E-01  0.127421E-01  0.778069E-02 -0.141033E+04
  0.313720E+02  0.120128E+02  0.000000E+00  0.253487E+02  0.499625E+01 -0.186571E+01  0.100000E+01  0.127538E+01  0.112691E+01  0.985534E+00  0.385545E-02  0.731667E-02  0.117554E-01  0.109540E-01  0.825944E-02 -0.140837E+04
  0.313720E+02  0.120128E+02  0.000000E+00  0.253487E+02  0.499625E+01 -0.186571E+01  0.100000E+01  0.127538E+01  0.112691E+01  0.990490E+00  0.356944E-02  0.634372E-02  0.116888E-01  0.110656E-01  0.825944E-02 -0.140994E+04
  0.313720E+02  0.120128E+02  0.000000E+00  0.252966E+02  0.499625E+01 -0.186571E+01  0.100000E+01  0.127538E+01  0.110684E+01  0.990490E+00  0.356944E-02  0.701374E-02  0.130520E-01  0.991722E-02  0.776799E-02 -0.140497E+04
  0.303786E+02  0.120128E+02  0.130330E+01  0.252966E+02  0.499625E+01 -0.186571E+01  0.100000E+01  0.142497E+01  0.104778E+01  0.100790E+01  0.356944E-02  0.556905E-02  0.121632E-01  0.973594E-02  0.560435E-02 -0.134393E+04
  0.303786E+02  0.120128E+02  0.130330E+01  0.253044E+02  0.674543E+01 -0.151737E+01  0.100000E+01  0.142497E+01  0.104778E+01  0.100790E+01  0.376991E-02  0.621366E-02  0.122121E-01  0.892227E-02  0.452445E-02 -0.133829E+04
  0.303786E+02  0.120128E+02  0.130330E+01  0.253044E+02  0.674543E+01 -0.151737E+01  0.100000E+01  0.142497E+01  0.106244E+01  0.100790E+01  0.437859E-02  0.572123E-02  0.122121E-01  0.101667E-01  0.503019E-02 -0.132206E+04
  0.303786E+02  0.120128E+02  0.130330E+01  0.253132E+02  0.560395E+01 -0.151737E+01  0.100000E+01  0.142497E+01  0.106244E+01  0.100790E+01  0.437859E-02  0.668505E-02  0.124870E-01  0.114528E-01  0.499790E-02 -0.131937E+04
