               Kmin_MR_a0     Kmin_MR_a1     Kmin_MR_a2     Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.295212E+02   0.109330E+02  -0.194612E+01   0.274048E+02  -0.710066E+00  -0.143393E+01   0.477068E-01   0.497791E-04   0.437240E-05   0.457492E-04   0.396228E-04
Maximum           0.304853E+02   0.128457E+02   0.410349E+00   0.313292E+02   0.681731E+01   0.869226E+01   0.751556E-01   0.720548E-01   0.794965E-01   0.708580E-01   0.705109E-01
Range             0.964100E+00   0.191270E+01   0.235647E+01   0.392440E+01   0.752738E+01   0.101262E+02   0.274488E-01   0.720050E-01   0.794921E-01   0.708123E-01   0.704713E-01
Mean              0.300491E+02   0.118703E+02  -0.640209E+00   0.293122E+02   0.295358E+01   0.396175E+01   0.609331E-01   0.100482E-01   0.100679E-01   0.992967E-02   0.106070E-01
Median            0.300561E+02   0.118778E+02  -0.614695E+00   0.293065E+02   0.301335E+01   0.396360E+01   0.607774E-01   0.677743E-02   0.676758E-02   0.709350E-02   0.736252E-02
Q10%              0.298302E+02   0.114723E+02  -0.118311E+01   0.284184E+02   0.131397E+01   0.198938E+01   0.555197E-01   0.118136E-02   0.873918E-03   0.109263E-02   0.138565E-02
Q25%              0.299430E+02   0.116448E+02  -0.970326E+00   0.288586E+02   0.211350E+01   0.281544E+01   0.579575E-01   0.258253E-02   0.262997E-02   0.302718E-02   0.320483E-02
Q75%              0.301553E+02   0.121139E+02  -0.332228E+00   0.298427E+02   0.388564E+01   0.502156E+01   0.638866E-01   0.142016E-01   0.133200E-01   0.134890E-01   0.147075E-01
Q90%              0.302546E+02   0.122887E+02  -0.945267E-01   0.301932E+02   0.450655E+01   0.607106E+01   0.665585E-01   0.218981E-01   0.229193E-01   0.236120E-01   0.243314E-01
St.Dev.           0.159935E+00   0.320774E+00   0.424300E+00   0.704932E+00   0.127029E+01   0.159769E+01   0.441638E-02   0.106444E-01   0.110285E-01   0.943322E-02   0.102549E-01
Variance          0.255792E-01   0.102896E+00   0.180030E+00   0.496928E+00   0.161365E+01   0.255262E+01   0.195044E-04   0.113304E-03   0.121628E-03   0.889857E-04   0.105163E-03
CV                0.532245E-02   0.270233E-01   0.662752E+00   0.240491E-01   0.430087E+00   0.403279E+00   0.724791E-01   0.105934E+01   0.109541E+01   0.950003E+00   0.966804E+00
Skewness         -0.228806E+00  -0.629128E-01  -0.963172E-01   0.770558E-02  -0.114183E+00  -0.212458E-01   0.199938E+00   0.230052E+01   0.224542E+01   0.185720E+01   0.190378E+01
Kurtosis         -0.879803E-01  -0.263144E+00  -0.344642E+00  -0.713603E-01  -0.113324E+00  -0.326716E-02   0.322631E-01   0.733560E+01   0.652464E+01   0.531638E+01   0.524360E+01
MaxPost           0.301575E+02   0.119839E+02  -0.700327E+00   0.292960E+02   0.270381E+01   0.580718E+01   0.602538E-01   0.151499E-02   0.278098E-02   0.244447E-02   0.459809E-02
