Kmin_MR_a0     Kmin_MR_a1     Kmin_MR_a2     Kmin_MR_a3     Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.302279E+02   0.120845E+02  -0.111777E+01  -0.449646E+00   0.287461E+02   0.117630E+01   0.195368E+01  -0.295278E+01   0.615225E-01   0.189727E-02   0.384238E-02   0.705323E-02   0.583989E-02  -0.110452E+04
   0.298134E+02   0.115508E+02  -0.304972E+00   0.453364E-01   0.287687E+02   0.463162E+00   0.609637E+01  -0.263722E+01   0.551336E-01   0.959757E-03   0.865696E-02   0.256181E-02   0.469789E-02  -0.110629E+04
   0.299189E+02   0.115957E+02  -0.822698E+00   0.236289E+00   0.297107E+02   0.320561E+01   0.499570E+01  -0.138150E+01   0.667127E-01   0.163982E-03   0.626825E-02   0.147314E-02   0.245974E-01  -0.110559E+04
   0.299189E+02   0.115957E+02  -0.104789E+01  -0.106782E+01   0.290940E+02   0.253507E+01   0.468940E+01  -0.223741E+01   0.563695E-01   0.253786E-01   0.112484E-01   0.132367E-01   0.588389E-02  -0.110623E+04
   0.303073E+02   0.120720E+02  -0.970613E+00  -0.643933E+00   0.282670E+02   0.196132E+01   0.398077E+01  -0.682660E+01   0.551178E-01   0.924679E-03   0.360826E-02   0.329528E-02   0.579256E-02  -0.110635E+04
   0.301368E+02   0.119032E+02  -0.671712E+00  -0.964174E-01   0.303793E+02   0.203676E+01   0.224526E+01  -0.115827E+01   0.645684E-01   0.123497E-01   0.128901E-01   0.332611E-02   0.771193E-02  -0.110626E+04
   0.301368E+02   0.121333E+02  -0.634000E+00   0.308769E+00   0.301297E+02   0.140929E+01   0.363521E+01  -0.487346E+01   0.613098E-01   0.140453E-01   0.116429E-01   0.136731E-01   0.883017E-02  -0.110544E+04
   0.301945E+02   0.121507E+02  -0.373606E+00  -0.325368E+00   0.293271E+02   0.278629E+01   0.422919E+01  -0.562326E+01   0.597899E-01   0.225259E-01   0.498350E-02   0.700008E-02   0.262052E-02  -0.110396E+04
   0.301945E+02   0.118844E+02  -0.436592E+00  -0.122704E+00   0.296709E+02   0.266644E+01   0.500058E+01  -0.255532E+01   0.604372E-01   0.394115E-03   0.258338E-01   0.574992E-04   0.440635E-02  -0.110325E+04
   0.300743E+02   0.120532E+02  -0.197000E+00  -0.122704E+00   0.299817E+02   0.174490E+01   0.404775E+01  -0.246037E+01   0.683297E-01   0.773346E-02   0.368062E-02   0.154079E-01   0.345217E-02  -0.110479E+04
   0.301451E+02   0.120532E+02  -0.107559E+01   0.367842E+00   0.297978E+02   0.313164E+01   0.619933E+01  -0.575784E+01   0.571466E-01   0.610374E-02   0.963604E-03   0.516073E-02   0.379704E-01  -0.110828E+04
   0.301451E+02   0.120532E+02  -0.532238E+00  -0.513012E+00   0.295463E+02   0.181445E+01   0.667597E+01  -0.714111E+01   0.629147E-01   0.146154E-01   0.145569E-02   0.281365E-02   0.187386E-01  -0.110619E+04
   0.301634E+02   0.120532E+02  -0.340326E+00  -0.497294E+00   0.300554E+02   0.191842E+01   0.467540E+01  -0.337747E+01   0.591890E-01   0.294328E-02   0.432368E-02   0.815101E-02   0.158874E-01  -0.110299E+04
   0.297211E+02   0.113528E+02  -0.780692E+00  -0.489277E+00   0.298817E+02   0.525116E+00   0.303519E+01  -0.453234E+01   0.651267E-01   0.748280E-02   0.857175E-02   0.678351E-02   0.214151E-01  -0.110734E+04
   0.297211E+02   0.113528E+02  -0.860182E+00  -0.116648E+00   0.312915E+02   0.201524E+01   0.545278E+01  -0.240917E+01   0.651267E-01   0.396686E-02   0.818733E-02   0.273792E-01   0.140081E-01  -0.111023E+04
   0.299619E+02   0.113528E+02  -0.155516E+01  -0.245383E+01   0.315044E+02   0.185516E+01   0.447586E+01  -0.248060E+01   0.690927E-01   0.120671E-01   0.157230E-01   0.182557E-01   0.110670E-01  -0.111536E+04
   0.299320E+02   0.113528E+02  -0.211480E+01  -0.129008E+01   0.303952E+02  -0.304842E+00   0.889037E+01  -0.608143E+01   0.694669E-01   0.633157E-02   0.375268E-02   0.144752E-01   0.636617E-02  -0.111239E+04
   0.298741E+02   0.115409E+02  -0.107540E+01  -0.101001E+01   0.304900E+02   0.317198E+01   0.674005E+01  -0.635858E+01   0.540710E-01   0.306336E-01   0.650346E-02   0.126262E-01   0.982879E-03  -0.111117E+04
   0.302685E+02   0.115704E+02  -0.105647E+01  -0.215106E+00   0.299099E+02   0.714710E+00   0.617638E+01  -0.372150E+01   0.677002E-01   0.284911E-02   0.168185E-01   0.728511E-02   0.202085E-01  -0.110910E+04
   0.301836E+02   0.118747E+02  -0.131530E+01   0.256884E+00   0.300223E+02   0.799217E+00   0.581966E+01  -0.945684E+00   0.639884E-01   0.373692E-02   0.103970E-01   0.109198E-01   0.593760E-02  -0.110734E+04
   0.297166E+02   0.113554E+02  -0.104023E+01   0.575735E+00   0.287907E+02   0.183819E+01   0.360484E+01  -0.395516E+01   0.640876E-01   0.488428E-03   0.888364E-02   0.550066E-02   0.109969E-01  -0.110707E+04
   0.295596E+02   0.113554E+02  -0.157320E+01   0.690313E-01   0.295212E+02   0.351320E+01   0.628947E+01  -0.395516E+01   0.660265E-01   0.149461E-01   0.107899E-01   0.219681E-01   0.217803E-01  -0.111579E+04
   0.295596E+02   0.109445E+02  -0.109897E+01  -0.136961E+01   0.304077E+02  -0.515828E-01   0.357130E+01  -0.318487E+01   0.677341E-01   0.485008E-02   0.123529E-01   0.120289E-01   0.141055E-01  -0.111177E+04
   0.295596E+02   0.108216E+02  -0.120403E+01  -0.974809E+00   0.301982E+02   0.269689E+01   0.345890E+01  -0.734379E+01   0.641656E-01   0.413273E-01   0.110938E-01   0.111244E-01   0.128127E-01  -0.111579E+04
   0.298443E+02   0.108091E+02  -0.176433E+01  -0.162207E+01   0.303983E+02   0.184973E+01   0.720037E+01  -0.675682E+01   0.643788E-01   0.254083E-01   0.355837E-02   0.715729E-02   0.259367E-02  -0.111126E+04
   0.295936E+02   0.108662E+02  -0.864255E+00  -0.104372E+01   0.288958E+02   0.153790E+01   0.405943E+01  -0.435772E+01   0.702557E-01   0.532854E-02   0.883186E-02   0.236356E-02   0.422557E-02  -0.111007E+04
   0.298286E+02   0.112710E+02  -0.154271E+01  -0.155740E+01   0.306508E+02   0.398086E+01   0.412448E+01  -0.284221E+01   0.667179E-01   0.123829E-01   0.134858E-01   0.847590E-02   0.166920E-02  -0.110921E+04
   0.299455E+02   0.112664E+02  -0.147954E+01  -0.194517E+01   0.292185E+02   0.391636E+01   0.401009E+01  -0.194527E+01   0.613271E-01   0.180893E-01   0.126834E-01   0.361321E-02   0.144243E-01  -0.110937E+04
   0.298830E+02   0.112867E+02  -0.171012E+01  -0.378924E+00   0.298490E+02  -0.438656E+00   0.625074E+01  -0.545613E+01   0.588537E-01   0.102688E-01   0.817737E-03   0.995721E-02   0.372086E-02  -0.110645E+04
   0.298852E+02   0.115309E+02  -0.457601E+00   0.162199E+00   0.304034E+02   0.194222E+01   0.555135E+01  -0.111728E+01   0.599369E-01   0.125700E-02   0.329378E-02   0.750192E-02   0.444176E-02  -0.110525E+04
   0.299662E+02   0.113839E+02  -0.140558E+01  -0.624248E+00   0.295771E+02   0.435217E+01   0.311345E+01  -0.457971E+01   0.627177E-01   0.123172E-02   0.733129E-02   0.898058E-02   0.141104E-01  -0.110590E+04
   0.299782E+02   0.112574E+02  -0.722109E+00  -0.119754E+01   0.295107E+02   0.194661E+01   0.388992E+01  -0.417101E+01   0.638194E-01   0.264484E-02   0.165226E-01   0.504920E-02   0.586054E-02  -0.110493E+04
   0.301022E+02   0.118550E+02  -0.722109E+00  -0.158126E+00   0.289191E+02   0.403956E+01   0.234393E+01  -0.363844E+01   0.596050E-01   0.264484E-02   0.138882E-01   0.323314E-02   0.795588E-02  -0.110331E+04
   0.300191E+02   0.118550E+02  -0.498270E+00  -0.158126E+00   0.296563E+02   0.227376E+00   0.429716E+01  -0.626815E+01   0.606425E-01   0.122635E-01   0.145746E-01   0.134529E-02   0.632544E-01  -0.110976E+04
   0.297957E+02   0.118550E+02  -0.958396E+00   0.187145E+00   0.303796E+02  -0.510509E+00   0.397130E+01  -0.116947E+01   0.659587E-01   0.173054E-01   0.540620E-02   0.259770E-02   0.264494E-01  -0.111145E+04
   0.299915E+02   0.121225E+02  -0.348247E+00  -0.340761E+00   0.301173E+02   0.320592E+00   0.663404E+01  -0.709687E-01   0.630786E-01   0.608164E-02   0.537184E-02   0.706937E-03   0.160526E-01  -0.110750E+04
