               Kmin_MC_a0     Kmin_MC_a1     Kmin_MC_a2     Kmin_MC_a3     Kmin_MC_a4     Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Kmin_TR_a4     Q_mult_e1_n1   Q_mult_e1_n2   Q_mult_e2_n1   Q_mult_e2_n2   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.307176E+02   0.107374E+02  -0.986709E+00  -0.203662E+01  -0.182400E+01   0.318647E+02  -0.603377E-01  -0.150403E+01  -0.778759E+01  -0.707368E+01   0.101461E+01   0.751231E+00   0.108161E+01   0.115207E+01   0.395210E-01   0.520264E-05   0.827577E-05   0.266741E-04   0.512394E-05
Maximum           0.338284E+02   0.126293E+02   0.184371E+01   0.150707E+01   0.236558E+01   0.367045E+02   0.725537E+01   0.727656E+01   0.201487E+01   0.260460E+01   0.110792E+01   0.155565E+01   0.122456E+01   0.137843E+01   0.613361E-01   0.623322E-01   0.611076E-01   0.752487E-01   0.616269E-01
Range             0.311080E+01   0.189190E+01   0.283042E+01   0.354369E+01   0.418958E+01   0.483980E+01   0.731571E+01   0.878059E+01   0.980246E+01   0.967828E+01   0.933100E-01   0.804419E+00   0.142950E+00   0.226360E+00   0.218151E-01   0.623270E-01   0.610993E-01   0.752220E-01   0.616218E-01
Mean              0.322132E+02   0.116876E+02   0.320493E+00   0.895932E-02   0.276677E+00   0.342689E+02   0.328555E+01   0.300538E+01  -0.238869E+01  -0.192073E+01   0.106003E+01   0.107280E+01   0.114366E+01   0.128855E+01   0.499586E-01   0.929412E-02   0.101084E-01   0.107189E-01   0.100432E-01
Median            0.321179E+02   0.116861E+02   0.340580E+00   0.640339E-01   0.279557E+00   0.342513E+02   0.312566E+01   0.295986E+01  -0.238573E+01  -0.186326E+01   0.105693E+01   0.106442E+01   0.113983E+01   0.128901E+01   0.497193E-01   0.618908E-02   0.669414E-02   0.738907E-02   0.678131E-02
Q10%              0.315055E+02   0.112645E+02  -0.300118E+00  -0.792907E+00  -0.607978E+00   0.331918E+02   0.177890E+01   0.958614E+00  -0.451646E+01  -0.420146E+01   0.103773E+01   0.923156E+00   0.111178E+01   0.123974E+01   0.454723E-01   0.111188E-02   0.104568E-02   0.126446E-02   0.102322E-02
Q25%              0.318171E+02   0.114596E+02   0.169647E-03  -0.331657E+00  -0.182340E+00   0.337147E+02   0.247185E+01   0.184284E+01  -0.352498E+01  -0.303972E+01   0.104595E+01   0.991731E+00   0.112537E+01   0.126039E+01   0.477353E-01   0.245829E-02   0.290839E-02   0.304568E-02   0.286603E-02
Q75%              0.326486E+02   0.119021E+02   0.666263E+00   0.362660E+00   0.663262E+00   0.348618E+02   0.417682E+01   0.406903E+01  -0.127406E+01  -0.732050E+00   0.107483E+01   0.114668E+01   0.116112E+01   0.131694E+01   0.522988E-01   0.134749E-01   0.145164E-01   0.148419E-01   0.143763E-01
Q90%              0.330740E+02   0.120963E+02   0.894885E+00   0.726114E+00   0.117138E+01   0.353546E+02   0.492229E+01   0.512308E+01  -0.144838E+00   0.306293E+00   0.108574E+01   0.122755E+01   0.117894E+01   0.134111E+01   0.543857E-01   0.217246E-01   0.224235E-01   0.257931E-01   0.239793E-01
St.Dev.           0.579590E+00   0.334844E+00   0.470813E+00   0.581300E+00   0.676130E+00   0.834830E+00   0.123331E+01   0.156780E+01   0.165027E+01   0.175921E+01   0.185913E-01   0.119229E+00   0.257107E-01   0.394114E-01   0.346201E-02   0.908063E-02   0.997218E-02   0.108658E-01   0.966896E-02
Variance          0.335925E+00   0.112121E+00   0.221665E+00   0.337910E+00   0.457152E+00   0.696941E+00   0.152104E+01   0.245799E+01   0.272338E+01   0.309481E+01   0.345635E-03   0.142156E-01   0.661042E-03   0.155326E-02   0.119855E-04   0.824579E-04   0.994443E-04   0.118065E-03   0.934888E-04
CV                0.179923E-01   0.286495E-01   0.146903E+01   0.648822E+02   0.244375E+01   0.243612E-01   0.375373E+00   0.521664E+00   0.690866E+00   0.915906E+00   0.175385E-01   0.111139E+00   0.224811E-01   0.305859E-01   0.692975E-01   0.977030E+00   0.986526E+00   0.101371E+01   0.962738E+00
Skewness          0.206338E+00   0.572072E-01  -0.354035E-01  -0.148623E+00   0.203740E+00  -0.976027E-01   0.100193E+00   0.778751E-01  -0.217881E-01  -0.586219E-01   0.279566E+00   0.372849E+00   0.418023E+00  -0.838113E-01   0.158213E+00   0.176698E+01   0.178589E+01   0.192509E+01   0.154612E+01
Kurtosis         -0.490691E+00  -0.514841E-02  -0.221377E-01   0.358941E-01   0.168991E+00  -0.578314E-01  -0.158216E+00  -0.356748E+00  -0.217723E+00  -0.870135E-01  -0.636083E+00   0.515102E+00  -0.164757E+00  -0.978743E-01   0.637053E-01   0.455553E+01   0.421805E+01   0.516673E+01   0.269785E+01
MaxPost           0.324122E+02   0.118427E+02   0.104786E+01   0.137774E+00   0.722466E+00   0.344021E+02   0.377486E+01   0.404293E+01  -0.223770E+01  -0.145347E+01   0.106385E+01   0.111619E+01   0.114651E+01   0.127402E+01   0.482131E-01   0.353376E-02   0.240095E-02   0.458699E-02   0.264706E-03
