Kmin_MC_a0     Kmin_MC_a1     Kmin_MC_a2     Kmin_MC_a3     Kmin_MC_a4     Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Kmin_TR_a4     Q_mult_e1_n1   Q_mult_e1_n2   Q_mult_e2_n1   Q_mult_e2_n2   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.331486E+02   0.111255E+02   0.530737E+00  -0.264746E+00   0.532770E-01   0.332994E+02   0.460868E+01   0.216368E+01  -0.128378E+01  -0.270518E+01   0.109467E+01   0.112211E+01   0.120945E+01   0.131768E+01   0.496435E-01   0.210110E-01   0.123569E-02   0.498020E-02   0.602372E-02  -0.104460E+04   0.132723E+02   0.000000E+00  -0.105787E+04   0.211574E+04
   0.331400E+02   0.113330E+02   0.530737E+00  -0.117284E+00   0.532770E-01   0.355247E+02   0.130730E+01   0.331741E+01  -0.450314E+01  -0.306127E+00   0.108493E+01   0.107101E+01   0.120945E+01   0.128915E+01   0.512831E-01   0.197872E-01   0.549457E-02   0.131664E-01   0.453402E-02  -0.104479E+04   0.134617E+02   0.000000E+00  -0.105825E+04   0.211650E+04
   0.331397E+02   0.114509E+02   0.413238E+00  -0.182137E+00   0.728647E+00   0.342445E+02   0.244006E+01   0.264686E+01  -0.568463E+01  -0.313745E+01   0.108993E+01   0.109925E+01   0.119124E+01   0.127188E+01   0.485156E-01   0.163507E-01   0.202203E-01   0.542601E-02   0.904627E-02  -0.104255E+04   0.130131E+02   0.000000E+00  -0.105556E+04   0.211113E+04
   0.331397E+02   0.114915E+02   0.413238E+00  -0.104181E+01   0.728647E+00   0.341334E+02   0.289587E+01   0.963254E+00  -0.309185E+01  -0.399222E+01   0.109223E+01   0.103501E+01   0.117955E+01   0.131095E+01   0.526489E-01   0.271794E-02   0.143238E-01   0.197393E-03   0.417394E-02  -0.103939E+04   0.157783E+02   0.000000E+00  -0.105517E+04   0.211034E+04
   0.332768E+02   0.113843E+02  -0.289032E+00  -0.104365E+01  -0.638075E-01   0.341711E+02   0.297944E+01   0.145704E+01  -0.415298E+01  -0.313856E+01   0.108895E+01   0.130237E+01   0.118174E+01   0.130225E+01   0.511450E-01   0.674396E-02   0.196320E-02   0.892804E-02   0.528919E-02  -0.104335E+04   0.121481E+02   0.000000E+00  -0.105550E+04   0.211100E+04
   0.332552E+02   0.113843E+02   0.877374E+00  -0.114265E+01   0.778753E-01   0.349407E+02   0.297944E+01   0.243816E+01  -0.156426E+01  -0.174388E+01   0.109931E+01   0.134948E+01   0.118546E+01   0.132040E+01   0.511737E-01   0.218775E-01   0.312324E-01   0.452576E-02   0.158387E-01  -0.104884E+04   0.551593E+01   0.000000E+00  -0.105436E+04   0.210871E+04
   0.331963E+02   0.113496E+02   0.218691E-02   0.143622E+00   0.310586E+00   0.347552E+02   0.297944E+01   0.258101E+01  -0.593462E+01  -0.238137E+01   0.109931E+01   0.951619E+00   0.117944E+01   0.129823E+01   0.613361E-01   0.348115E-03   0.815234E-02   0.392955E-02   0.157329E-01  -0.104710E+04   0.153286E+02   0.000000E+00  -0.106243E+04   0.212486E+04
   0.331963E+02   0.113756E+02  -0.935819E-01  -0.786946E+00   0.539489E+00   0.348542E+02   0.392774E+01   0.237748E+01  -0.413134E+01  -0.316025E+01   0.110184E+01   0.107643E+01   0.117944E+01   0.132198E+01   0.521723E-01   0.212058E-02   0.294397E-02   0.115202E-01   0.153321E-01  -0.104161E+04   0.141497E+02   0.000000E+00  -0.105576E+04   0.211152E+04
   0.332169E+02   0.114445E+02   0.130038E+01  -0.604380E+00   0.596420E+00   0.361487E+02   0.327766E+01   0.290318E+01  -0.253076E+01  -0.215784E+00   0.109122E+01   0.120120E+01   0.121057E+01   0.132114E+01   0.487217E-01   0.690690E-02   0.317510E-01   0.359578E-02   0.544391E-02  -0.104736E+04   0.106802E+02   0.000000E+00  -0.105804E+04   0.211608E+04
   0.328823E+02   0.117077E+02   0.141578E+00  -0.604380E+00   0.429996E-01   0.329557E+02   0.191761E+01   0.260428E+01  -0.520476E+01  -0.244246E+00   0.108409E+01   0.131848E+01   0.118085E+01   0.125027E+01   0.503305E-01   0.587115E-02   0.155667E-01   0.867672E-02   0.125071E-01  -0.104453E+04   0.109221E+02   0.000000E+00  -0.105545E+04   0.211090E+04
   0.328353E+02   0.117272E+02   0.772457E+00   0.669909E-01   0.175558E+01   0.351704E+02   0.382377E+01   0.257569E+01  -0.201197E+01  -0.177615E+01   0.107426E+01   0.891487E+00   0.116584E+01   0.134724E+01   0.498256E-01   0.162703E-01   0.227482E-02   0.774830E-02   0.595221E-02  -0.104242E+04   0.137870E+02   0.000000E+00  -0.105621E+04   0.211241E+04
   0.329919E+02   0.116522E+02   0.173444E+00   0.605919E+00  -0.118256E+01   0.351775E+02   0.533668E+01   0.297884E+00  -0.265189E+01  -0.204856E+01   0.107204E+01   0.122904E+01   0.120025E+01   0.134484E+01   0.580228E-01   0.510616E-03   0.806405E-02   0.142179E-01   0.109153E-01  -0.105171E+04   0.114065E+02   0.000000E+00  -0.106312E+04   0.212623E+04
