Kmin_MR_a0    Kmin_MR_a1    Kmin_MR_a2    Kmin_MR_a3    Kmin_MR_a4    Kmin_TR_a0    Kmin_TR_a1    Kmin_TR_a2    Kmin_TR_a3    Kmin_TR_a4    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.300000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.250000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.500000E-03  0.100000E-01  0.100000E-01  0.100000E-01  0.100000E-01 -0.895991E+04
  0.300000E+02  0.277673E+01  0.000000E+00 -0.335174E+01  0.258839E+00  0.250000E+02  0.000000E+00  0.000000E+00 -0.282798E-02  0.000000E+00  0.500000E-03  0.953248E-02  0.902521E-02  0.915236E-02  0.118497E-01 -0.552613E+04
  0.300000E+02  0.277673E+01  0.000000E+00 -0.413068E+01  0.665423E+00  0.250000E+02  0.256806E+01  0.000000E+00 -0.282798E-02  0.000000E+00  0.500000E-03  0.900188E-02  0.104591E-01  0.984277E-02  0.124408E-01 -0.518094E+04
  0.299010E+02  0.630217E+01  0.000000E+00 -0.715009E+01  0.665423E+00  0.250000E+02  0.256806E+01  0.000000E+00 -0.170560E+01  0.000000E+00  0.500000E-03  0.864907E-02  0.105076E-01  0.794757E-02  0.112258E-01 -0.277786E+04
  0.299010E+02  0.945608E+01  0.000000E+00 -0.241268E+01  0.665423E+00  0.250000E+02  0.256806E+01  0.000000E+00 -0.170560E+01  0.000000E+00  0.101018E-02  0.968545E-02  0.107752E-01  0.794757E-02  0.115952E-01 -0.178709E+04
  0.299010E+02  0.945608E+01  0.000000E+00 -0.241268E+01  0.665423E+00  0.250000E+02  0.422400E+01  0.000000E+00 -0.170560E+01  0.000000E+00  0.101018E-02  0.856232E-02  0.102850E-01  0.987177E-02  0.121964E-01 -0.175908E+04
  0.299010E+02  0.945608E+01  0.000000E+00 -0.241268E+01  0.665423E+00  0.257103E+02  0.422400E+01  0.000000E+00 -0.170560E+01  0.000000E+00  0.328641E-02  0.857810E-02  0.108665E-01  0.867656E-02  0.117869E-01 -0.173994E+04
  0.299010E+02  0.945608E+01  0.000000E+00 -0.241268E+01  0.665423E+00  0.257103E+02  0.422400E+01  0.000000E+00 -0.170560E+01 -0.292437E+01  0.450678E-02  0.832681E-02  0.103339E-01  0.956477E-02  0.120406E-01 -0.172365E+04
  0.297349E+02  0.106228E+02 -0.413700E+00 -0.241268E+01  0.665423E+00  0.257103E+02  0.422400E+01  0.000000E+00 -0.192589E+00 -0.292437E+01  0.450678E-02  0.880557E-02  0.111303E-01  0.921701E-02  0.120406E-01 -0.149493E+04
  0.297349E+02  0.106228E+02 -0.413700E+00 -0.241268E+01  0.665423E+00  0.258342E+02  0.422400E+01  0.000000E+00 -0.525568E+00 -0.236617E+01  0.599671E-02  0.956813E-02  0.119401E-01  0.892290E-02  0.115194E-01 -0.148215E+04
  0.297349E+02  0.106228E+02 -0.413700E+00 -0.241268E+01  0.665423E+00  0.258342E+02  0.422400E+01  0.000000E+00 -0.525568E+00 -0.236617E+01  0.599671E-02  0.923699E-02  0.106302E-01  0.918356E-02  0.106792E-01 -0.148193E+04
  0.297349E+02  0.106228E+02 -0.413700E+00 -0.211352E+01  0.665423E+00  0.262694E+02  0.422400E+01  0.000000E+00 -0.525568E+00 -0.327261E+01  0.599671E-02  0.764898E-02  0.111462E-01  0.765707E-02  0.107570E-01 -0.147065E+04
  0.297349E+02  0.109711E+02 -0.540246E+00 -0.211352E+01  0.665423E+00  0.262694E+02  0.422400E+01  0.000000E+00 -0.525568E+00 -0.327261E+01  0.599671E-02  0.787897E-02  0.119963E-01  0.633082E-02  0.128105E-01 -0.144657E+04
  0.297349E+02  0.109711E+02 -0.540246E+00 -0.138077E+01  0.665423E+00  0.262694E+02  0.422400E+01  0.000000E+00 -0.525568E+00 -0.327261E+01  0.638714E-02  0.921391E-02  0.102342E-01  0.641935E-02  0.125822E-01 -0.141668E+04
  0.297349E+02  0.109711E+02 -0.540246E+00 -0.138077E+01  0.665423E+00  0.262694E+02  0.422400E+01  0.000000E+00 -0.114102E+00 -0.327261E+01  0.755233E-02  0.853760E-02  0.896852E-02  0.616914E-02  0.128274E-01 -0.140604E+04
  0.297349E+02  0.109711E+02 -0.540246E+00 -0.411180E+00  0.665423E+00  0.262694E+02  0.563622E+01  0.000000E+00 -0.114102E+00 -0.372392E+01  0.767636E-02  0.876039E-02  0.909551E-02  0.746968E-02  0.127817E-01 -0.138370E+04
