X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.200000E+01   0.270000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.270000E+05   0.108000E+05   0.431455E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.431455E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.433051E+01   0.147408E+03   0.464115E+00   0.179364E+02   0.150000E+02  -0.159573E-01  -0.999900E+04  -0.999900E+04   0.170636E+02   0.100000E+02  -0.279277E+00  -0.999900E+04  -0.999900E+04   0.213296E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.272500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.272500E+05   0.108000E+05   0.436370E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.436370E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.435858E+01   0.147408E+03   0.472525E+00   0.182988E+02   0.150000E+02   0.512408E-02  -0.999900E+04  -0.999900E+04   0.167012E+02   0.100000E+02   0.896793E-01  -0.999900E+04  -0.999900E+04   0.208764E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.275000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.275000E+05   0.108000E+05   0.433750E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.433750E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.438717E+01   0.147408E+03   0.481182E+00   0.186537E+02   0.150000E+02  -0.496781E-01  -0.999900E+04  -0.999900E+04   0.163463E+02   0.100000E+02  -0.869443E+00  -0.999900E+04  -0.999900E+04   0.204329E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.277500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.277500E+05   0.108000E+05   0.442789E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.442789E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.441636E+01   0.147408E+03   0.490090E+00   0.190010E+02   0.150000E+02   0.115286E-01  -0.999900E+04  -0.999900E+04   0.159990E+02   0.100000E+02   0.201768E+00  -0.999900E+04  -0.999900E+04   0.199987E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.280000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.280000E+05   0.108000E+05   0.438663E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.438663E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.444621E+01   0.147408E+03   0.499250E+00   0.193412E+02   0.150000E+02  -0.595774E-01  -0.999900E+04  -0.999900E+04   0.156588E+02   0.100000E+02  -0.104270E+01  -0.999900E+04  -0.999900E+04   0.195735E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.282500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.282500E+05   0.108000E+05   0.440362E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.440362E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.447680E+01   0.147408E+03   0.508648E+00   0.196745E+02   0.150000E+02  -0.731782E-01  -0.999900E+04  -0.999900E+04   0.153255E+02   0.100000E+02  -0.128073E+01  -0.999900E+04  -0.999900E+04   0.191569E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.285000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.285000E+05   0.108000E+05   0.446997E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.446997E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.450875E+01   0.147408E+03   0.518235E+00   0.196745E+02   0.150000E+02  -0.387788E-01  -0.999900E+04  -0.999900E+04   0.153255E+02   0.100000E+02  -0.678689E+00  -0.999900E+04  -0.999900E+04   0.191569E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.287500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.287500E+05   0.108000E+05   0.452327E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.452327E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.454210E+01   0.147408E+03   0.527989E+00   0.200010E+02   0.150000E+02  -0.188276E-01  -0.999900E+04  -0.999900E+04   0.149990E+02   0.100000E+02  -0.329511E+00  -0.999900E+04  -0.999900E+04   0.187488E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.290000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.290000E+05   0.108000E+05   0.453446E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.453446E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.457638E+01   0.147407E+03   0.537982E+00   0.203210E+02   0.150000E+02  -0.419171E-01  -0.999900E+04  -0.999900E+04   0.146790E+02   0.100000E+02  -0.733615E+00  -0.999900E+04  -0.999900E+04   0.183487E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.292500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.292500E+05   0.108000E+05   0.455054E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.455054E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.461168E+01   0.147407E+03   0.548204E+00   0.206348E+02   0.150000E+02  -0.611326E-01  -0.999900E+04  -0.999900E+04   0.143652E+02   0.100000E+02  -0.106991E+01  -0.999900E+04  -0.999900E+04   0.179565E+01   0.125000E+01
