               Kmin_MR_a0     Kmin_MR_a1     Kmin_MR_a2     Kmin_MR_a3     Kmin_MR_a4     Kmin_MR_a5     Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Kmin_TR_a4     Kmin_TR_a5     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.298791E+02   0.939094E+01  -0.693333E+00  -0.522204E+01  -0.668111E+00  -0.101507E+02   0.269221E+02  -0.225365E+01   0.963900E+00  -0.858311E+01  -0.500463E+01  -0.655500E+01   0.300863E-01   0.482610E-04   0.406285E-04   0.459132E-04   0.341756E-05
Maximum           0.307611E+02   0.113330E+02   0.186239E+01  -0.194189E+01   0.231859E+01  -0.627056E+01   0.305005E+02   0.565754E+01   0.974269E+01   0.105894E+01   0.458819E+01   0.287797E+01   0.494653E-01   0.582463E-01   0.551268E-01   0.813107E-01   0.580431E-01
Range             0.882000E+00   0.194206E+01   0.255572E+01   0.328015E+01   0.298670E+01   0.388014E+01   0.357840E+01   0.791119E+01   0.877879E+01   0.964205E+01   0.959282E+01   0.943297E+01   0.193790E-01   0.581980E-01   0.550862E-01   0.812648E-01   0.580397E-01
Mean              0.303677E+02   0.105843E+02   0.471423E+00  -0.334234E+01   0.439646E+00  -0.840278E+01   0.283815E+02   0.241993E+01   0.506038E+01  -0.411763E+01  -0.424044E+00  -0.197340E+01   0.381970E-01   0.967901E-02   0.962003E-02   0.990335E-02   0.977941E-02
Median            0.303717E+02   0.105785E+02   0.452308E+00  -0.333657E+01   0.423770E+00  -0.835332E+01   0.283711E+02   0.239799E+01   0.500575E+01  -0.405764E+01  -0.451483E+00  -0.203597E+01   0.380429E-01   0.650420E-02   0.712569E-02   0.702594E-02   0.703276E-02
Q10%              0.301985E+02   0.102171E+02  -0.535209E-01  -0.399606E+01  -0.202909E+00  -0.923646E+01   0.276360E+02   0.105883E+01   0.318838E+01  -0.622621E+01  -0.248320E+01  -0.435581E+01   0.339750E-01   0.870525E-03   0.109184E-02   0.117248E-02   0.976720E-03
Q25%              0.302770E+02   0.103753E+02   0.205151E+00  -0.370159E+01   0.655142E-01  -0.891094E+01   0.279753E+02   0.167369E+01   0.392671E+01  -0.513529E+01  -0.152690E+01  -0.314879E+01   0.357668E-01   0.274867E-02   0.274019E-02   0.314796E-02   0.252209E-02
Q75%              0.304563E+02   0.107983E+02   0.760523E+00  -0.294393E+01   0.800248E+00  -0.795406E+01   0.287538E+02   0.314777E+01   0.614743E+01  -0.309195E+01   0.718819E+00  -0.591214E+00   0.403904E-01   0.132562E-01   0.141125E-01   0.132513E-01   0.139399E-01
Q90%              0.305346E+02   0.109697E+02   0.100111E+01  -0.266850E+01   0.108724E+01  -0.760269E+01   0.291691E+02   0.382197E+01   0.696934E+01  -0.215977E+01   0.164743E+01   0.262134E+00   0.425592E-01   0.215347E-01   0.223138E-01   0.240913E-01   0.229291E-01
St.Dev.           0.132929E+00   0.300360E+00   0.421144E+00   0.540603E+00   0.523779E+00   0.652718E+00   0.564092E+00   0.110779E+01   0.149682E+01   0.156951E+01   0.158811E+01   0.176981E+01   0.334835E-02   0.100011E-01   0.885820E-02   0.951681E-02   0.949971E-02
Variance          0.176702E-01   0.902164E-01   0.177363E+00   0.292252E+00   0.274345E+00   0.426041E+00   0.318200E+00   0.122719E+01   0.224046E+01   0.246335E+01   0.252210E+01   0.313223E+01   0.112115E-04   0.100023E-03   0.784677E-04   0.905697E-04   0.902445E-04
CV                0.437733E-02   0.283778E-01   0.893348E+00   0.161744E+00   0.119137E+01   0.776789E-01   0.198754E-01   0.457777E+00   0.295791E+00   0.381167E+00   0.374516E+01   0.896836E+00   0.876601E-01   0.103328E+01   0.920808E+00   0.960969E+00   0.971400E+00
Skewness          0.746794E-01  -0.390053E+00   0.103976E+00  -0.181628E+00   0.342563E+00  -0.282859E-01   0.225432E+00  -0.117940E+00   0.178087E+00  -0.108953E-01   0.794946E-01   0.432088E-02   0.364183E+00   0.197906E+01   0.153594E+01   0.203322E+01   0.170489E+01
Kurtosis          0.167188E+00   0.463742E+00   0.857349E-01   0.140717E+00   0.130577E-01  -0.243779E+00  -0.115353E+00   0.515671E+00  -0.211750E+00  -0.290719E-01  -0.138308E+00  -0.384106E+00   0.944849E-01   0.470019E+01   0.295530E+01   0.740797E+01   0.354954E+01
MaxPost           0.302556E+02   0.106050E+02   0.304516E+00  -0.317035E+01   0.119581E+00  -0.818135E+01   0.282455E+02   0.206552E+01   0.478490E+01  -0.468847E+01  -0.272499E+00  -0.356754E+01   0.385589E-01   0.321864E-02   0.549749E-02   0.637934E-02   0.102075E-01
