Kmin_MR_a0     Kmin_MR_a1     Kmin_MR_a2     Kmin_MR_a3     Kmin_MR_a4     Kmin_MR_a5     Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Kmin_TR_a4     Kmin_TR_a5     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.302703E+02   0.103663E+02   0.792368E+00  -0.284595E+01   0.825004E+00  -0.766478E+01   0.274829E+02   0.441769E+01   0.464381E+01  -0.362716E+01  -0.434864E+00  -0.337850E+01   0.348046E-01   0.544530E-02   0.147853E-01   0.206734E-01   0.172859E-01  -0.104591E+04   0.126017E+02   0.000000E+00  -0.105851E+04   0.211702E+04
   0.302443E+02   0.106471E+02   0.788625E+00  -0.251299E+01   0.825004E+00  -0.766478E+01   0.276767E+02   0.458566E+01   0.366954E+01  -0.353316E+01  -0.925750E+00   0.822232E+00   0.329390E-01   0.194174E-01   0.210172E-02   0.241103E-01   0.109385E-01  -0.104652E+04   0.127639E+02   0.000000E+00  -0.105928E+04   0.211857E+04
   0.300832E+02   0.104301E+02   0.533700E+00  -0.248724E+01   0.825004E+00  -0.773232E+01   0.280700E+02   0.247751E+01   0.366954E+01  -0.299218E+01  -0.278754E+01  -0.421179E+00   0.394450E-01   0.152668E-02   0.225333E-01   0.524578E-02   0.230449E-01  -0.104440E+04   0.131856E+02   0.000000E+00  -0.105759E+04   0.211517E+04
   0.302688E+02   0.103479E+02   0.782924E+00  -0.372383E+01   0.430516E+00  -0.947749E+01   0.280700E+02   0.412165E+01   0.545537E+01  -0.359617E+01   0.981664E+00  -0.429300E+01   0.368980E-01   0.467627E-02   0.888999E-02   0.704525E-02   0.760933E-02  -0.104303E+04   0.155986E+02   0.000000E+00  -0.105863E+04   0.211726E+04
   0.303185E+02   0.100754E+02   0.421985E+00  -0.413876E+01   0.393440E+00  -0.947749E+01   0.286810E+02   0.229541E+01   0.608152E+01  -0.486103E+01  -0.143190E+01  -0.156359E+01   0.453274E-01   0.237894E-03   0.266310E-01   0.139952E-01   0.825569E-02  -0.104435E+04   0.135087E+02   0.000000E+00  -0.105786E+04   0.211572E+04
   0.302716E+02   0.101635E+02  -0.917591E-01  -0.389912E+01  -0.623643E+00  -0.922835E+01   0.285048E+02   0.225914E+01   0.607655E+01  -0.486103E+01  -0.185220E+00  -0.615373E+01   0.354397E-01   0.179631E-02   0.211144E-01   0.325182E-01   0.906669E-02  -0.104814E+04   0.119711E+02   0.000000E+00  -0.106011E+04   0.212022E+04
   0.302716E+02   0.107331E+02   0.287998E+00  -0.371705E+01  -0.150617E+00  -0.744055E+01   0.295091E+02   0.197673E+01   0.705172E+01  -0.663460E+01   0.562976E+00  -0.336665E+00   0.447291E-01   0.106695E-01   0.282670E-01   0.101703E-01   0.284082E-02  -0.104757E+04   0.132259E+02   0.000000E+00  -0.106080E+04   0.212159E+04
   0.303479E+02   0.107546E+02   0.239621E+00  -0.371705E+01  -0.150617E+00  -0.892057E+01   0.292828E+02   0.321600E+01   0.642348E+01  -0.411253E+01  -0.261627E+01   0.108906E+00   0.393154E-01   0.342340E-01   0.206421E-01   0.247395E-01   0.205654E-01  -0.104999E+04   0.840258E+01   0.000000E+00  -0.105839E+04   0.211679E+04
   0.302471E+02   0.104013E+02  -0.535064E+00  -0.360276E+01  -0.316550E+00  -0.891056E+01   0.284953E+02   0.275195E+01   0.558427E+01  -0.228704E+01  -0.158162E+01  -0.243575E+01   0.412478E-01   0.195381E-02   0.537564E-02   0.338069E-01   0.483874E-02  -0.104466E+04   0.138232E+02   0.000000E+00  -0.105848E+04   0.211697E+04
   0.303112E+02   0.102211E+02  -0.356176E+00  -0.360276E+01   0.467804E-01  -0.831610E+01   0.277362E+02   0.296808E+01   0.382059E+01  -0.368812E+01   0.892130E+00  -0.252887E+01   0.436097E-01   0.246711E-02   0.769871E-03   0.188206E-02   0.968080E-03  -0.104089E+04   0.178120E+02   0.000000E+00  -0.105870E+04   0.211740E+04
   0.302815E+02   0.102211E+02   0.165483E+00  -0.360276E+01   0.707852E+00  -0.831610E+01   0.275288E+02   0.296808E+01   0.380749E+01  -0.451626E+01   0.231481E+00  -0.469363E+01   0.360273E-01   0.133140E-01   0.254427E-02   0.126060E-01   0.461520E-02  -0.104036E+04   0.151127E+02   0.000000E+00  -0.105547E+04   0.211095E+04
   0.302327E+02   0.106898E+02  -0.708687E-02  -0.250670E+01  -0.127028E+00  -0.756624E+01   0.282564E+02   0.110560E+01   0.636480E+01  -0.431915E+01  -0.935510E+00  -0.407365E+01   0.430225E-01   0.113793E-01   0.254427E-02   0.251162E-01   0.162518E-01  -0.104570E+04   0.128915E+02   0.000000E+00  -0.105859E+04   0.211718E+04
   0.302327E+02   0.107268E+02  -0.152155E-01  -0.256173E+01   0.419700E+00  -0.756624E+01   0.293591E+02   0.110560E+01   0.756022E+01  -0.486312E+01  -0.310238E+01  -0.407365E+01   0.421062E-01   0.135179E-03   0.734172E-02   0.166073E-01   0.235337E-02  -0.104417E+04   0.157769E+02   0.000000E+00  -0.105995E+04   0.211989E+04
   0.302826E+02   0.107020E+02   0.727613E+00  -0.256173E+01   0.116728E+01  -0.681200E+01   0.289615E+02  -0.432160E+00   0.763859E+01  -0.850002E+01   0.279547E+01  -0.442398E+01   0.420742E-01   0.842499E-02   0.215680E-01   0.118792E-01   0.998186E-02  -0.104844E+04   0.132353E+02   0.000000E+00  -0.106168E+04   0.212335E+04
   0.302826E+02   0.108518E+02   0.330151E+00  -0.256173E+01   0.773733E+00  -0.681200E+01   0.278070E+02   0.304611E+01   0.693825E+01  -0.417945E+01   0.423575E+00  -0.381926E+01   0.448137E-01   0.195824E-01   0.672174E-02   0.364482E-03   0.552450E-02  -0.104662E+04   0.152014E+02   0.000000E+00  -0.106182E+04   0.212364E+04
   0.304441E+02   0.108518E+02   0.586046E+00  -0.256173E+01   0.124537E+01  -0.775609E+01   0.273643E+02   0.299383E+01   0.314138E+01  -0.559248E+00  -0.129033E+01  -0.711288E+00   0.367303E-01   0.743551E-02   0.952661E-02   0.187605E-02   0.187166E-01  -0.104312E+04   0.146652E+02   0.000000E+00  -0.105779E+04   0.211557E+04
   0.304046E+02   0.106250E+02   0.586046E+00  -0.340699E+01   0.126989E+00  -0.866119E+01   0.283829E+02   0.329792E+01   0.314138E+01  -0.220196E+01  -0.101851E+01  -0.185470E+00   0.414571E-01   0.334851E-02   0.644259E-02   0.106987E-01   0.346547E-03  -0.103858E+04   0.163370E+02   0.000000E+00  -0.105492E+04   0.210983E+04
   0.304467E+02   0.105366E+02   0.114348E+01  -0.361361E+01   0.913061E+00  -0.868280E+01   0.284987E+02   0.329792E+01   0.342011E+01  -0.220196E+01  -0.319631E+01  -0.447737E+01   0.416322E-01   0.822807E-02   0.169689E-02   0.107280E-01   0.390826E-02  -0.104262E+04   0.159646E+02   0.000000E+00  -0.105858E+04   0.211717E+04
   0.304467E+02   0.105366E+02   0.117122E+01  -0.324515E+01   0.102501E+01  -0.868280E+01   0.287168E+02   0.463379E+01   0.284651E+01  -0.296911E+01  -0.347093E+00  -0.315435E+01   0.465075E-01   0.349040E-02   0.169689E-02   0.152984E-01   0.641637E-02  -0.104547E+04   0.157305E+02   0.000000E+00  -0.106120E+04   0.212240E+04
   0.304467E+02   0.104699E+02   0.119718E+01  -0.376456E+01   0.951259E+00  -0.868280E+01   0.275312E+02   0.375348E+01   0.325165E+01  -0.225787E+01   0.298617E+00  -0.155309E+01   0.351712E-01   0.235284E-02   0.493302E-02   0.177740E-01   0.196756E-01  -0.104167E+04   0.139471E+02   0.000000E+00  -0.105562E+04   0.211123E+04
