X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.200000E+01   0.270000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.270000E+05   0.108000E+05   0.431455E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.431455E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.433162E+01   0.147411E+03   0.464002E+00   0.175880E+02   0.150000E+02  -0.170659E-01  -0.999900E+04  -0.999900E+04   0.174120E+02   0.100000E+02  -0.476508E+00  -0.999900E+04  -0.999900E+04   0.217650E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.272500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.272500E+05   0.108000E+05   0.436370E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.436370E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.435806E+01   0.147411E+03   0.472592E+00   0.198916E+02   0.150000E+02   0.564240E-02  -0.999900E+04  -0.999900E+04   0.151084E+02   0.100000E+02   0.157545E+00  -0.999900E+04  -0.999900E+04   0.188855E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.275000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.275000E+05   0.108000E+05   0.433750E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.433750E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.438090E+01   0.147411E+03   0.481932E+00   0.214561E+02   0.150000E+02  -0.434082E-01  -0.999900E+04  -0.999900E+04   0.135439E+02   0.100000E+02  -0.121202E+01  -0.999900E+04  -0.999900E+04   0.169299E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.277500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.277500E+05   0.108000E+05   0.442789E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.442789E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.440241E+01   0.147411E+03   0.491813E+00   0.224263E+02   0.150000E+02   0.254832E-01  -0.999900E+04  -0.999900E+04   0.125737E+02   0.100000E+02   0.711531E+00  -0.999900E+04  -0.999900E+04   0.157172E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.280000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.280000E+05   0.108000E+05   0.438663E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.438663E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.442386E+01   0.147410E+03   0.502114E+00   0.229292E+02   0.150000E+02  -0.372304E-01  -0.999900E+04  -0.999900E+04   0.120708E+02   0.100000E+02  -0.103953E+01  -0.999900E+04  -0.999900E+04   0.150885E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.282500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.282500E+05   0.108000E+05   0.440362E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.440362E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.444615E+01   0.147410E+03   0.512731E+00   0.230750E+02   0.150000E+02  -0.425261E-01  -0.999900E+04  -0.999900E+04   0.119250E+02   0.100000E+02  -0.118740E+01  -0.999900E+04  -0.999900E+04   0.149062E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.285000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.285000E+05   0.108000E+05   0.446997E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.446997E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.446985E+01   0.147410E+03   0.523623E+00   0.230750E+02   0.150000E+02   0.121553E-03  -0.999900E+04  -0.999900E+04   0.119250E+02   0.100000E+02   0.339396E-02  -0.999900E+04  -0.999900E+04   0.149062E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.287500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.287500E+05   0.108000E+05   0.452327E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.452327E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.449535E+01   0.147410E+03   0.534725E+00   0.229589E+02   0.150000E+02   0.279211E-01  -0.999900E+04  -0.999900E+04   0.120411E+02   0.100000E+02   0.779600E+00  -0.999900E+04  -0.999900E+04   0.150513E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.290000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.290000E+05   0.108000E+05   0.453446E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.453446E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.452318E+01   0.147410E+03   0.545955E+00   0.226621E+02   0.150000E+02   0.112874E-01  -0.999900E+04  -0.999900E+04   0.123379E+02   0.100000E+02   0.315162E+00  -0.999900E+04  -0.999900E+04   0.154224E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.292500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.292500E+05   0.108000E+05   0.455054E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.455054E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.455391E+01   0.147410E+03   0.557206E+00   0.222530E+02   0.150000E+02  -0.336615E-02  -0.999900E+04  -0.999900E+04   0.127470E+02   0.100000E+02  -0.939881E-01  -0.999900E+04  -0.999900E+04   0.159338E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.295000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.295000E+05   0.108000E+05   0.463598E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.463598E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.458807E+01   0.147409E+03   0.568366E+00   0.217886E+02   0.150000E+02   0.479087E-01  -0.999900E+04  -0.999900E+04   0.132114E+02   0.100000E+02   0.133769E+01  -0.999900E+04  -0.999900E+04   0.165142E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.297500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.297500E+05   0.108000E+05   0.470631E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.470631E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.462610E+01   0.147409E+03   0.579319E+00   0.213157E+02   0.150000E+02   0.802088E-01  -0.999900E+04  -0.999900E+04   0.136843E+02   0.100000E+02   0.223955E+01  -0.999900E+04  -0.999900E+04   0.171053E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.300000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.300000E+05   0.108000E+05   0.463878E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.463878E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.466742E+01   0.147409E+03   0.590119E+00   0.213157E+02   0.150000E+02  -0.286343E-01  -0.999900E+04  -0.999900E+04   0.136843E+02   0.100000E+02  -0.799514E+00  -0.999900E+04  -0.999900E+04   0.171053E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.302500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.302500E+05   0.108000E+05   0.476891E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.476891E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.471225E+01   0.147409E+03   0.600683E+00   0.208717E+02   0.150000E+02   0.566624E-01  -0.999900E+04  -0.999900E+04   0.141283E+02   0.100000E+02   0.158210E+01  -0.999900E+04  -0.999900E+04   0.176604E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.305000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.305000E+05   0.108000E+05   0.476714E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.476714E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.476163E+01   0.147409E+03   0.610764E+00   0.204855E+02   0.150000E+02   0.550684E-02  -0.999900E+04  -0.999900E+04   0.145145E+02   0.100000E+02   0.153760E+00  -0.999900E+04  -0.999900E+04   0.181432E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.307500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.307500E+05   0.108000E+05   0.485316E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.485316E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.481549E+01   0.147408E+03   0.620291E+00   0.201788E+02   0.150000E+02   0.376710E-01  -0.999900E+04  -0.999900E+04   0.148212E+02   0.100000E+02   0.105183E+01  -0.999900E+04  -0.999900E+04   0.185265E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.310000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.310000E+05   0.108000E+05   0.483539E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.483539E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.487355E+01   0.147408E+03   0.629292E+00   0.199668E+02   0.150000E+02  -0.381575E-01  -0.999900E+04  -0.999900E+04   0.150332E+02   0.100000E+02  -0.106542E+01  -0.999900E+04  -0.999900E+04   0.187914E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.312500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.312500E+05   0.108000E+05   0.492964E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.492964E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.493530E+01   0.147408E+03   0.637790E+00   0.198591E+02   0.150000E+02  -0.566414E-02  -0.999900E+04  -0.999900E+04   0.151409E+02   0.100000E+02  -0.158152E+00  -0.999900E+04  -0.999900E+04   0.189262E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.315000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.315000E+05   0.108000E+05   0.497015E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.497015E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.500010E+01   0.147408E+03   0.645873E+00   0.198591E+02   0.150000E+02  -0.299532E-01  -0.999900E+04  -0.999900E+04   0.151409E+02   0.100000E+02  -0.836340E+00  -0.999900E+04  -0.999900E+04   0.189262E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.317500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.317500E+05   0.108000E+05   0.504265E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.504265E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.506756E+01   0.147407E+03   0.653584E+00   0.198601E+02   0.150000E+02  -0.249047E-01  -0.999900E+04  -0.999900E+04   0.151399E+02   0.100000E+02  -0.695379E+00  -0.999900E+04  -0.999900E+04   0.189249E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.320000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.320000E+05   0.108000E+05   0.509157E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.509157E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.513723E+01   0.147407E+03   0.660989E+00   0.199702E+02   0.150000E+02  -0.456510E-01  -0.999900E+04  -0.999900E+04   0.150298E+02   0.100000E+02  -0.127465E+01  -0.999900E+04  -0.999900E+04   0.187873E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.322500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.322500E+05   0.108000E+05   0.519411E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.519411E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.520827E+01   0.147407E+03   0.668249E+00   0.201862E+02   0.150000E+02  -0.141578E-01  -0.999900E+04  -0.999900E+04   0.148138E+02   0.100000E+02  -0.395308E+00  -0.999900E+04  -0.999900E+04   0.185172E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.325000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.325000E+05   0.108000E+05   0.528438E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.528438E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.527996E+01   0.147407E+03   0.675522E+00   0.205022E+02   0.150000E+02   0.441751E-02  -0.999900E+04  -0.999900E+04   0.144978E+02   0.100000E+02   0.123344E+00  -0.999900E+04  -0.999900E+04   0.181223E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.327500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.327500E+05   0.108000E+05   0.531336E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.531336E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.535165E+01   0.147406E+03   0.682955E+00   0.209096E+02   0.150000E+02  -0.382829E-01  -0.999900E+04  -0.999900E+04   0.140904E+02   0.100000E+02  -0.106892E+01  -0.999900E+04  -0.999900E+04   0.176130E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.330000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.330000E+05   0.108000E+05   0.539431E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.539431E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.542445E+01   0.147406E+03   0.690283E+00   0.209096E+02   0.150000E+02  -0.301322E-01  -0.999900E+04  -0.999900E+04   0.140904E+02   0.100000E+02  -0.841338E+00  -0.999900E+04  -0.999900E+04   0.176130E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.332500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.332500E+05   0.108000E+05   0.544897E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.544897E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.549806E+01   0.147406E+03   0.697543E+00   0.213981E+02   0.150000E+02  -0.490924E-01  -0.999900E+04  -0.999900E+04   0.136019E+02   0.100000E+02  -0.137074E+01  -0.999900E+04  -0.999900E+04   0.170023E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.335000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.335000E+05   0.108000E+05   0.558074E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.558074E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.557059E+01   0.147406E+03   0.705258E+00   0.219562E+02   0.150000E+02   0.101454E-01  -0.999900E+04  -0.999900E+04   0.130438E+02   0.100000E+02   0.283275E+00  -0.999900E+04  -0.999900E+04   0.163047E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.337500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.337500E+05   0.108000E+05   0.565118E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.565118E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.564187E+01   0.147406E+03   0.713468E+00   0.225712E+02   0.150000E+02   0.930493E-02  -0.999900E+04  -0.999900E+04   0.124288E+02   0.100000E+02   0.259808E+00  -0.999900E+04  -0.999900E+04   0.155360E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.340000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.340000E+05   0.108000E+05   0.568140E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.568140E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.571185E+01   0.147405E+03   0.722219E+00   0.232300E+02   0.150000E+02  -0.304536E-01  -0.999900E+04  -0.999900E+04   0.117700E+02   0.100000E+02  -0.850311E+00  -0.999900E+04  -0.999900E+04   0.147125E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.342500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.342500E+05   0.108000E+05   0.584284E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.584284E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.578055E+01   0.147405E+03   0.731536E+00   0.239193E+02   0.150000E+02   0.622920E-01  -0.999900E+04  -0.999900E+04   0.110807E+02   0.100000E+02   0.173929E+01  -0.999900E+04  -0.999900E+04   0.138508E+01   0.125000E+01
   0.100000E+01   0.100000E+01   0.347518E+05   0.108000E+05   0.100000E+01   0.100000E+01   0.347518E+05   0.108000E+05   0.589751E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.589751E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.591500E+01   0.143003E+03   0.729506E+00   0.246200E+02   0.150000E+02  -0.174842E-01  -0.999900E+04  -0.999900E+04   0.103800E+02   0.100000E+02  -0.488187E+00  -0.999900E+04  -0.999900E+04   0.129750E+01   0.125000E+01
   0.100000E+01   0.100000E+01   0.350035E+05   0.108000E+05   0.100000E+01   0.100000E+01   0.350035E+05   0.108000E+05   0.594917E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.594917E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.598121E+01   0.143003E+03   0.740226E+00   0.253193E+02   0.150000E+02  -0.320456E-01  -0.999900E+04  -0.999900E+04   0.968066E+01   0.100000E+02  -0.894763E+00  -0.999900E+04  -0.999900E+04   0.121008E+01   0.125000E+01
   0.100000E+01   0.100000E+01   0.352553E+05   0.108000E+05   0.100000E+01   0.100000E+01   0.352553E+05   0.108000E+05   0.601845E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.601845E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.604692E+01   0.143003E+03   0.751416E+00   0.260114E+02   0.150000E+02  -0.284659E-01  -0.999900E+04  -0.999900E+04   0.898855E+01   0.100000E+02  -0.794812E+00  -0.999900E+04  -0.999900E+04   0.112357E+01   0.125000E+01
   0.100000E+01   0.100000E+01   0.355071E+05   0.108000E+05   0.100000E+01   0.100000E+01   0.355071E+05   0.108000E+05   0.609220E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.609220E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.611235E+01   0.143002E+03   0.763032E+00   0.266855E+02   0.150000E+02  -0.201543E-01  -0.999900E+04  -0.999900E+04   0.831451E+01   0.100000E+02  -0.562739E+00  -0.999900E+04  -0.999900E+04   0.103931E+01   0.125000E+01
   0.100000E+01   0.100000E+01   0.357588E+05   0.108000E+05   0.100000E+01   0.100000E+01   0.357588E+05   0.108000E+05   0.611649E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.611649E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.617779E+01   0.143002E+03   0.775043E+00   0.273315E+02   0.150000E+02  -0.613026E-01  -0.999900E+04  -0.999900E+04   0.766847E+01   0.100000E+02  -0.171167E+01  -0.999900E+04  -0.999900E+04   0.958559E+00   0.125000E+01
   0.100000E+01   0.100000E+01   0.360106E+05   0.108000E+05   0.100000E+01   0.100000E+01   0.360106E+05   0.108000E+05   0.618840E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.618840E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.624354E+01   0.143002E+03   0.787306E+00   0.279407E+02   0.150000E+02  -0.551488E-01  -0.999900E+04  -0.999900E+04   0.705930E+01   0.100000E+02  -0.153984E+01  -0.999900E+04  -0.999900E+04   0.882412E+00   0.125000E+01
