               Kmin_MR_a0     Kmin_MR_a1     Kmin_MR_a2     Kmin_MR_a3     Kmin_MR_a4     Kmin_MR_a5     Kmin_MR_a6     Kmin_MR_a7     Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.301216E+02   0.108645E+02  -0.577380E+00  -0.241564E+01  -0.141795E+01  -0.617278E+01  -0.575405E+00   0.405063E+01   0.265512E+02   0.342968E+00   0.159124E+01  -0.691033E+01   0.156492E-01   0.258809E-04   0.301281E-04   0.279346E-04   0.751505E-04
Maximum           0.308279E+02   0.120930E+02   0.133077E+01   0.614510E-01   0.153724E+01  -0.214219E+01   0.325683E+01   0.902175E+01   0.292141E+02   0.549873E+01   0.855651E+01  -0.426880E-03   0.348962E-01   0.608640E-01   0.768827E-01   0.518619E-01   0.621633E-01
Range             0.706300E+00   0.122850E+01   0.190815E+01   0.247709E+01   0.295519E+01   0.403059E+01   0.383223E+01   0.497112E+01   0.266290E+01   0.515576E+01   0.696527E+01   0.690990E+01   0.192470E-01   0.608381E-01   0.768526E-01   0.518340E-01   0.620881E-01
Mean              0.304622E+02   0.114729E+02   0.347562E+00  -0.962688E+00   0.830243E-02  -0.382168E+01   0.131032E+01   0.705280E+01   0.278338E+02   0.252507E+01   0.508538E+01  -0.376955E+01   0.251828E-01   0.973853E-02   0.987518E-02   0.971683E-02   0.107726E-01
Median            0.304575E+02   0.114667E+02   0.346988E+00  -0.945656E+00  -0.125304E-01  -0.378496E+01   0.127100E+01   0.707314E+01   0.278047E+02   0.252319E+01   0.510610E+01  -0.371954E+01   0.251740E-01   0.699778E-02   0.675464E-02   0.672268E-02   0.703578E-02
Q10%              0.303389E+02   0.112175E+02  -0.727032E-01  -0.149810E+01  -0.591747E+00  -0.462388E+01   0.522474E+00   0.621912E+01   0.273130E+02   0.131246E+01   0.351963E+01  -0.539414E+01   0.214813E-01   0.126404E-02   0.109072E-02   0.112396E-02   0.141033E-02
Q25%              0.303923E+02   0.113222E+02   0.129903E+00  -0.124669E+01  -0.310685E+00  -0.421985E+01   0.885332E+00   0.658128E+01   0.275235E+02   0.192038E+01   0.432195E+01  -0.460114E+01   0.231712E-01   0.343351E-02   0.293338E-02   0.282772E-02   0.319472E-02
Q75%              0.305314E+02   0.116351E+02   0.569148E+00  -0.656443E+00   0.328116E+00  -0.338012E+01   0.172427E+01   0.752072E+01   0.281174E+02   0.313302E+01   0.581581E+01  -0.288875E+01   0.270601E-01   0.137377E-01   0.138773E-01   0.132124E-01   0.145904E-01
Q90%              0.306044E+02   0.117619E+02   0.751049E+00  -0.454212E+00   0.640610E+00  -0.308655E+01   0.218302E+01   0.788700E+01   0.284583E+02   0.372422E+01   0.648433E+01  -0.226417E+01   0.287552E-01   0.218506E-01   0.227074E-01   0.222572E-01   0.261929E-01
St.Dev.           0.105216E+00   0.214239E+00   0.312420E+00   0.407277E+00   0.485158E+00   0.621531E+00   0.620872E+00   0.676209E+00   0.455450E+00   0.920113E+00   0.113047E+01   0.122518E+01   0.287749E-02   0.880792E-02   0.944095E-02   0.940129E-02   0.106572E-01
Variance          0.110704E-01   0.458983E-01   0.976065E-01   0.165875E+00   0.235378E+00   0.386300E+00   0.385482E+00   0.457258E+00   0.207434E+00   0.846608E+00   0.127797E+01   0.150106E+01   0.827993E-05   0.775794E-04   0.891315E-04   0.883843E-04   0.113576E-03
CV                0.345398E-02   0.186735E-01   0.898890E+00   0.423063E+00   0.584357E+02   0.162633E+00   0.473833E+00   0.958780E-01   0.163632E-01   0.364391E+00   0.222298E+00   0.325019E+00   0.114264E+00   0.904440E+00   0.956028E+00   0.967527E+00   0.989293E+00
Skewness          0.143044E+00   0.929221E-01   0.931787E-01  -0.296834E+00   0.920844E-01  -0.375809E+00   0.228073E+00  -0.200063E+00   0.216784E+00   0.123786E+00  -0.809880E-01  -0.265572E-02   0.884438E-01   0.174394E+01   0.185129E+01   0.167052E+01   0.168112E+01
Kurtosis          0.362246E+00  -0.204394E+00  -0.231127E+00  -0.768538E-01   0.510929E-01   0.522958E+00  -0.982781E-01   0.528327E+00   0.118001E+00  -0.207377E+00  -0.139438E+00  -0.242674E+00   0.211272E+00   0.437738E+01   0.580338E+01   0.308326E+01   0.305755E+01
MaxPost           0.303954E+02   0.113463E+02   0.347659E+00  -0.848396E+00  -0.141314E-01  -0.347085E+01   0.106822E+01   0.718213E+01   0.277885E+02   0.295814E+01   0.458365E+01  -0.364461E+01   0.256454E-01   0.282957E-02   0.794121E-02   0.186188E-02   0.590082E-02
