Kmin_MR_a0    Kmin_MR_a1    Kmin_MR_a2    Kmin_MR_a3    Kmin_MR_a4    Kmin_MR_a5    Kmin_MR_a6    Kmin_MR_a7    Kmin_TR_a0    Kmin_TR_a1    Kmin_TR_a2    Kmin_TR_a3    Kmin_TR_a4    Kmin_TR_a5    Kmin_TR_a6    Kmin_TR_a7    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.300000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.250000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.500000E-03  0.100000E-01  0.100000E-01  0.100000E-01  0.100000E-01 -0.895991E+04
  0.300000E+02  0.277673E+01  0.000000E+00 -0.335174E+01  0.258839E+00 -0.300086E+01 -0.540071E+01  0.274811E+00  0.249983E+02  0.328299E+01 -0.354316E+01  0.000000E+00 -0.344308E+01  0.000000E+00  0.368488E+01 -0.503115E+00  0.126225E-02  0.116478E-01  0.953869E-02  0.934539E-02  0.100125E-01 -0.466477E+04
  0.300000E+02  0.277673E+01  0.000000E+00 -0.599150E+01  0.258839E+00 -0.583836E+01 -0.540071E+01  0.309877E+01  0.249983E+02  0.328299E+01 -0.354316E+01  0.000000E+00 -0.186559E+01 -0.376962E+01  0.368488E+01 -0.503115E+00  0.224188E-02  0.116478E-01  0.951591E-02  0.899258E-02  0.100610E-01 -0.355423E+04
  0.300000E+02  0.277673E+01  0.000000E+00 -0.599150E+01  0.615733E+00 -0.583836E+01 -0.550738E+01  0.919952E+01  0.249983E+02  0.328299E+01 -0.272967E-01  0.000000E+00  0.685315E+00 -0.376962E+01  0.502281E+01 -0.503115E+00  0.261135E-02  0.130053E-01  0.810504E-02  0.993631E-02  0.109286E-01 -0.300496E+04
  0.300000E+02  0.759571E+01  0.000000E+00 -0.599150E+01 -0.229045E+01 -0.583836E+01 -0.550738E+01  0.919952E+01  0.249983E+02  0.328299E+01  0.225939E+01  0.000000E+00  0.685315E+00 -0.376962E+01  0.502281E+01 -0.503115E+00  0.261135E-02  0.135623E-01  0.694235E-02  0.101777E-01  0.109286E-01 -0.158254E+04
  0.300000E+02  0.759571E+01 -0.123844E+01 -0.599150E+01 -0.229045E+01 -0.583836E+01 -0.263492E+00  0.919952E+01  0.256794E+02  0.328299E+01  0.225939E+01  0.000000E+00  0.685315E+00 -0.376962E+01  0.502281E+01 -0.503115E+00  0.268000E-02  0.149518E-01  0.698707E-02  0.111471E-01  0.104863E-01 -0.150415E+04
  0.300000E+02  0.759571E+01 -0.123844E+01 -0.599150E+01 -0.229045E+01 -0.583836E+01 -0.263492E+00  0.919952E+01  0.256794E+02  0.328299E+01  0.225939E+01 -0.359958E+01  0.685315E+00 -0.376962E+01  0.502281E+01 -0.503115E+00  0.268000E-02  0.136372E-01  0.691730E-02  0.101195E-01  0.919871E-02 -0.149124E+04
  0.300000E+02  0.951436E+01 -0.123844E+01 -0.599150E+01 -0.229045E+01 -0.583836E+01  0.193497E+01  0.688228E+01  0.271750E+02  0.328299E+01  0.225939E+01 -0.487035E+01  0.685315E+00 -0.376962E+01  0.502281E+01 -0.503115E+00  0.283007E-02  0.143324E-01  0.751559E-02  0.750271E-02  0.985884E-02 -0.124526E+04
  0.300000E+02  0.951436E+01 -0.123844E+01 -0.599150E+01 -0.229045E+01 -0.583836E+01  0.193497E+01  0.688228E+01  0.271750E+02  0.328299E+01  0.238009E+01 -0.487035E+01  0.960615E+00 -0.376962E+01  0.502281E+01 -0.503115E+00  0.283007E-02  0.137883E-01  0.679120E-02  0.770685E-02  0.937456E-02 -0.124467E+04
  0.300000E+02  0.951436E+01 -0.123844E+01 -0.574671E+01 -0.229045E+01 -0.583836E+01  0.193497E+01  0.688228E+01  0.271750E+02  0.328299E+01  0.238009E+01 -0.487035E+01  0.960615E+00 -0.349719E+01  0.502281E+01  0.356788E+00  0.322829E-02  0.144764E-01  0.679120E-02  0.847778E-02  0.901314E-02 -0.122693E+04
  0.300000E+02  0.951436E+01 -0.123844E+01 -0.574671E+01 -0.229045E+01 -0.583836E+01  0.193497E+01  0.688228E+01  0.271750E+02  0.328299E+01  0.719918E+01 -0.487035E+01  0.960615E+00 -0.365866E+01  0.502281E+01  0.138439E+01  0.322829E-02  0.141171E-01  0.792443E-02  0.912386E-02  0.883224E-02 -0.122634E+04
  0.300000E+02  0.951436E+01 -0.123844E+01 -0.514407E+01 -0.229045E+01 -0.583836E+01  0.193497E+01  0.688228E+01  0.271750E+02  0.333227E+01  0.719918E+01 -0.487035E+01  0.960615E+00 -0.365866E+01  0.502281E+01  0.138439E+01  0.322829E-02  0.132520E-01  0.640055E-02  0.913456E-02  0.806734E-02 -0.119594E+04
  0.300000E+02  0.951436E+01 -0.123844E+01 -0.514407E+01 -0.229045E+01 -0.583836E+01  0.193497E+01  0.688228E+01  0.271750E+02  0.333227E+01  0.719918E+01 -0.487035E+01  0.960615E+00 -0.365866E+01  0.502281E+01  0.138439E+01  0.322829E-02  0.132521E-01  0.681924E-02  0.846368E-02  0.758202E-02 -0.119586E+04
  0.300000E+02  0.951436E+01 -0.123844E+01 -0.514407E+01 -0.229045E+01 -0.583836E+01  0.176543E+01  0.688228E+01  0.271750E+02  0.333227E+01  0.345318E+01 -0.487035E+01  0.919845E+00 -0.365866E+01  0.502281E+01  0.138439E+01  0.372164E-02  0.142035E-01  0.701306E-02  0.775522E-02  0.852934E-02 -0.118587E+04
  0.300000E+02  0.951436E+01 -0.123844E+01 -0.514407E+01 -0.229045E+01 -0.583836E+01  0.947662E+00  0.688228E+01  0.271750E+02  0.333227E+01  0.345318E+01 -0.487035E+01  0.919845E+00 -0.494235E+01  0.502281E+01  0.138439E+01  0.446911E-02  0.143481E-01  0.808501E-02  0.795477E-02  0.756013E-02 -0.117618E+04
  0.300000E+02  0.951436E+01 -0.123844E+01 -0.368784E+01 -0.229045E+01 -0.583836E+01  0.947662E+00  0.688228E+01  0.271750E+02  0.333227E+01  0.345318E+01 -0.488973E+01  0.919845E+00 -0.494235E+01  0.502281E+01  0.138439E+01  0.545803E-02  0.138626E-01  0.852050E-02  0.795477E-02  0.756013E-02 -0.113801E+04
  0.300000E+02  0.951436E+01 -0.123844E+01 -0.368784E+01 -0.229045E+01 -0.583836E+01  0.722759E+00  0.688228E+01  0.271750E+02  0.333227E+01  0.345318E+01 -0.488973E+01  0.919845E+00 -0.494235E+01  0.502281E+01  0.138439E+01  0.531871E-02  0.138626E-01  0.915366E-02  0.761558E-02  0.807448E-02 -0.113550E+04
  0.300000E+02  0.951436E+01 -0.123844E+01 -0.368784E+01 -0.229045E+01 -0.583836E+01  0.722759E+00  0.688228E+01  0.271750E+02  0.333227E+01  0.345318E+01 -0.488973E+01  0.919845E+00 -0.494235E+01  0.502281E+01  0.138439E+01  0.531871E-02  0.145377E-01  0.767728E-02  0.659794E-02  0.710638E-02 -0.113522E+04
  0.300000E+02  0.951436E+01 -0.123844E+01 -0.368784E+01 -0.176742E+00 -0.583836E+01  0.722759E+00  0.688228E+01  0.271750E+02  0.333227E+01  0.657863E+01 -0.488973E+01  0.919845E+00 -0.494235E+01  0.502281E+01  0.138439E+01  0.512014E-02  0.147556E-01  0.751687E-02  0.446964E-02  0.668859E-02 -0.113126E+04
  0.300000E+02  0.951436E+01 -0.123844E+01 -0.368784E+01 -0.176742E+00 -0.583836E+01  0.854078E+00  0.688228E+01  0.271750E+02  0.333227E+01  0.657863E+01 -0.488973E+01  0.175516E+01 -0.494235E+01  0.502281E+01  0.138439E+01  0.630694E-02  0.141260E-01  0.602435E-02  0.361028E-02  0.715065E-02 -0.112573E+04
  0.302256E+02  0.951436E+01  0.864192E+00 -0.368784E+01 -0.176742E+00 -0.583836E+01  0.854078E+00  0.668545E+01  0.271750E+02  0.333227E+01  0.657863E+01 -0.488973E+01  0.175516E+01 -0.494235E+01  0.367504E+01  0.127435E+01  0.630694E-02  0.128053E-01  0.636125E-02  0.416556E-02  0.841630E-02 -0.111237E+04
  0.302256E+02  0.106588E+02  0.232706E+00 -0.368784E+01 -0.838555E+00 -0.583836E+01  0.854078E+00  0.668545E+01  0.271750E+02  0.333227E+01  0.657863E+01 -0.488973E+01 -0.436281E-01 -0.534301E+01  0.367504E+01  0.127435E+01  0.630694E-02  0.126873E-01  0.522778E-02  0.363028E-02  0.805062E-02 -0.107533E+04
  0.302256E+02  0.106588E+02  0.232706E+00 -0.368784E+01 -0.838555E+00 -0.583836E+01  0.913274E+00  0.516865E+01  0.271750E+02  0.333227E+01  0.539609E+01 -0.488973E+01 -0.436281E-01 -0.534301E+01  0.367504E+01  0.127435E+01  0.620962E-02  0.131310E-01  0.496547E-02  0.305453E-02  0.749237E-02 -0.105295E+04
  0.302256E+02  0.106588E+02  0.232706E+00 -0.368784E+01 -0.838555E+00 -0.583836E+01  0.913274E+00  0.516865E+01  0.271750E+02  0.333227E+01  0.539609E+01 -0.488973E+01 -0.436281E-01 -0.302355E+01  0.367504E+01  0.166512E+01  0.620962E-02  0.127330E-01  0.676663E-02  0.305453E-02  0.637594E-02 -0.105011E+04
  0.302256E+02  0.106588E+02  0.232706E+00 -0.253067E+01 -0.838555E+00 -0.583836E+01  0.913274E+00  0.516865E+01  0.271750E+02  0.384958E+01  0.539609E+01 -0.488973E+01 -0.436281E-01 -0.302355E+01  0.183651E+01  0.166512E+01  0.620962E-02  0.117418E-01  0.557326E-02  0.305453E-02  0.694463E-02 -0.103274E+04
  0.302256E+02  0.106588E+02  0.232706E+00 -0.271770E+01 -0.838555E+00 -0.583836E+01  0.913274E+00  0.516865E+01  0.271750E+02  0.384958E+01  0.539609E+01 -0.324579E+01 -0.436281E-01 -0.302355E+01  0.183651E+01  0.166512E+01  0.613867E-02  0.120205E-01  0.684194E-02  0.434295E-02  0.569517E-02 -0.103265E+04
