Kmin_MR_a0    Kmin_MR_a1    Kmin_MR_a2    Kmin_MR_a3    Kmin_MR_a4    Kmin_MR_a5    Kmin_MR_a6    Kmin_MR_a7    Kmin_MR_a8    Kmin_TR_a0    Kmin_TR_a1    Kmin_TR_a2    Kmin_TR_a3    Kmin_TR_a4    Kmin_TR_a5    Kmin_TR_a6    Kmin_TR_a7    Kmin_TR_a8    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.300000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.250000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.500000E-03  0.100000E-01  0.100000E-01  0.100000E-01  0.100000E-01 -0.895991E+04
  0.300000E+02  0.277673E+01  0.000000E+00 -0.335174E+01  0.258839E+00 -0.300086E+01 -0.540071E+01  0.274811E+00 -0.282798E-02  0.250000E+02  0.000000E+00  0.000000E+00 -0.344308E+01  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.500000E-03  0.934539E-02  0.100125E-01  0.866671E-02  0.813248E-02 -0.485498E+04
  0.300000E+02  0.277673E+01 -0.238611E+00 -0.618924E+01  0.190358E+01 -0.300086E+01 -0.540071E+01  0.274811E+00 -0.963515E+00  0.250000E+02  0.157748E+01  0.000000E+00 -0.344308E+01  0.000000E+00  0.000000E+00  0.757633E+01 -0.113925E+00 -0.176403E+01  0.548574E-03  0.745019E-02  0.879746E-02  0.915642E-02  0.876326E-02 -0.394982E+04
  0.300000E+02  0.751415E+01 -0.345277E+00 -0.618924E+01  0.110498E+01 -0.890269E+01 -0.188485E+01  0.274811E+00 -0.963515E+00  0.275909E+02  0.291541E+01  0.000000E+00 -0.344308E+01  0.000000E+00 -0.705434E+01  0.757633E+01 -0.113925E+00 -0.176403E+01  0.151237E-02  0.778138E-02  0.833875E-02  0.857518E-02  0.740705E-02 -0.144062E+04
  0.300000E+02  0.914545E+01 -0.345277E+00 -0.618924E+01  0.110498E+01 -0.890269E+01  0.143384E+01  0.274811E+00  0.102080E+01  0.261763E+02  0.291541E+01  0.278491E+01 -0.344308E+01  0.120709E+01 -0.620844E+01  0.757633E+01 -0.113925E+00 -0.176403E+01  0.247201E-02  0.866638E-02  0.984628E-02  0.962396E-02  0.707431E-02 -0.123513E+04
  0.306811E+02  0.914545E+01 -0.345277E+00 -0.618924E+01  0.110498E+01 -0.890269E+01  0.143384E+01  0.458733E+01  0.102080E+01  0.261763E+02  0.313897E+01  0.278491E+01 -0.565420E+01  0.120709E+01 -0.620844E+01  0.189500E+01 -0.113925E+00 -0.176403E+01  0.297263E-02  0.108968E-01  0.951754E-02  0.862512E-02  0.578956E-02 -0.120600E+04
  0.306811E+02  0.914545E+01 -0.345277E+00 -0.618924E+01  0.110498E+01 -0.890269E+01  0.143384E+01  0.458733E+01  0.671983E+00  0.261763E+02  0.313897E+01  0.384479E+01 -0.373555E+01 -0.118664E+01 -0.620844E+01  0.189500E+01 -0.113925E+00  0.434431E+00  0.250918E-02  0.113953E-01  0.103548E-01  0.617688E-02  0.553541E-02 -0.119839E+04
  0.306811E+02  0.914545E+01 -0.345277E+00 -0.618924E+01  0.110498E+01 -0.890269E+01  0.442528E+01  0.458733E+01  0.671983E+00  0.261763E+02  0.313897E+01  0.384479E+01 -0.373555E+01 -0.386819E-01 -0.620844E+01  0.189500E+01 -0.113925E+00  0.434431E+00  0.217032E-02  0.114194E-01  0.111115E-01  0.623194E-02  0.389983E-02 -0.119333E+04
  0.306811E+02  0.914545E+01 -0.345277E+00 -0.618924E+01  0.110498E+01 -0.788197E+01  0.200388E+01  0.326034E+01  0.671983E+00  0.261763E+02  0.338375E+01  0.384479E+01 -0.373555E+01 -0.386819E-01 -0.620844E+01  0.777089E+01 -0.113925E+00  0.434431E+00  0.350417E-02  0.105812E-01  0.111660E-01  0.572822E-02  0.407181E-02 -0.118968E+04
  0.306811E+02  0.914545E+01 -0.345277E+00 -0.618924E+01  0.110498E+01 -0.788197E+01  0.274637E+01  0.326034E+01  0.671983E+00  0.261763E+02  0.338375E+01  0.384479E+01 -0.373555E+01 -0.386819E-01 -0.620844E+01  0.777089E+01 -0.113925E+00  0.434431E+00  0.347188E-02  0.108263E-01  0.113715E-01  0.431072E-02  0.371258E-02 -0.118576E+04
  0.306811E+02  0.914545E+01 -0.345277E+00 -0.618924E+01  0.110498E+01 -0.788197E+01  0.274637E+01  0.326034E+01  0.671983E+00  0.261763E+02  0.551683E+01  0.384479E+01 -0.368627E+01 -0.386819E-01 -0.531997E+01  0.777089E+01 -0.113925E+00  0.168999E+01  0.347188E-02  0.881541E-02  0.105064E-01  0.278684E-02  0.372328E-02 -0.118063E+04
  0.306811E+02  0.914545E+01 -0.345277E+00 -0.424656E+01  0.110498E+01 -0.841915E+01  0.274637E+01  0.326034E+01  0.671983E+00  0.261763E+02  0.551683E+01  0.384479E+01 -0.368627E+01 -0.386819E-01 -0.531997E+01  0.777089E+01 -0.113925E+00  0.168999E+01  0.347194E-02  0.923410E-02  0.983547E-02  0.230152E-02  0.297517E-02 -0.116785E+04
  0.306811E+02  0.914545E+01 -0.345277E+00 -0.576707E+01  0.110498E+01 -0.858868E+01  0.274637E+01  0.326034E+01  0.671983E+00  0.261763E+02  0.551683E+01  0.380402E+01 -0.368627E+01  0.146322E+01 -0.531997E+01  0.777089E+01 -0.113925E+00  0.265911E+01  0.347194E-02  0.101814E-01  0.892041E-02  0.262022E-02  0.297517E-02 -0.115820E+04
  0.306811E+02  0.914545E+01 -0.345277E+00 -0.576707E+01  0.110498E+01 -0.858868E+01  0.274637E+01  0.326034E+01  0.671983E+00  0.261763E+02  0.423314E+01  0.380402E+01 -0.368627E+01  0.146322E+01 -0.459737E+01  0.777089E+01  0.883823E+00  0.265911E+01  0.442900E-02  0.109438E-01  0.969944E-02  0.291147E-02  0.518807E-02 -0.115445E+04
  0.306811E+02  0.914545E+01 -0.345277E+00 -0.576707E+01  0.110498E+01 -0.858868E+01  0.272699E+01  0.326034E+01  0.671983E+00  0.261763E+02  0.423314E+01  0.380402E+01 -0.368627E+01  0.146322E+01 -0.459737E+01  0.777089E+01  0.883823E+00  0.265911E+01  0.585275E-02  0.109327E-01  0.951318E-02  0.351044E-02  0.514309E-02 -0.114998E+04
  0.306811E+02  0.914545E+01 -0.345277E+00 -0.576707E+01  0.110498E+01 -0.858868E+01  0.272699E+01  0.326034E+01  0.671983E+00  0.261763E+02  0.423314E+01  0.380402E+01 -0.368627E+01  0.146322E+01 -0.459737E+01  0.542861E+01  0.883823E+00  0.265911E+01  0.585275E-02  0.100846E-01  0.103734E-01  0.457854E-02  0.488553E-02 -0.114968E+04
  0.306811E+02  0.914545E+01  0.105475E+01 -0.576707E+01  0.110498E+01 -0.858868E+01  0.272699E+01  0.326034E+01  0.671983E+00  0.261763E+02  0.423314E+01  0.380402E+01 -0.368627E+01  0.146322E+01 -0.299097E+01  0.542861E+01  0.299754E+01  0.265911E+01  0.791614E-02  0.909109E-02  0.889714E-02  0.594379E-02  0.551062E-02 -0.111871E+04
  0.306811E+02  0.914545E+01  0.105475E+01 -0.576707E+01  0.110498E+01 -0.958152E+01  0.272699E+01  0.326034E+01  0.671983E+00  0.261763E+02  0.423314E+01  0.380402E+01 -0.368627E+01  0.146322E+01 -0.299097E+01  0.542861E+01  0.299754E+01  0.265911E+01  0.976375E-02  0.107335E-01  0.758847E-02  0.621781E-02  0.567768E-02 -0.110134E+04
  0.306811E+02  0.914545E+01  0.105475E+01 -0.576707E+01  0.110498E+01 -0.958152E+01  0.272699E+01  0.326034E+01  0.671983E+00  0.261763E+02  0.423314E+01  0.380402E+01 -0.368627E+01  0.146322E+01 -0.299097E+01  0.523179E+01  0.299754E+01  0.265911E+01  0.109141E-01  0.938803E-02  0.817483E-02  0.691847E-02  0.540813E-02 -0.109697E+04
  0.306151E+02  0.914545E+01  0.105475E+01 -0.576707E+01  0.110498E+01 -0.958152E+01  0.290334E+01  0.326034E+01  0.404972E-01  0.261763E+02  0.357133E+01  0.380402E+01 -0.368627E+01  0.146322E+01 -0.299097E+01  0.523179E+01  0.299754E+01  0.265911E+01  0.105543E-01  0.930790E-02  0.844924E-02  0.845373E-02  0.406799E-02 -0.109391E+04
  0.306151E+02  0.914545E+01  0.105475E+01 -0.576707E+01  0.110498E+01 -0.958152E+01  0.290334E+01  0.326034E+01  0.404972E-01  0.261763E+02  0.363052E+01  0.380402E+01 -0.368627E+01  0.146322E+01 -0.299097E+01  0.523179E+01 -0.279915E+01  0.265911E+01  0.111857E-01  0.848467E-02  0.835192E-02  0.889748E-02  0.380568E-02 -0.109221E+04
  0.306151E+02  0.914545E+01  0.105475E+01 -0.576707E+01  0.110498E+01 -0.958152E+01  0.290334E+01  0.326034E+01  0.404972E-01  0.269766E+02  0.363052E+01  0.380402E+01 -0.368627E+01  0.146322E+01 -0.299097E+01  0.755125E+01 -0.279915E+01  0.265911E+01  0.111857E-01  0.808662E-02  0.101531E-01  0.889748E-02  0.268926E-02 -0.108861E+04
  0.306151E+02  0.914545E+01  0.105475E+01 -0.576707E+01  0.110498E+01 -0.958152E+01  0.290334E+01  0.326034E+01 -0.484611E+00  0.272353E+02  0.504181E+01  0.380402E+01 -0.368627E+01  0.146322E+01 -0.482950E+01  0.755125E+01 -0.279915E+01  0.265911E+01  0.111857E-01  0.808662E-02  0.107218E-01  0.101059E-01  0.354115E-02 -0.108820E+04
  0.306151E+02  0.914545E+01  0.105475E+01 -0.576707E+01  0.110498E+01 -0.958152E+01  0.290334E+01  0.326034E+01 -0.484611E+00  0.272353E+02  0.504181E+01  0.380402E+01 -0.368627E+01  0.146322E+01 -0.518422E+01  0.755125E+01 -0.279915E+01  0.265911E+01  0.111857E-01  0.883972E-02  0.110584E-01  0.872279E-02  0.283649E-02 -0.108807E+04
  0.306151E+02  0.914545E+01  0.105475E+01 -0.576707E+01  0.110498E+01 -0.958152E+01  0.290334E+01  0.326034E+01 -0.484611E+00  0.272353E+02  0.504181E+01  0.380402E+01 -0.368627E+01  0.146322E+01 -0.518422E+01  0.755125E+01 -0.200032E+01  0.473445E+01  0.113594E-01  0.757696E-02  0.123758E-01  0.768961E-02  0.120479E-02 -0.108773E+04
  0.306151E+02  0.914545E+01  0.105475E+01 -0.576707E+01  0.110498E+01 -0.958152E+01  0.290334E+01  0.326034E+01 -0.484611E+00  0.272353E+02  0.504181E+01  0.380402E+01 -0.368627E+01  0.146322E+01 -0.518422E+01  0.755125E+01  0.317187E+00  0.473445E+01  0.119120E-01  0.757696E-02  0.128693E-01  0.668681E-02  0.407712E-03 -0.108481E+04
  0.306151E+02  0.914545E+01  0.105475E+01 -0.576707E+01  0.133504E+01 -0.958152E+01  0.290334E+01  0.326034E+01 -0.159057E+00  0.272353E+02  0.504181E+01  0.380402E+01 -0.368627E+01  0.146322E+01 -0.518422E+01  0.755125E+01 -0.792864E-01  0.473445E+01  0.130393E-01  0.715996E-02  0.146213E-01  0.701575E-02  0.407712E-03 -0.107951E+04
  0.306151E+02  0.914545E+01  0.105475E+01 -0.576707E+01  0.133504E+01 -0.958152E+01  0.290334E+01  0.326034E+01 -0.159057E+00  0.272353E+02  0.428229E+01  0.380402E+01 -0.368627E+01  0.146322E+01 -0.518422E+01  0.755125E+01 -0.792864E-01  0.473445E+01  0.130752E-01  0.553611E-02  0.147326E-01  0.756982E-02  0.108490E-03 -0.107850E+04
  0.306151E+02  0.914545E+01  0.105475E+01 -0.576707E+01  0.133504E+01 -0.958152E+01  0.290334E+01  0.326034E+01 -0.159057E+00  0.274010E+02  0.428229E+01  0.497722E+01 -0.368627E+01  0.146322E+01 -0.414710E+01  0.783574E+01 -0.792864E-01 -0.340746E-02  0.130752E-01  0.675671E-02  0.160020E-01  0.687589E-02  0.108490E-03 -0.107769E+04
  0.306151E+02  0.914545E+01  0.105475E+01 -0.576707E+01  0.133504E+01 -0.958152E+01  0.290334E+01  0.326034E+01  0.905944E-01  0.274010E+02  0.428229E+01  0.497722E+01 -0.368627E+01  0.146322E+01 -0.414710E+01  0.359620E+01  0.711128E+00 -0.340746E-02  0.145943E-01  0.765844E-02  0.158893E-01  0.630186E-02  0.115941E-03 -0.106834E+04
  0.306151E+02  0.914545E+01  0.105475E+01 -0.576707E+01  0.133504E+01 -0.958152E+01  0.290334E+01  0.326034E+01  0.905944E-01  0.274065E+02  0.428229E+01  0.497722E+01 -0.368627E+01  0.146322E+01 -0.414710E+01  0.359620E+01  0.711128E+00 -0.340746E-02  0.145943E-01  0.804607E-02  0.143423E-01  0.660831E-02  0.115941E-03 -0.106825E+04
  0.306151E+02  0.914545E+01  0.105475E+01 -0.576707E+01  0.133504E+01 -0.958152E+01  0.290334E+01  0.326034E+01  0.905944E-01  0.274065E+02  0.428229E+01  0.497722E+01 -0.368627E+01  0.146322E+01 -0.279557E+01  0.359620E+01  0.711128E+00 -0.340746E-02  0.145943E-01  0.934321E-02  0.152193E-01  0.754503E-02  0.115941E-03 -0.106788E+04
  0.306151E+02  0.914545E+01  0.126605E+01 -0.576707E+01  0.133504E+01 -0.936788E+01  0.247728E+01  0.326034E+01  0.905944E-01  0.274065E+02  0.428229E+01  0.497722E+01 -0.368627E+01  0.146322E+01 -0.279557E+01  0.359620E+01  0.711128E+00 -0.340746E-02  0.151711E-01  0.703395E-02  0.141591E-01  0.727906E-02  0.115941E-03 -0.106494E+04
  0.306151E+02  0.914545E+01  0.126605E+01 -0.576707E+01  0.186167E+01 -0.936788E+01  0.247728E+01  0.260499E+01  0.905944E-01  0.274065E+02  0.428229E+01  0.497722E+01 -0.368627E+01  0.146322E+01 -0.279557E+01  0.359620E+01  0.711128E+00 -0.251497E+00  0.151711E-01  0.722748E-02  0.143154E-01  0.553391E-02  0.115941E-03 -0.106387E+04
  0.306151E+02  0.914545E+01  0.126605E+01 -0.576707E+01  0.186167E+01 -0.936788E+01  0.247728E+01  0.260499E+01  0.905944E-01  0.274065E+02  0.321581E+01  0.497722E+01 -0.368627E+01  0.146322E+01 -0.818726E+00  0.363618E+01  0.711128E+00 -0.155787E+00  0.154582E-01  0.782129E-02  0.135318E-01  0.568979E-02  0.115941E-03 -0.106281E+04
  0.306151E+02  0.914545E+01  0.126605E+01 -0.576707E+01  0.186167E+01 -0.936788E+01  0.247728E+01  0.260499E+01  0.905944E-01  0.274065E+02  0.321581E+01  0.497722E+01 -0.368627E+01  0.146322E+01 -0.818726E+00  0.363618E+01  0.711128E+00 -0.155787E+00  0.154582E-01  0.810321E-02  0.127585E-01  0.540434E-02  0.115941E-03 -0.106274E+04
  0.306133E+02  0.914545E+01  0.126605E+01 -0.576707E+01  0.186167E+01 -0.936788E+01  0.247728E+01  0.260499E+01  0.905944E-01  0.274065E+02  0.333859E+01  0.596289E+01 -0.368627E+01  0.146322E+01 -0.818726E+00  0.363618E+01  0.711128E+00 -0.155787E+00  0.164776E-01  0.883447E-02  0.125825E-01  0.554217E-02  0.115941E-03 -0.106024E+04
  0.306133E+02  0.919068E+01  0.126605E+01 -0.576707E+01  0.186167E+01 -0.936788E+01  0.247728E+01  0.260499E+01  0.905944E-01  0.272585E+02  0.333859E+01  0.486462E+01 -0.368627E+01  0.146322E+01 -0.818726E+00  0.200435E+01  0.296571E+01 -0.155787E+00  0.175419E-01  0.965700E-02  0.125825E-01  0.661545E-02  0.190029E-02 -0.105571E+04
  0.306133E+02  0.919068E+01  0.126605E+01 -0.576707E+01  0.186167E+01 -0.936788E+01  0.247728E+01  0.263893E+01  0.905944E-01  0.272585E+02  0.333859E+01  0.486462E+01 -0.368627E+01  0.134193E-02 -0.818726E+00  0.200435E+01  0.296571E+01 -0.155787E+00  0.175419E-01  0.931806E-02  0.125184E-01  0.686435E-02  0.190029E-02 -0.105353E+04
  0.306133E+02  0.919068E+01  0.117160E+01 -0.576707E+01  0.186167E+01 -0.936788E+01  0.247728E+01  0.263893E+01  0.905944E-01  0.272585E+02  0.333859E+01  0.486462E+01 -0.368627E+01  0.134193E-02 -0.818726E+00  0.200435E+01  0.296571E+01 -0.155787E+00  0.176816E-01  0.914948E-02  0.125874E-01  0.588438E-02  0.190029E-02 -0.105367E+04
