Kmin_MC_a1     Kmin_MC_a2     Kmin_MC_a3     Kmin_TR_a1     Kmin_TR_a2     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.397168E+02   0.300937E+02   0.210896E+02   0.313431E+02   0.243305E+02   0.945155E-02   0.188512E-01   0.146464E-02   0.293561E-01   0.228974E-02  -0.952293E+03
   0.397168E+02   0.300937E+02   0.211077E+02   0.317124E+02   0.245615E+02   0.365560E-02   0.129573E-01   0.956890E-02   0.405301E-01   0.236237E-02  -0.954461E+03
   0.399436E+02   0.299409E+02   0.210533E+02   0.318619E+02   0.245350E+02   0.120894E-01   0.567884E-02   0.737436E-02   0.466476E-02   0.972789E-02  -0.950500E+03
   0.397341E+02   0.300331E+02   0.211583E+02   0.307213E+02   0.247757E+02   0.101571E-01   0.219873E-01   0.222156E-02   0.618848E-03   0.863285E-03  -0.951661E+03
   0.397850E+02   0.300331E+02   0.210756E+02   0.315333E+02   0.245449E+02   0.218493E-02   0.910249E-02   0.123140E-01   0.157391E-01   0.691206E-02  -0.951007E+03
   0.400909E+02   0.299630E+02   0.210174E+02   0.312704E+02   0.239297E+02   0.191046E-02   0.197999E-01   0.231280E-02   0.152284E-01   0.800772E-02  -0.952915E+03
   0.397897E+02   0.300613E+02   0.210738E+02   0.308436E+02   0.238824E+02   0.892412E-02   0.538950E-01   0.587607E-02   0.747334E-02   0.204126E-01  -0.957635E+03
   0.399278E+02   0.300058E+02   0.210991E+02   0.308436E+02   0.244867E+02   0.981801E-02   0.191737E-01   0.927891E-02   0.156350E-02   0.710658E-02  -0.950499E+03
   0.399896E+02   0.300058E+02   0.211788E+02   0.305707E+02   0.245951E+02   0.877008E-02   0.863693E-02   0.794935E-02   0.131736E-01   0.207806E-02  -0.952149E+03
   0.398908E+02   0.301382E+02   0.210278E+02   0.308834E+02   0.247193E+02   0.116929E-01   0.357141E-02   0.172192E-01   0.719437E-02   0.388340E-02  -0.951839E+03
   0.400527E+02   0.299980E+02   0.211241E+02   0.311293E+02   0.247193E+02   0.856828E-02   0.361207E-01   0.625187E-02   0.956120E-02   0.141500E-01  -0.953786E+03
   0.398970E+02   0.297494E+02   0.211322E+02   0.317388E+02   0.247193E+02   0.184295E-01   0.278767E-02   0.966836E-02   0.169055E-01   0.638866E-02  -0.957822E+03
   0.401291E+02   0.297494E+02   0.211301E+02   0.316686E+02   0.243385E+02   0.155495E-01   0.237755E-02   0.911763E-02   0.132658E-01   0.192107E-02  -0.955090E+03
   0.401291E+02   0.299544E+02   0.209711E+02   0.313715E+02   0.243385E+02   0.283859E-03   0.276714E-02   0.739241E-02   0.980080E-02   0.703433E-03  -0.950447E+03
   0.401562E+02   0.301064E+02   0.210576E+02   0.318161E+02   0.246473E+02   0.565285E-02   0.406502E-02   0.448638E-02   0.708096E-02   0.931415E-02  -0.951377E+03
   0.400142E+02   0.299780E+02   0.211164E+02   0.305673E+02   0.240037E+02   0.111658E-01   0.211361E-01   0.133743E-01   0.116547E-01   0.155826E-01  -0.955526E+03
   0.397813E+02   0.300343E+02   0.211187E+02   0.310736E+02   0.244635E+02   0.665720E-02   0.292040E-02   0.105885E-01   0.293742E-03   0.334708E-01  -0.951243E+03
   0.398744E+02   0.299328E+02   0.210733E+02   0.314097E+02   0.245425E+02   0.841165E-02   0.128631E-01   0.834482E-03   0.831144E-02   0.501009E-02  -0.948959E+03
   0.404114E+02   0.298701E+02   0.209572E+02   0.313962E+02   0.243757E+02   0.128866E-01   0.250849E-02   0.225813E-01   0.516240E-02   0.502850E-02  -0.956360E+03
   0.399759E+02   0.297906E+02   0.212419E+02   0.310539E+02   0.241796E+02   0.798959E-02   0.218460E-02   0.790093E-02   0.230507E-02   0.282538E-02  -0.952595E+03
