X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.200000E+01   0.270000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.270000E+05   0.108000E+05   0.431455E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.431455E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.432297E+01   0.147412E+03   0.464958E+00   0.210852E+02   0.150000E+02  -0.841278E-02  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02  -0.335926E+00  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.272500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.272500E+05   0.108000E+05   0.436370E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.436370E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.434372E+01   0.147412E+03   0.474234E+00   0.210852E+02   0.150000E+02   0.199795E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02   0.797789E+00  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.275000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.275000E+05   0.108000E+05   0.433750E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.433750E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.436585E+01   0.147412E+03   0.483725E+00   0.210852E+02   0.150000E+02  -0.283520E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02  -0.113211E+01  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.277500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.277500E+05   0.108000E+05   0.442789E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.442789E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.438943E+01   0.147412E+03   0.493422E+00   0.210852E+02   0.150000E+02   0.384565E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02   0.153559E+01  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.280000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.280000E+05   0.108000E+05   0.438663E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.438663E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.441458E+01   0.147412E+03   0.503314E+00   0.210852E+02   0.150000E+02  -0.279497E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02  -0.111604E+01  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.282500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.282500E+05   0.108000E+05   0.440362E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.440362E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.444139E+01   0.147412E+03   0.513373E+00   0.210852E+02   0.150000E+02  -0.377701E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02  -0.150818E+01  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.285000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.285000E+05   0.108000E+05   0.446997E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.446997E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.446998E+01   0.147411E+03   0.523609E+00   0.210852E+02   0.150000E+02  -0.957698E-05  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02  -0.382413E-03  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.287500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.287500E+05   0.108000E+05   0.452327E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.452327E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.450044E+01   0.147411E+03   0.533988E+00   0.210852E+02   0.150000E+02   0.228299E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02   0.911608E+00  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.290000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.290000E+05   0.108000E+05   0.453446E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.453446E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.453290E+01   0.147411E+03   0.544485E+00   0.210852E+02   0.150000E+02   0.155896E-02  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02   0.622498E-01  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.292500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.292500E+05   0.108000E+05   0.455054E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.455054E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.456747E+01   0.147411E+03   0.555072E+00   0.210852E+02   0.150000E+02  -0.169293E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02  -0.675994E+00  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.295000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.295000E+05   0.108000E+05   0.463598E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.463598E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.460426E+01   0.147410E+03   0.565717E+00   0.210852E+02   0.150000E+02   0.317229E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02   0.126671E+01  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.297500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.297500E+05   0.108000E+05   0.470631E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.470631E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.464337E+01   0.147410E+03   0.576384E+00   0.210852E+02   0.150000E+02   0.629420E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02   0.251330E+01  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.300000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.300000E+05   0.108000E+05   0.463878E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.463878E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.468491E+01   0.147410E+03   0.587035E+00   0.210852E+02   0.150000E+02  -0.461256E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02  -0.184182E+01  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.302500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.302500E+05   0.108000E+05   0.476891E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.476891E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.472898E+01   0.147410E+03   0.597626E+00   0.210852E+02   0.150000E+02   0.399345E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02   0.159460E+01  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.305000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.305000E+05   0.108000E+05   0.476714E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.476714E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.477565E+01   0.147409E+03   0.608113E+00   0.210852E+02   0.150000E+02  -0.851789E-02  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02  -0.340123E+00  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.307500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.307500E+05   0.108000E+05   0.485316E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.485316E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.482502E+01   0.147409E+03   0.618431E+00   0.210852E+02   0.150000E+02   0.281419E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02   0.112372E+01  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.310000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.310000E+05   0.108000E+05   0.483539E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.483539E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.487713E+01   0.147409E+03   0.628573E+00   0.210852E+02   0.150000E+02  -0.417414E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02  -0.166675E+01  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.312500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.312500E+05   0.108000E+05   0.492964E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.492964E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.493203E+01   0.147409E+03   0.638471E+00   0.210852E+02   0.150000E+02  -0.239781E-02  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02  -0.957456E-01  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.315000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.315000E+05   0.108000E+05   0.497015E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.497015E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.498976E+01   0.147408E+03   0.648082E+00   0.210852E+02   0.150000E+02  -0.196101E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02  -0.783040E+00  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.317500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.317500E+05   0.108000E+05   0.504265E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.504265E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.505031E+01   0.147408E+03   0.657363E+00   0.210852E+02   0.150000E+02  -0.766134E-02  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02  -0.305921E+00  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.320000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.320000E+05   0.108000E+05   0.509157E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.509157E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.511369E+01   0.147408E+03   0.666275E+00   0.210852E+02   0.150000E+02  -0.221115E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02  -0.882922E+00  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.322500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.322500E+05   0.108000E+05   0.519411E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.519411E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.517984E+01   0.147407E+03   0.674786E+00   0.210852E+02   0.150000E+02   0.142707E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02   0.569837E+00  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.325000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.325000E+05   0.108000E+05   0.528438E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.528438E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.524873E+01   0.147407E+03   0.682866E+00   0.210852E+02   0.150000E+02   0.356437E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02   0.142327E+01  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.327500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.327500E+05   0.108000E+05   0.531336E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.531336E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.532029E+01   0.147407E+03   0.690495E+00   0.210852E+02   0.150000E+02  -0.692135E-02  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02  -0.276373E+00  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.330000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.330000E+05   0.108000E+05   0.539431E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.539431E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.539441E+01   0.147407E+03   0.697657E+00   0.210852E+02   0.150000E+02  -0.967051E-04  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02  -0.386148E-02  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.332500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.332500E+05   0.108000E+05   0.544897E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.544897E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.547100E+01   0.147406E+03   0.704320E+00   0.210852E+02   0.150000E+02  -0.220348E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02  -0.879859E+00  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.335000E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.335000E+05   0.108000E+05   0.558074E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.558074E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.554994E+01   0.147406E+03   0.710534E+00   0.210852E+02   0.150000E+02   0.307972E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02   0.122975E+01  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
   0.100000E+01   0.200000E+01   0.337500E+05   0.108000E+05   0.100000E+01   0.200000E+01   0.337500E+05   0.108000E+05   0.565118E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.565118E+01  -0.999900E+04  -0.999900E+04   0.350000E+02   0.250000E+02   0.563110E+01   0.147406E+03   0.716275E+00   0.210852E+02   0.150000E+02   0.200767E-01  -0.999900E+04  -0.999900E+04   0.139148E+02   0.100000E+02   0.801671E+00  -0.999900E+04  -0.999900E+04   0.173935E+01   0.125000E+01
